from,to,weight
374245,20779,100
419070,348819,100
753488,31550,100
536530,582671,100
26798,31722,100
528562,69893,100
468309,758309,100
268469,753009,100
583559,714182,100
682421,236995,100
437048,29613,100
101004,393281,100
656674,75052,100
475369,98798,100
288204,779089,99
377344,605849,99
263630,700078,99
245149,265400,99
418499,626077,99
182300,447072,99
560398,447072,99
440964,447072,99
393190,17986,99
733339,281039,99
648159,268272,99
324914,558298,99
452441,785992,99
231559,583994,99
237182,365359,99
632613,559565,99
298983,227393,99
141960,181483,98
90992,551404,98
438023,65702,98
186649,498466,98
618730,327222,98
756063,171161,98
571155,171175,98
534532,365359,98
285371,600692,98
399032,50357,98
690038,521605,98
361429,521605,98
673678,788326,98
498466,452526,98
231559,521605,98
89337,90992,98
40633,767657,98
358289,32202,97
60558,182281,97
611985,399740,97
575284,282578,97
191258,399689,97
174101,767657,97
264639,193794,97
31745,181483,97
170226,181483,97
712308,767286,97
291053,460321,97
680047,342151,97
629696,89337,97
416952,273515,97
183625,239628,97
192202,712308,97
689512,275854,97
349735,358523,97
618601,265400,97
719719,137623,97
491435,387421,97
390028,316613,97
664129,173041,96
298824,240412,96
300112,512152,96
650140,725918,96
65702,300112,96
312448,83151,96
431165,714871,96
46251,234967,96
574907,425169,96
672367,348819,96
558147,132970,96
65235,714850,96
577482,265400,96
556519,29613,96
89337,551404,96
334767,714182,96
714871,507668,96
186649,452526,96
362806,609620,96
287174,671382,96
609620,603497,96
193936,662777,96
490436,388655,96
697658,740535,96
712201,479889,96
551404,679190,96
418596,381614,96
381614,31043,96
679190,75515,96
519193,431165,96
653328,306868,96
678380,778615,96
557832,771917,96
349313,516752,96
428087,750501,96
750501,36256,96
771917,428087,96
51217,102069,96
489548,560647,96
340806,36634,95
708484,743569,95
112012,589516,95
528371,576323,95
159358,600692,95
97356,628104,95
264063,249064,95
614057,488097,95
404805,265400,95
132970,6926,95
214035,350893,95
342151,648372,95
225345,691243,95
460321,90517,95
90992,679190,95
461234,145642,95
148744,265400,95
74887,620297,95
430491,308538,95
106358,99474,95
272457,23760,95
602349,455217,95
139739,590792,95
629696,90992,95
505291,193794,95
438023,300112,95
625939,80574,95
229115,272457,95
611125,160963,94
77029,150803,94
662767,575465,94
589516,662767,94
14227,192202,94
591951,83151,94
192202,767286,94
291053,90517,93
690610,725918,93
557832,428087,93
65702,512152,93
572884,529308,93
708394,600692,93
775532,109970,93
533659,117227,93
88453,557832,93
629696,551404,93
551404,75515,93
89337,679190,93
714330,234967,93
172662,502426,93
452734,671670,93
46687,360092,93
153813,46687,93
319218,717751,93
33998,557356,93
575465,756579,93
357538,630918,93
362806,603497,93
53224,483998,92
91966,278348,92
467705,278348,92
680047,648372,92
288385,595348,92
557356,53224,92
652276,206582,92
121754,193936,92
418596,31043,92
771917,750501,92
431165,507668,92
14227,712308,92
519193,714871,92
501940,497220,92
509193,337345,92
428087,36256,92
508251,329900,92
455896,740535,92
698111,770650,92
452844,348819,92
84642,779089,91
277578,633044,91
438023,512152,91
400224,628547,91
90992,75515,91
461932,172496,91
558147,6926,91
483998,765069,91
648517,215207,91
232073,50276,91
247083,139739,91
36256,409982,91
50393,600692,91
742856,19853,90
524740,92154,90
158398,548066,90
229115,23760,90
765069,248232,90
6926,106358,90
288196,183516,90
689558,514139,90
376760,703318,90
88453,771917,90
81054,33116,90
468382,483663,90
680092,584413,90
251352,47493,90
629696,679190,90
766449,172496,90
263261,291108,89
762566,698111,89
112012,662767,89
406073,306594,89
630599,541953,89
583261,608987,89
14227,767286,89
350893,751983,89
199849,497220,89
45367,272273,89
759757,66332,89
89337,75515,89
83277,635003,89
568283,304031,89
249854,41632,89
557832,750501,89
496652,44221,88
670178,450734,88
527201,330060,88
589516,575465,88
638919,524215,88
528758,449453,88
186466,705731,88
121754,662777,88
519193,507668,88
162288,404939,88
116736,328635,88
771917,36256,88
690568,254481,88
662767,756579,88
750501,409982,87
247083,590792,87
68608,187560,87
153813,360092,87
298144,600692,86
392986,600692,86
776862,600692,86
541751,600692,86
33998,53224,86
132970,106358,86
88453,428087,86
629696,75515,86
204114,528758,85
6571,638919,85
429600,292241,85
557356,483998,85
63256,503638,85
557832,36256,85
171688,350867,85
6926,99474,85
664778,747155,85
186263,109408,85
747414,274822,85
489123,451221,85
428087,409982,84
779821,328209,84
112012,575465,84
315244,79310,84
214035,751983,84
24535,8147,84
619886,656229,84
53224,765069,83
88453,750501,83
222618,346163,83
411438,497220,83
761727,2369,83
589516,756579,83
350634,624810,83
760118,778034,83
102165,273186,83
603651,559565,83
703051,600692,83
255768,211272,83
28290,600692,83
501168,575805,83
453927,600692,83
136985,425169,82
483998,248232,82
762566,770650,82
330200,600692,82
558147,106358,82
711650,105030,82
33726,713542,82
