drug_id,sp_id,activity_tag,publication_year,cluster_consistent
308796,3,1,2004,1
308796,18,1,2004,1
308796,12,1,2007,1
65279,25,1,-1,1
65279,1,1,-1,1
65279,13,1,-1,1
65279,19,1,-1,1
65279,18,2,2023,1
65279,26,1,-1,1
65279,5,1,-1,1
574976,5,1,1999,1
713214,26,1,-1,1
291049,26,1,2010,1
360790,26,1,2003,1
418275,19,1,2010,1
414194,18,1,2004,1
691366,1,1,2020,1
732038,3,1,2000,1
625358,1,1,1984,1
625358,5,1,1984,1
117598,3,1,2000,1
294279,18,1,1997,1
780800,18,1,1997,1
303268,26,1,-1,1
177465,26,1,2003,1
658983,1,1,1995,1
658983,5,1,1995,1
466903,26,1,2010,1
117167,0,1,2017,1
117167,5,1,2013,1
6668,1,1,1995,1
6668,5,1,1995,1
636412,5,1,1998,1
402196,18,1,1997,1
653541,3,1,2000,1
508661,26,1,2007,1
744384,26,1,2004,1
506797,18,1,2012,1
506797,5,1,2021,1
394648,1,1,1995,1
394648,5,1,1995,1
696121,1,1,1995,1
696121,5,1,1995,1
694886,26,1,2009,1
694886,20,1,2017,1
798277,1,1,1999,1
518644,1,1,1999,1
800431,18,1,2018,1
800431,26,1,2009,1
172442,1,1,2018,1
172442,13,1,1993,1
172442,5,1,2018,1
502979,18,1,1997,1
385256,1,1,1995,1
385256,5,1,1995,1
660618,26,1,2003,1
544865,1,1,1984,1
544865,5,1,1984,1
757350,5,1,2004,1
541182,3,1,2000,1
92858,3,1,2000,1
604683,18,1,2011,1
265681,3,1,1992,1
698931,19,1,2011,1
551026,18,1,2018,1
15244,26,1,-1,1
821828,26,1,-1,1
480690,3,1,2000,1
319138,1,1,1997,1
319138,5,1,1997,1
691583,3,1,2000,1
761842,5,1,2004,1
652632,3,1,2000,1
91881,26,1,-1,1
454347,1,1,1995,1
454347,5,1,1995,1
196510,1,1,1995,1
196510,5,1,1995,1
690059,25,1,-1,1
690059,1,1,-1,1
690059,13,1,-1,1
690059,18,1,2020,1
690059,26,1,2012,1
690059,5,1,-1,1
649780,1,1,1995,1
649780,5,1,1995,1
638617,26,1,-1,1
101864,25,1,-1,1
101864,1,1,-1,1
101864,13,1,-1,1
101864,26,1,2004,1
101864,5,1,-1,1
411992,26,1,2003,1
680196,3,1,2000,1
20515,1,1,1995,1
20515,5,1,1995,1
820407,1,1,1995,1
820407,5,1,1995,1
808153,3,1,1983,1
352568,26,1,2004,1
107774,1,1,1984,1
107774,5,1,1984,1
342100,1,1,1997,1
342100,5,1,1997,1
59357,1,1,1997,1
59357,5,1,1997,1
51265,18,1,1992,1
322132,25,1,2009,1
680631,1,1,1984,1
680631,5,1,1984,1
31172,18,1,2021,1
31172,26,1,-1,1
516682,18,1,1995,1
551725,18,1,1999,1
368816,25,1,-1,1
368816,1,1,-1,1
368816,13,1,-1,1
368816,5,1,-1,1
559755,3,1,2001,1
229028,26,2,-1,1
264602,1,1,1984,1
264602,5,1,1984,1
119287,1,1,1984,1
119287,5,1,1984,1
706178,26,1,-1,1
706178,10,3,-1,1
53931,1,1,1995,1
53931,5,1,1995,1
536702,1,1,1984,1
536702,5,1,1984,1
630431,26,1,1991,1
830895,25,1,-1,1
830895,1,1,-1,1
830895,13,1,-1,1
830895,26,1,2009,1
830895,5,1,-1,1
830895,10,1,-1,1
92520,1,1,1984,1
92520,5,1,1984,1
123076,1,1,1984,1
123076,5,1,1984,1
481876,18,1,1999,1
246617,1,1,2011,1
246617,13,1,2011,1
246617,5,1,2011,1
232928,1,1,1984,1
232928,5,1,1984,1
815335,18,1,1999,1
592629,25,1,-1,1
592629,1,1,-1,1
592629,13,1,-1,1
592629,18,2,2021,1
592629,5,1,-1,1
328933,26,1,2009,1
328933,10,1,-1,1
342521,3,1,2001,1
342521,26,1,-1,1
255033,25,1,2009,1
30912,26,1,-1,1
644757,1,1,1984,1
644757,5,1,1984,1
571925,18,1,2004,1
47086,26,2,2009,1
47086,10,2,-1,1
322775,25,1,-1,1
322775,1,1,-1,1
322775,13,1,-1,1
322775,18,1,2007,1
322775,5,1,-1,1
260452,18,1,1999,1
381478,18,1,1999,1
448474,25,1,-1,1
448474,1,1,-1,1
448474,13,1,-1,1
448474,18,1,1995,1
448474,26,1,2010,1
448474,5,1,-1,1
448474,10,2,-1,1
201550,3,1,2001,1
828384,1,1,1984,1
828384,5,1,1984,1
18479,18,1,1999,1
648652,1,1,1984,1
648652,5,1,1984,1
159386,3,1,2001,1
749342,26,1,2009,1
281367,1,1,1996,1
281367,5,1,1996,1
285596,3,1,2001,1
49197,18,1,1997,1
230598,26,1,2009,1
338998,26,1,2010,1
504326,1,1,1984,1
504326,5,1,1984,1
701480,1,1,1984,1
701480,5,1,1984,1
256234,1,1,1983,1
256234,13,1,1983,1
256234,5,1,1983,1
618699,23,1,2010,1
618699,0,1,2010,1
678905,3,1,2000,1
16961,26,1,2009,1
181169,3,1,2000,1
88317,1,1,1984,1
88317,5,1,1984,1
228589,26,1,-1,1
294431,18,1,1997,1
61434,18,3,2016,1
338777,1,1,1984,1
338777,5,1,1984,1
14366,3,1,2001,1
14366,26,1,2011,1
826045,1,1,1984,1
826045,5,1,1984,1
426634,3,1,1991,1
317645,1,1,1984,1
317645,5,1,1984,1
414187,19,1,2011,1
191780,3,1,2001,1
405352,3,1,1993,1
359042,1,1,1984,1
359042,5,1,1984,1
223554,1,1,1984,1
223554,5,1,1984,1
697276,3,1,2000,1
340336,1,1,2011,1
340336,13,1,2011,1
340336,26,1,-1,1
340336,5,1,2011,1
35398,25,1,2023,1
35398,1,1,2011,1
35398,13,1,-1,1
35398,19,1,-1,1
35398,18,1,2009,1
35398,0,1,2023,1
35398,26,2,2020,1
35398,5,1,2011,1
35398,10,2,2023,1
98629,26,1,-1,1
516457,18,1,1995,1
287177,25,1,2003,1
287177,1,1,2003,1
287177,5,1,2003,1
172043,18,1,1995,1
202733,18,1,1997,1
291476,26,1,-1,1
584362,25,1,-1,1
584362,1,1,-1,1
584362,13,1,-1,1
584362,26,1,-1,1
584362,5,1,-1,1
584362,15,1,2017,1
749835,18,1,2016,1
221967,26,1,2009,1
423846,25,1,-1,1
423846,1,1,2018,1
423846,13,1,1998,1
423846,18,1,1986,1
423846,26,1,-1,1
423846,5,1,1998,1
9280,26,1,2010,1
158213,25,1,2007,1
389445,25,1,2007,1
744663,26,1,2010,1
509171,18,1,1999,1
787358,18,1,2011,1
787358,26,1,-1,1
477377,3,1,1996,1
