target_id,ann,type
248457,33539,5
248457,22407,7
248457,6462,1
85450,22425,7
379293,194,1
379293,16694,7
377897,9519,5
377897,1068,7
377897,24950,1
46513,27818,1
46513,8357,1
46513,36427,0
46513,34876,7
236162,27308,5
236162,36474,7
236162,7197,7
236162,27802,1
290355,12656,5
290355,35909,7
4572,16919,5
4572,4246,7
4572,7882,1
387555,35108,5
387555,36821,5
387555,23217,5
387555,12262,5
387555,9758,5
387555,545,7
387555,16557,7
387555,35424,7
387555,2995,1
261040,9595,5
261040,23052,5
261040,30971,5
261040,14251,7
261040,26650,7
261040,14654,7
261040,32355,5
246783,21257,5
246783,22407,7
246783,28379,1
322557,2128,5
322557,29633,7
251931,20323,1
251931,10835,5
251931,16376,5
205880,16471,5
205880,2467,5
205880,33090,7
205880,5644,5
205880,32197,5
205880,11967,5
205880,8864,5
205880,22306,5
205880,7434,5
205880,24272,5
205880,6502,5
205880,9907,5
205880,27029,5
205880,27731,7
205880,12003,7
205880,23847,7
205880,28800,7
205880,27346,7
205880,16177,7
205880,4769,7
205880,19981,7
205880,7941,7
205880,6742,7
205880,17178,7
205880,15742,7
205880,5615,7
205880,11725,7
205880,21906,5
205880,4315,5
205880,15363,5
205880,19117,5
205880,19744,5
205880,25473,5
205880,26759,5
205880,33162,5
205880,8568,5
205880,24049,5
205880,15282,5
205880,25659,5
205880,27721,5
205880,19024,5
205880,11414,5
205880,14596,5
205880,24010,5
135765,19728,5
135765,12055,5
135765,545,7
135765,19294,7
135765,29142,5
135765,27309,7
135765,11442,7
135765,34338,1
367569,13191,5
367569,24472,7
81490,27803,1
81490,9363,7
169228,18605,5
169228,26597,5
169228,20831,5
169228,25260,5
169228,34925,5
169228,26395,5
169228,19751,1
169228,13370,5
169228,19373,5
169228,33090,7
169228,20215,5
169228,3826,5
169228,24472,7
169228,33300,7
169228,28736,5
169228,3868,7
169228,25273,7
169228,34992,7
169228,11725,7
169228,22845,5
169228,28441,5
138422,10925,1
138422,21280,7
199385,13779,5
199385,30295,1
199385,13671,5
199385,2121,5
199385,17461,7
199385,4771,7
199385,545,7
199385,17508,7
199385,19294,7
199385,22607,0
199385,31633,2
199385,12396,5
199385,14159,7
199385,3678,1
258580,28643,5
258580,19294,7
134358,13431,5
95851,23052,5
95851,14251,7
95851,26650,7
163038,610,7
163038,6606,1
225917,24472,7
225917,31030,5
174850,10580,1
174850,4056,7
174850,12382,7
131221,24081,5
131221,5186,5
131221,3601,1
131221,3460,2
131221,18909,2
131221,33437,2
