target_id,ann
261446,38402
198935,11430
340440,31424
153926,11485
384848,47171
335150,13190
390512,17095
283063,13905
335037,38745
295620,55360
372055,62678
237454,63102
316727,8498
329140,48524
235151,9475
155282,60162
301562,54109
366186,63741
190068,68659
269785,31041
54081,2209
189435,25590
298102,26690
251548,60111
66695,31534
387871,27473
247200,14262
92191,37033
206541,34799
265671,71002
79349,64212
229750,40418
268731,6594
88047,15258
347696,55359
165531,27796
135228,15501
189862,19740
227175,31534
6043,56320
285508,61036
93417,32908
49327,69080
293464,50806
60611,61036
334017,31102
1299,49802
190919,306
206594,585
366128,1709
276854,48705
391048,67297
147856,60162
151487,446
302450,1715
66558,59975
19003,14356
277469,10975
122965,63591
259081,60316
366698,12706
201877,15599
279943,51831
187651,51531
397791,1715
275916,8391
88507,51575
98516,5533
353549,23139
269894,10295
351594,27156
159634,38745
287443,55558
360791,68659
19162,22069
303681,60565
362056,49564
159934,41175
162320,67186
73162,49540
398679,17095
380166,44857
130981,36128
157741,45924
298926,36979
331169,29376
210621,13523
224797,66866
262248,73786
108201,46031
140481,54685
342973,54404
141985,43621
11755,55572
61379,65507
182798,63701
122656,60316
343443,61036
118133,11328
305626,11328
312816,25590
231262,73786
143683,65308
199942,11328
116122,37932
104780,8642
211011,7075
144228,45461
113545,41014
155297,69860
182546,34164
190225,6239
21296,17095
71343,16494
349248,16494
218340,63741
211084,38745
86023,23253
69278,29376
306100,46901
146056,11328
179213,59559
131261,63741
127245,11866
40046,52029
184809,31308
188316,75722
127074,29496
110189,9893
229560,14556
270824,40189
376557,45988
308618,40527
265493,35116
193241,45760
170480,18565
4832,70353
333199,70005
146565,29743
201932,11866
362340,13295
363285,18924
141202,3614
159680,68659
64275,26690
128369,38402
168706,2156
295239,60316
261103,75986
182691,61036
345642,23125
53017,44746
1655,40334
160465,23139
208165,49118
376409,68397
182013,32739
48668,39839
332937,14560
275708,48096
76362,38402
148874,34823
269765,59326
373449,68156
288770,31937
241032,34690
84129,12856
364325,69556
230437,62478
18751,44118
179127,3894
114021,40144
252644,27069
202564,27658
20189,65111
66261,45760
89662,56320
387663,29402
175298,49056
74061,37676
312841,11328
143376,72086
104439,73952
22502,52029
332569,65111
60262,44857
190005,11399
119094,44857
269112,39684
289575,43437
186926,7847
109762,71429
354376,7961
276309,11328
227582,64875
339539,64454
21674,67816
389336,17095
331400,72738
280223,67297
56076,30683
370477,61252
260921,8923
170415,12931
7051,54404
184556,53138
5081,48314
384858,34690
186786,51575
43452,23803
319714,50934
295495,45924
25216,27156
114738,53953
256135,68693
170582,75268
54953,75886
123121,38745
318444,53507
361813,65111
11616,72466
208936,4506
363906,44857
376705,75611
134149,38745
88243,41943
183166,68693
395072,40785
99944,64561
148238,40334
393827,48945
389441,59827
286115,29415
374541,63591
371008,68659
199835,60316
56262,15366
231693,7991
43779,18834
19033,6212
6852,31045
113249,37676
337605,14991
341317,19740
342003,59827
236719,38365
132449,15856
153386,40334
290905,75779
399744,15955
85966,60211
157937,11328
153973,54404
259560,38402
153441,2239
78486,61036
70322,16006
288124,56016
58494,58819
2592,27794
331626,17206
223950,41746
217797,73486
358617,15739
323256,20887
158859,11328
396237,30167
106410,63591
14127,62793
1222,46023
333205,38745
220565,16494
386246,12401
234754,18526
125524,69234
217604,39876
209418,24597
305601,64359
160126,64114
378949,70804
375605,48439
172823,65367
118805,52266
211325,31114
185307,40620
286165,49540
384105,30100
258996,11328
100907,65338
