ann,nombre
IPR000719,Protein kinase domain
IPR008271,"Serine/threonine-protein kinase, active site"
IPR017441,"Protein kinase, ATP binding site"
IPR011009,Protein kinase-like domain superfamily
IPR050701,Histone Modification Regulator
IPR013083,"Zinc finger, RING/FYVE/PHD-type"
IPR036322,WD40-repeat-containing domain superfamily
IPR027534,Large ribosomal subunit protein P1/P2
IPR001859,"Large ribosomal subunit protein P1/P2, eukaryota"
IPR038716,"Large ribosomal subunit protein P1/P2, N-terminal domain"
IPR019306,Transmembrane protein 231
IPR012255,"Electron transfer flavoprotein, beta subunit"
IPR014730,"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal"
IPR014729,Rossmann-like alpha/beta/alpha sandwich fold
IPR033948,"Electron transfer flavoprotein, beta subunit, N-terminal"
IPR016024,Armadillo-type fold
IPR007919,Uncharacterised protein family UPF0220
IPR036457,PPM-type phosphatase-like domain superfamily
IPR001932,PPM-type phosphatase-like domain
IPR039123,Protein phosphatase PTC7 homolog
IPR001452,SH3 domain
IPR036028,SH3-like domain superfamily
IPR050660,NEK Serine/Threonine Protein Kinase
IPR036389,"Ribonuclease III, endonuclease domain superfamily"
IPR001202,WW domain
IPR053233,Plasmodium ABRA-related
IPR036020,WW domain superfamily
IPR001844,Chaperonin Cpn60/GroEL
IPR018370,"Chaperonin Cpn60, conserved site"
IPR027409,GroEL-like apical domain superfamily
IPR027410,TCP-1-like chaperonin intermediate domain superfamily
IPR027413,GroEL-like equatorial domain superfamily
IPR002423,Chaperonin Cpn60/GroEL/TCP-1 family
IPR042576,"TRAF3-interacting protein 1, N-terminal domain superfamily"
IPR040468,"TRAF3-interacting protein 1, N-terminal"
IPR018799,TRAF3-interacting protein 1
IPR037593,MIOS/Sea4
IPR031488,"GATOR2 complex protein MIO, zinc-ribbon like domain"
IPR045090,Peptidase M3A/M3B
IPR001567,Peptidase M3A/M3B catalytic domain
IPR024077,"Neurolysin/Thimet oligopeptidase, domain 2"
IPR024079,"Metallopeptidase, catalytic domain superfamily"
IPR031357,"Stealth protein CR3, conserved region 3"
IPR047141,Stealth family
IPR045254,"Nit1/2, carbon-nitrogen hydrolase domain"
IPR003010,Carbon-nitrogen hydrolase
IPR036526,Carbon-nitrogen hydrolase superfamily
IPR035969,Rab-GAP-TBC domain superfamily
IPR001763,Rhodanese-like domain
IPR039755,TBC1 domain family member 23
IPR000195,Rab-GAP-TBC domain
IPR045866,Protein FAM210A/B-like
IPR009688,Protein FAM210A/B-like domain
IPR057419,"PH-like domain 2, kinetoplastida"
IPR058392,Repeat of unknown function DUF8079
IPR029052,Metallo-dependent phosphatase-like
IPR004843,"Calcineurin-like, phosphoesterase domain"
IPR019585,26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1
IPR001841,"Zinc finger, RING-type"
IPR045194,E3 ubiquitin-protein ligase MGRN1/RNF157-like
IPR015943,WD40/YVTN repeat-like-containing domain superfamily
IPR001680,WD40 repeat
IPR050668,Cytochrome b5
IPR036400,Cytochrome b5-like heme/steroid binding domain superfamily
IPR001199,Cytochrome b5-like heme/steroid binding domain
IPR009450,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C
IPR036314,"Manganese/iron superoxide dismutase, C-terminal domain superfamily"
IPR047002,"T-complex protein 10, C-terminal domain superfamily"
IPR028343,"Fructose-1,6-bisphosphatase"
IPR020548,"Fructose-1,6-bisphosphatase, active site"
IPR000146,"Fructose-1,6-bisphosphatase class 1"
IPR033391,"Fructose-1-6-bisphosphatase class I, N-terminal"
IPR044015,"Fructose-1-6-bisphosphatase class 1, C-terminal"
IPR050117,Mitogen-activated protein (MAP) kinase
IPR039055,MCU family
IPR006769,"Calcium uniporter protein, C-terminal"
IPR053120,Paraflagellar Rod Component
IPR007824,Paraflagellar rod
IPR015824,"Phosphoglycerate kinase, N-terminal"
IPR001576,Phosphoglycerate kinase
IPR015911,"Phosphoglycerate kinase, conserved site"
IPR027250,"Phosphoglycerate kinase, euglenozoa"
IPR036043,Phosphoglycerate kinase superfamily
IPR003864,"CSC1/OSCA1-like, 7TM region"
IPR045122,Calcium permeable stress-gated cation channel 1-like
IPR029028,Alpha/beta knot methyltransferases
IPR029026,"tRNA (guanine-N1-)-methyltransferase, N-terminal"
IPR051259,Ribosomal RNA Methyltransferase
IPR000408,"Regulator of chromosome condensation, RCC1"
IPR051553,Ran GTPase-activating
IPR009091,Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
IPR007185,"DNA polymerase alpha/delta/epsilon, subunit B"
IPR016266,"DNA polymerase epsilon, subunit B"
IPR000439,Large ribosomal subunit protein eL15
IPR024794,Large ribosomal subunit protein eL15 core domain superfamily
IPR012678,Ribosomal protein uL23/eL15/eS24 core domain superfamily
IPR023610,Phosphatidylinositol-4/5-phosphate 5/4-kinase
IPR002498,"Phosphatidylinositol-4-phosphate 4/5-kinase, core"
IPR027483,"Phosphatidylinositol-4-phosphate 4/5-kinase, C-terminal domain superfamily"
IPR027484,"Phosphatidylinositol-4-phosphate 5-kinase, N-terminal"
IPR007144,"Small-subunit processome, Utp11"
IPR053125,RNA-binding mRNA stabilization regulator
IPR000571,"Zinc finger, CCCH-type"
IPR011992,EF-hand domain pair
IPR008907,Tubulin polymerization-promoting protein
IPR009944,Amastin surface glycoprotein
IPR039902,Coiled-coil domain-containing protein CCDC148/CCDC112
IPR048739,"Centrosomal protein CEP104, N-terminal domain"
IPR052607,Centrosomal protein 104 kDa-like
IPR008979,Galactose-binding-like domain superfamily
IPR011989,Armadillo-like helical
IPR059245,"Centrosomal protein CEP104, TOG domain"
IPR002155,Thiolase
IPR016039,Thiolase-like
IPR055140,"Thiolase, C-terminal domain 2"
IPR015947,PUA-like superfamily
IPR001950,SUI1 domain
IPR057429,"eIF2D, winged helix domain"
IPR041366,Pre-PUA domain
IPR048248,"Eukaryotic translation initiation factor 2D-like, PUA RNA-binding domain"
IPR039757,Eukaryotic translation initiation factor 2D
IPR036877,SUI1 domain superfamily
IPR000552,Large ribosomal subunit protein eL42
IPR053708,Eukaryotic Ribosomal Large Subunit eL42
IPR011332,Zinc-binding ribosomal protein
IPR053235,Ser/Thr Protein Kinase
IPR014001,"Helicase superfamily 1/2, ATP-binding domain"
IPR001650,"Helicase, C-terminal domain-like"
IPR027417,P-loop containing nucleoside triphosphate hydrolase
IPR011545,DEAD/DEAH-box helicase domain
IPR014014,"RNA helicase, DEAD-box type, Q motif"
IPR025313,"ATP-dependent rRNA helicase SPB4-like, C-terminal extension"
IPR000629,"ATP-dependent RNA helicase DEAD-box, conserved site"
IPR014710,RmlC-like jelly roll fold
IPR000595,Cyclic nucleotide-binding domain
IPR018490,Cyclic nucleotide-binding domain superfamily
IPR032675,Leucine-rich repeat domain superfamily
IPR050503,cAMP-dependent protein kinase regulatory subunit-like
IPR008254,Flavodoxin/nitric oxide synthase
IPR029039,Flavoprotein-like superfamily
IPR003097,"Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding"
IPR001094,Flavodoxin-like
IPR039261,"Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"
IPR023173,"NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily"
IPR017927,"FAD-binding domain, ferredoxin reductase-type"
IPR017938,Riboflavin synthase-like beta-barrel
IPR001709,Flavoprotein pyridine nucleotide cytochrome reductase
IPR035984,Acyl-CoA binding protein superfamily
IPR000582,"Acyl-CoA-binding protein, ACBP"
IPR014352,FERM/acyl-CoA-binding protein superfamily
IPR005045,CDC50/LEM3 family
IPR029045,ClpP/crotonase-like domain superfamily
IPR045004,Enoyl-CoA hydratase/isomerase domain
IPR038340,"MRP-L47 superfamily, mitochondrial"
IPR010729,"Large ribosomal subunit protein uL29m, mitochondrial"
IPR003607,HD/PDEase domain
IPR006674,HD domain
IPR050135,Deoxyguanosinetriphosphate triphosphohydrolase-like
IPR002587,Myo-inositol-1-phosphate synthase
IPR036291,NAD(P)-binding domain superfamily
IPR013021,"Myo-inositol-1-phosphate synthase, GAPDH-like"
IPR011990,Tetratricopeptide-like helical domain superfamily
IPR025697,CLU domain
IPR029058,Alpha/Beta hydrolase fold
IPR019363,Lipid droplet-associated hydrolase
IPR000795,Translational (tr)-type GTP-binding domain
IPR015760,Translation initiation factor IF- 2
IPR036925,"Translation initiation factor IF-2, domain 3 superfamily"
IPR029459,Elongation factor Tu-type domain
IPR023115,"Translation initiation factor IF- 2, domain 3"
IPR005225,Small GTP-binding domain
IPR009000,"Translation protein, beta-barrel domain superfamily"
IPR036869,Chaperone J-domain superfamily
IPR008971,HSP40/DnaJ peptide-binding
IPR001623,DnaJ domain
IPR002939,"Chaperone DnaJ, C-terminal"
IPR051339,DnaJ homolog subfamily B
IPR018253,"DnaJ domain, conserved site"
IPR008250,"P-type ATPase, A domain superfamily"
IPR006544,"P-type ATPase, subfamily V"
IPR023298,"P-type ATPase, transmembrane domain superfamily"
IPR023214,HAD superfamily
IPR023299,"P-type ATPase, cytoplasmic domain N"
IPR059000,"P-type ATPase, A domain"
IPR036412,HAD-like superfamily
IPR044492,"P-type ATPase, haloacid dehalogenase domain"
IPR018303,"P-type ATPase, phosphorylation site"
IPR001757,P-type ATPase
IPR000690,"Matrin/U1-C, C2H2-type zinc finger"
IPR024598,"Splicing factor SF3a60 /Prp9 subunit, C-terminal"
IPR051421,RNA Processing and DNA Damage Response Regulator
IPR015507,Ribosomal RNA large subunit methyltransferase E
IPR029063,S-adenosyl-L-methionine-dependent methyltransferase superfamily
IPR050082,Ribosomal RNA large subunit methyltransferase RlmE
IPR002877,"Ribosomal RNA methyltransferase, FtsJ domain"
IPR000727,Target SNARE coiled-coil homology domain
IPR005886,UDP-glucose 4-epimerase
IPR001509,NAD-dependent epimerase/dehydratase
IPR036188,FAD/NAD(P)-binding domain superfamily
IPR038299,"Alpha-glycerophosphate oxidase, C-terminal domain superfamily"
IPR000447,FAD-dependent glycerol-3-phosphate dehydrogenase
IPR006076,FAD dependent oxidoreductase
