AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.742939764470865,0.8587693611739823,0.6786532710229647,6564,1 4 2 1,0.0,1.5,0.5,0.8
0.7426981135115106,0.859709715822021,0.6890908005362599,6564,1 4 3 1,0.0,1.5,1.0,0.8
0.7414522685655062,0.8604189395296329,0.6656212853956003,6564,2 4 2 1,0.3,1.5,0.5,0.8
0.7413180180325316,0.8593021835767671,0.6622370942091522,6564,2 4 4 1,0.3,1.5,,0.8
0.7412643178193418,0.8589178096566596,0.6613388044876491,6564,2 4 4 3,0.3,1.5,,1.2
0.7411032171797722,0.8590939395748638,0.6617730230841461,6564,2 4 4 2,0.3,1.5,,1.0
0.740982391700095,0.8582927610332232,0.6601745558757917,6564,2 4 1 1,0.3,1.5,0.0,0.8
0.7408561961990989,0.8572184770868276,0.6726691959899913,6564,1 4 4 2,0.0,1.5,,1.0
0.7407756458793141,0.8569997394688422,0.6718306113255066,6564,1 4 4 3,0.0,1.5,,1.2
0.7406950955595293,0.8574504221871229,0.6731766889746471,6564,1 4 4 1,0.0,1.5,,0.8
0.7400292129159752,0.8616744192778584,0.6722078387312131,6564,2 4 3 1,0.3,1.5,1.0,0.8
0.7395056358373743,0.8563024115415303,0.6704465395491725,6564,1 4 1 1,0.0,1.5,0.0,0.8
0.7379080544949763,0.8598081387038938,0.6875618083033452,6564,3 4 2 1,0.6,1.5,0.5,0.8
0.7369146005509641,0.858851591320694,0.6852495942769989,6564,3 4 4 1,0.6,1.5,,0.8
0.7367266498047997,0.85866903858575,0.6841531923208442,6564,3 4 4 2,0.6,1.5,,1.0
0.7365923992718252,0.858468483871493,0.6835127198910111,6564,3 4 4 3,0.6,1.5,,1.2
0.7358674463937622,0.8606837676423921,0.6915837580533979,6564,3 4 3 1,0.6,1.5,1.0,0.8
0.7354512697415408,0.8579196948890662,0.6821720699743268,6564,3 4 1 1,0.6,1.5,0.0,0.8
0.7318936306177135,0.8598636372682584,0.686736792970001,6564,4 4 3 1,0.9,1.5,1.0,0.8
0.731410328699005,0.8588501439253724,0.6831463479502169,6564,4 4 2 1,0.9,1.5,0.5,0.8
0.7304705749681826,0.8581087156718539,0.681976671605903,6564,4 4 4 1,0.9,1.5,,0.8
0.730336324435208,0.8578989338124212,0.6812764941190519,6564,4 4 4 2,0.9,1.5,,1.0
0.7299604229428791,0.857727869777843,0.6810159629611539,6564,4 4 4 3,0.9,1.5,,1.2
0.7292086199582213,0.8586712549098363,0.6861451701322738,6564,5 4 3 1,1.2,1.5,1.0,0.8
0.7290072441587593,0.8572084810128874,0.6800281156541232,6564,4 4 1 1,0.9,1.5,0.0,0.8
0.7268726606844629,0.8576338795441428,0.6837135459918908,6564,5 4 2 1,1.2,1.5,0.5,0.8
0.7261208576998051,0.8569971160648215,0.6819712438734471,6564,5 4 4 1,1.2,1.5,,0.8
0.725825506527261,0.8568047029492489,0.6816537215247584,6564,5 4 4 2,1.2,1.5,,1.0
0.7256644058876913,0.8566757038412063,0.6817351375116019,6564,5 4 4 3,1.2,1.5,,1.2
0.7247112271035716,0.8562901991435038,0.6813524823734389,6564,5 4 1 1,1.2,1.5,0.0,0.8
0.7226867290663145,0.8580350342037607,0.6960562095973164,6564,1 3 4 1,0.0,1.0,,0.8
0.7226491389170815,0.8597052379427448,0.7047025874000619,6564,1 3 2 1,0.0,1.0,0.5,0.8
0.722471928213555,0.857600544220641,0.692859275180608,6564,1 3 4 2,0.0,1.0,,1.0
0.7220852866785882,0.8573095725298843,0.6911685365204978,6564,1 3 4 3,0.0,1.0,,1.2
0.7218033605593415,0.8564783605353191,0.6853364379962983,6564,1 3 1 1,0.0,1.0,0.0,0.8
0.7206622310290572,0.8604447664899035,0.7172976405647011,6564,1 3 3 1,0.0,1.0,1.0,0.8
0.7169434912656604,0.8564356623733305,0.691325940761728,6564,2 3 4 1,0.3,1.0,,0.8
0.7168629409458755,0.8561536464411263,0.6908754389678624,6564,2 3 4 2,0.3,1.0,,1.0
0.7167662805621339,0.8577189140192902,0.694940810577565,6564,2 3 2 1,0.3,1.0,0.5,0.8
0.7164575043362922,0.8591515640011073,0.7004228203583389,6564,2 3 3 1,0.3,1.0,1.0,0.8
0.7164333392403568,0.8558207455171454,0.6898251727375855,6564,2 3 4 3,0.3,1.0,,1.2
0.7159903124815405,0.855076105855257,0.687613371761679,6564,2 3 1 1,0.3,1.0,0.0,0.8
0.7114284793710631,0.8559843011884924,0.6915593332573451,6564,3 3 2 1,0.6,1.0,0.5,0.8
0.7109183273457595,0.8549827488570101,0.6882782689875651,6564,3 3 4 1,0.6,1.0,,0.8
0.7109156423351001,0.8572942844167991,0.6967075374920619,6564,3 3 3 1,0.6,1.0,1.0,0.8
