umbral_promiscuidad,mw_max,compuestos_filtrables,aristas_filtrables
10,50.0,0,0
10,75.0,0,0
10,100.0,0,0
10,125.0,10,749
10,150.0,30,8153
10,175.0,88,18817
10,200.0,136,20178
10,225.0,173,21569
10,250.0,236,24415
10,275.0,288,25308
10,300.0,425,27265
10,325.0,571,30837
10,350.0,682,33206
10,375.0,767,35000
10,400.0,816,35757
10,425.0,890,36881
10,450.0,942,37638
10,475.0,968,38013
10,500.0,1014,38817
10,525.0,1052,39418
10,550.0,1085,39930
10,575.0,1135,40582
10,600.0,1209,41631
50,50.0,0,0
50,75.0,0,0
50,100.0,0,0
50,125.0,6,681
50,150.0,11,7865
50,175.0,17,17628
50,200.0,22,18328
50,225.0,28,19262
50,250.0,30,21072
50,275.0,31,21151
50,300.0,31,21151
50,325.0,32,22158
50,350.0,35,22801
50,375.0,37,23084
50,400.0,38,23173
50,425.0,40,23389
50,450.0,41,23492
50,475.0,41,23492
50,500.0,42,23640
50,525.0,44,23784
50,550.0,44,23784
50,575.0,44,23784
50,600.0,44,23784
100,50.0,0,0
100,75.0,0,0
100,100.0,0,0
100,125.0,3,479
100,150.0,5,7445
100,175.0,7,16909
100,200.0,9,17445
100,225.0,11,18056
100,250.0,12,19812
100,275.0,12,19812
100,300.0,12,19812
100,325.0,13,20819
100,350.0,15,21377
100,375.0,16,21595
100,400.0,16,21595
100,425.0,18,21811
100,450.0,19,21914
100,475.0,19,21914
100,500.0,20,22062
100,525.0,20,22062
100,550.0,20,22062
100,575.0,20,22062
100,600.0,20,22062
500,50.0,0,0
500,75.0,0,0
500,100.0,0,0
500,125.0,0,0
500,150.0,1,6863
500,175.0,3,16327
500,200.0,3,16327
500,225.0,3,16327
500,250.0,4,18083
500,275.0,4,18083
500,300.0,4,18083
500,325.0,5,19090
500,350.0,5,19090
500,375.0,5,19090
500,400.0,5,19090
500,425.0,5,19090
500,450.0,5,19090
500,475.0,5,19090
500,500.0,5,19090
500,525.0,5,19090
500,550.0,5,19090
500,575.0,5,19090
500,600.0,5,19090
