Unnamed: 0,sp3,sp18,sp21,sp28,sp10,sp25,sp1,sp0,sp5,sp26,sp23,sp15,sp4,sp9,sp17,sp22
sp3,66924,512,163,27,819,54,385,258,23,648,44,71,30,451,97,25
sp18,512,1541,77,23,117,31,119,57,17,47,22,33,16,33,47,17
sp21,163,77,461,29,103,39,127,63,15,36,22,33,22,24,43,16
sp28,27,23,29,59,25,16,23,13,8,8,6,11,9,12,19,7
sp10,819,117,103,25,2616,46,157,84,18,51,28,43,24,29,50,19
sp25,54,31,39,16,46,111,47,30,11,20,16,19,14,13,21,8
sp1,385,119,127,23,157,47,1811,143,23,59,32,45,30,30,53,20
sp0,258,57,63,13,84,30,143,1150,17,61,29,37,25,32,40,17
sp5,23,17,15,8,18,11,23,17,47,6,9,11,5,12,14,5
sp26,648,47,36,8,51,20,59,61,6,1888,16,26,12,48,15,10
sp23,44,22,22,6,28,16,32,29,9,16,127,20,8,13,13,11
sp15,71,33,33,11,43,19,45,37,11,26,20,253,19,15,21,12
sp4,30,16,22,9,24,14,30,25,5,12,8,19,158,7,14,6
sp9,451,33,24,12,29,13,30,32,12,48,13,15,7,969,19,9
sp17,97,47,43,19,50,21,53,40,14,15,13,21,14,19,205,10
sp22,25,17,16,7,19,8,20,17,5,10,11,12,6,9,10,57
