params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
2 3 4 1,0.610903770701567,0.8175682206020422,0.5376328573753617,18185,0.3,1.0,,0.8
2 3 4 2,0.6108576088884652,0.8169741347486082,0.5369908862234767,18185,0.3,1.0,,1.0
2 3 4 3,0.6107330382540663,0.8165472385968858,0.5368260245609009,18185,0.3,1.0,,1.2
2 3 2 1,0.6105113584785491,0.8198669041442287,0.5395930730854537,18185,0.3,1.0,0.5,0.8
1 3 1 1,0.6102649412720873,0.8208006843583584,0.5448673488030824,18185,0.0,1.0,0.0,0.8
2 3 1 1,0.6101019392717568,0.8155252159007952,0.5365996945558593,18185,0.3,1.0,0.0,0.8
3 3 4 1,0.6100247820466681,0.8157435515072948,0.5371511661428476,18185,0.6,1.0,,0.8
1 3 4 3,0.6099778840005026,0.8224815725396857,0.5472335150704075,18185,0.0,1.0,,1.2
1 3 4 2,0.6099458578622263,0.8231247229160388,0.5491741874156788,18185,0.0,1.0,,1.0
3 3 4 2,0.60990345083775,0.815267915203854,0.536850474040127,18185,0.6,1.0,,1.0
3 3 4 3,0.6098426379866783,0.8149175436244801,0.5366032626390629,18185,0.6,1.0,,1.2
3 3 2 1,0.6098208454879891,0.817606138243816,0.5399998751170878,18185,0.6,1.0,0.5,0.8
1 3 4 1,0.6096448121624288,0.8241290369719104,0.5515349204653979,18185,0.0,1.0,,0.8
5 4 4 2,0.6094239422432819,0.8224844885016221,0.5321674053815291,18185,1.2,1.5,,1.0
5 4 4 1,0.609396708246018,0.8227716110757952,0.5323901673033666,18185,1.2,1.5,,0.8
5 4 4 3,0.609335594275623,0.8222826890686068,0.5322146013911793,18185,1.2,1.5,,1.2
1 3 2 1,0.6092147048065433,0.8276454201367964,0.5582802601229968,18185,0.0,1.0,0.5,0.8
3 3 1 1,0.6090377143780001,0.8140272899707965,0.535440554071422,18185,0.6,1.0,0.0,0.8
5 4 2 1,0.6088529935022868,0.823920168949821,0.533441657095689,18185,1.2,1.5,0.5,0.8
5 4 1 1,0.6088323789764997,0.8217766970270001,0.5322344691272005,18185,1.2,1.5,0.0,0.8
2 3 3 1,0.608579998282221,0.8231533182646691,0.5448542928622686,18185,0.3,1.0,1.0,0.8
3 3 3 1,0.6085269895016258,0.8205028136093073,0.5424512699173039,18185,0.6,1.0,1.0,0.8
5 4 3 1,0.6083328643811884,0.8256913303119777,0.5365034374021564,18185,1.2,1.5,1.0,0.8
4 3 2 1,0.6080047793894557,0.8160842831800585,0.5403004050342086,18185,0.9,1.0,0.5,0.8
4 4 4 1,0.6078478145002486,0.8237030429775893,0.533709749892775,18185,0.9,1.5,,0.8
4 4 4 2,0.6078308811397807,0.8233850240465832,0.5332343433522677,18185,0.9,1.5,,1.0
4 4 4 3,0.6077617488550876,0.8231631271146131,0.5330205827312395,18185,0.9,1.5,,1.2
4 3 4 1,0.6077440792615559,0.814500932742902,0.5375348972728573,18185,0.9,1.0,,0.8
4 3 4 2,0.6075051716323452,0.8140676268811062,0.5366628658471266,18185,0.9,1.0,,1.0
4 4 2 1,0.6072585335559644,0.8249064330999402,0.5352038847343694,18185,0.9,1.5,0.5,0.8
4 4 1 1,0.6071905792441734,0.8226102600556897,0.5321730007847352,18185,0.9,1.5,0.0,0.8
4 3 4 3,0.6071783577753139,0.8137577949440423,0.536355889052399,18185,0.9,1.0,,1.2
4 4 3 1,0.6070450259674556,0.8267696415479284,0.539959815273845,18185,0.9,1.5,1.0,0.8
1 3 3 1,0.606974642086554,0.8324054728936099,0.5764753760496144,18185,0.0,1.0,1.0,0.8
4 3 3 1,0.606693695549399,0.8187478708071678,0.5438520263995987,18185,0.9,1.0,1.0,0.8
4 3 1 1,0.6065501301019535,0.8130026216221031,0.5355028738882885,18185,0.9,1.0,0.0,0.8
5 3 2 1,0.605351174557517,0.8149227842466855,0.5385745069699668,18185,1.2,1.0,0.5,0.8
5 3 4 1,0.6052271929095691,0.8135494100998867,0.5367986962872715,18185,1.2,1.0,,0.8
3 4 4 1,0.6050733448630377,0.8245886371741342,0.5324071156985848,18185,0.6,1.5,,0.8
3 4 4 2,0.6049846777383456,0.8242563256371132,0.5320077742045588,18185,0.6,1.5,,1.0
5 3 4 2,0.6049759901881925,0.8131555356121328,0.5367525139376221,18185,1.2,1.0,,1.0
5 3 3 1,0.6049165025566356,0.8173635930576237,0.5437189125682567,18185,1.2,1.0,1.0,0.8
5 3 4 3,0.604909590177666,0.8128970354175238,0.5365759343654339,18185,1.2,1.0,,1.2
3 4 4 3,0.604904649204308,0.8240227648573969,0.531673631321802,18185,0.6,1.5,,1.2
3 4 1 1,0.6044983957996902,0.8234114704360114,0.531469277465584,18185,0.6,1.5,0.0,0.8
3 4 2 1,0.6044608479134352,0.8259747428905468,0.5344771716063941,18185,0.6,1.5,0.5,0.8
5 3 1 1,0.6042941647477856,0.8121688896500799,0.5361711596538019,18185,1.2,1.0,0.0,0.8
3 4 3 1,0.6041728335388675,0.8279901422510978,0.5392937190139342,18185,0.6,1.5,1.0,0.8
2 4 3 1,0.6001077226769664,0.8291542496695402,0.5464411978671619,18185,0.3,1.5,1.0,0.8
2 4 4 1,0.5998970863974065,0.8252160048642706,0.5367773688808488,18185,0.3,1.5,,0.8
2 4 4 2,0.599820739028688,0.8248542296098844,0.536044735978467,18185,0.3,1.5,,1.0
2 4 2 1,0.5998178677197391,0.8268212165687837,0.5400327177011228,18185,0.3,1.5,0.5,0.8
2 4 4 3,0.599800124502901,0.8245810347241262,0.5364739601693249,18185,0.3,1.5,,1.2
2 4 1 1,0.5993488872580836,0.8238869445538521,0.535106816652666,18185,0.3,1.5,0.0,0.8
1 4 3 1,0.5968071898518459,0.8324819974659581,0.573783703282742,18185,0.0,1.5,1.0,0.8
1 4 2 1,0.5962603895553442,0.8293096302322391,0.5650144900669836,18185,0.0,1.5,0.5,0.8
1 4 4 1,0.5957725615272549,0.8269826351662226,0.5577214090912004,18185,0.0,1.5,,0.8
1 4 4 2,0.5955835704997714,0.826283395603143,0.5564464680882395,18185,0.0,1.5,,1.0
1 4 4 3,0.5954796880144659,0.8258940555544608,0.5565605656579615,18185,0.0,1.5,,1.2
1 4 1 1,0.5950188061165124,0.8248574496698211,0.5510013703872287,18185,0.0,1.5,0.0,0.8
2 2 2 1,0.5843608754146852,0.8082857710545359,0.5374094872575235,18185,0.3,0.5,0.5,0.8
2 2 3 1,0.5843578568591234,0.8122967290705497,0.5431233670444213,18185,0.3,0.5,1.0,0.8
3 2 3 1,0.5841755655525207,0.8109408169067026,0.5476145295916142,18185,0.6,0.5,1.0,0.8
2 2 4 1,0.5839206816658251,0.8060061037739696,0.5349795820493302,18185,0.3,0.5,,0.8
4 2 3 1,0.5838677465085362,0.8103821483337065,0.5390208822880431,18185,0.9,0.5,1.0,0.8
2 2 4 3,0.5837264633835885,0.8049832160880113,0.5338187386160915,18185,0.3,0.5,,1.2
3 2 4 1,0.5836780192479889,0.8060558136604228,0.540396500002311,18185,0.6,0.5,,0.8
3 2 2 1,0.5836731601097677,0.8077578163795723,0.543305988030216,18185,0.6,0.5,0.5,0.8
2 2 4 2,0.5836543125433338,0.8053668255788208,0.5345566425504789,18185,0.3,0.5,,1.0
5 2 3 1,0.5835682468981729,0.8101749427140188,0.5383831685081626,18185,1.2,0.5,1.0,0.8
3 2 4 2,0.5835256926270838,0.8055732405437077,0.5396114000582732,18185,0.6,0.5,,1.0
4 2 2 1,0.5835060352042798,0.8076497264347906,0.5367161843631836,18185,0.9,0.5,0.5,0.8
3 2 4 3,0.5832740481658689,0.8052438280742895,0.5390490620360731,18185,0.6,0.5,,1.2
5 2 2 1,0.5832638145262818,0.8076841773593606,0.5348311822251719,18185,1.2,0.5,0.5,0.8
4 2 4 2,0.5832392468890877,0.8057801555808619,0.534005860252291,18185,0.9,0.5,,1.0
2 2 1 1,0.5831776752578145,0.8038733327218937,0.532325860712898,18185,0.3,0.5,0.0,0.8
4 2 4 1,0.5831742149624145,0.8061724115914807,0.5343934838367046,18185,0.9,0.5,,0.8
4 2 4 3,0.5831619198702487,0.8055168067125809,0.533440805621288,18185,0.9,0.5,,1.2
5 2 4 1,0.5827418989073374,0.8063596278359471,0.5332229498138554,18185,1.2,0.5,,0.8
3 2 1 1,0.5827356409262949,0.804455099227448,0.538079232693438,18185,0.6,0.5,0.0,0.8
5 2 4 3,0.5826214511780958,0.8058053213798221,0.5326578951828527,18185,1.2,0.5,,1.2
5 2 4 2,0.5826032662214193,0.8060314081064633,0.5329512889335657,18185,1.2,0.5,,1.0
4 2 1 1,0.5824747199284759,0.8048697267142904,0.5324602720290414,18185,0.9,0.5,0.0,0.8
5 2 1 1,0.5821803739495592,0.8052373136193491,0.532239537427206,18185,1.2,0.5,0.0,0.8
1 2 2 1,0.5800139606744206,0.8050709382245049,0.5381632042879279,18185,0.0,0.5,0.5,0.8
1 2 4 1,0.5787184738934182,0.7999402778558296,0.5286390981961637,18185,0.0,0.5,,0.8
1 2 4 2,0.5782300953912184,0.7983327617642474,0.5257075529266351,18185,0.0,0.5,,1.0
1 2 4 3,0.5781871074997019,0.7972152421594548,0.5247845546760499,18185,0.0,0.5,,1.2
1 2 3 1,0.5771842153928164,0.813147767597658,0.554670170848744,18185,0.0,0.5,1.0,0.8
1 2 1 1,0.5755123706941179,0.7942403663037465,0.5267648003077634,18185,0.0,0.5,0.0,0.8
5 1 3 1,0.5722488107885002,0.809660415655203,0.5413192955208959,18185,1.2,0.0,1.0,0.8
4 1 3 1,0.5712085134693177,0.809459484590922,0.5355485291347373,18185,0.9,0.0,1.0,0.8
2 1 3 1,0.5709377269484434,0.8087858264274028,0.5423982352260475,18185,0.3,0.0,1.0,0.8
5 1 2 1,0.5708781656935801,0.8074733935198689,0.538132713395095,18185,1.2,0.0,0.5,0.8
3 1 3 1,0.5703470471613379,0.8091484734293899,0.5385406101795307,18185,0.6,0.0,1.0,0.8
5 1 4 1,0.5700921632746422,0.8063042380746214,0.5349442661348927,18185,1.2,0.0,,0.8
5 1 4 2,0.5698856499002397,0.8059598301949202,0.5345693741200925,18185,1.2,0.0,,1.0
5 1 4 3,0.5697336177725602,0.8057274148510056,0.5341673160172633,18185,1.2,0.0,,1.2
4 1 2 1,0.5695396369254866,0.8069180328573429,0.5327013609236988,18185,0.9,0.0,0.5,0.8
