parametro,valor,frec_topk,frec_grilla,enriquecimiento
alpha,0.3,0.2625,0.2,1.3125
alpha,0.0,0.24375,0.2,1.21875
alpha,1.2,0.16875,0.2,0.84375
alpha,0.9,0.1625,0.2,0.8125
alpha,0.6,0.1625,0.2,0.8125
beta,1.0,0.6125,0.25,2.45
beta,1.5,0.225,0.25,0.9
beta,0.5,0.1,0.25,0.4
beta,0.0,0.0625,0.25,0.25
lambda_,,0.4,0.5,0.8
lambda_,0.5,0.25625,0.1666666666666666,1.5375
lambda_,1.0,0.24375,0.1666666666666666,1.4625
lambda_,0.0,0.1,0.1666666666666666,0.6000000000000001
gamma,0.8,0.75,0.6666666666666666,1.125
gamma,1.0,0.13125,0.1666666666666666,0.7875000000000001
gamma,1.2,0.11875,0.1666666666666666,0.7125
