especie,n_combos,auc01_max,auc01_min,caida_top5,caida_top10,caida_top20,n_dentro_0.001,n_dentro_0.005,n_dentro_0.01
sp4,120,0.8493870852798066,0.5504530025660762,0.0042818445786064,0.0082411606045386,0.0108547540486229,2,5,16
sp15,120,0.788785087267463,0.5296078612106655,0.002434503269681,0.0047716264085749,0.0114450294889948,3,10,13
sp23,120,0.742939764470865,0.5412739838577159,0.0022551581321218,0.0030213336513685,0.0155186683002106,2,12,17
sp26,120,0.736462501282446,0.5718528778085565,0.0064987531866877,0.0139796330607525,0.0190086789351239,2,4,8
sp21,120,0.6833606229907947,0.5163954342727084,0.0021134403085539,0.0052279996543563,0.008285064655131,1,8,35
sp9,120,0.6636854421950156,0.5518878452374388,0.0080125189801057,0.0111642539248552,0.0153722410128168,1,3,7
sp22,120,0.6520767992769678,0.5237678386759897,0.0111655066133278,0.0159437583517825,0.0214046174814452,2,2,4
sp25,120,0.645299134918323,0.5801036259361192,0.0014275459616231,0.0028666744462614,0.0135515519277807,2,13,18
sp28,120,0.6443366587609078,0.5083808439437492,0.0017911385693664,0.0024465524642192,0.0045790931967254,1,21,29
sp17,120,0.6140486062844976,0.5561211496576404,0.0082281150135316,0.010753301957122,0.015638889434515,1,3,7
sp18,120,0.610903770701567,0.5260994408182889,0.0010457120419244,0.0016374426084622,0.0033907005070348,4,24,44
sp3,120,0.5942165658871689,0.5721451458874308,0.0104832312090726,0.0181938698356194,0.0213798973798786,1,2,4
sp5,120,0.5911847520034654,0.514159627463721,0.0016791842217745,0.0079379617756609,0.0160285766623922,3,8,11
sp1,120,0.5879583109601169,0.5261439781642343,0.003102691431298,0.0046566423606266,0.0078257628053849,2,10,20
sp10,120,0.5812737585186122,0.5529411367716334,0.0006462105632051,0.0010036887471062,0.0015047692783859,9,27,48
sp0,120,0.5808250385896628,0.5388612058459439,0.0014741347896498,0.0025785878018331,0.0095302125302835,3,14,20
