corte,particion,valor,n,pct_recuperadas,pct_sin_semilla
0.1,total,todas,7782,2.634284245695194,83.14058082755076
0.1,grupo,0,2577,0.8149010477299184,90.06596818005433
0.1,grupo,1,1494,1.4725568942436411,87.81793842034806
0.1,grupo,2,2066,4.211035818005808,76.23426911907066
0.1,grupo,3,1645,4.5592705167173255,76.71732522796353
0.1,semilla,informativa,207,99.03381642512076,0.0
0.1,semilla,no informativa,1105,0.0,0.0
0.1,semilla,nula,6470,0.0,100.0
0.1,clase,directa,124,100.0,0.0
0.1,clase,indirecta,1188,6.8181818181818175,0.0
0.1,clase,sin semilla,6470,0.0,100.0
0.1,especie,sp21,364,7.6923076923076925,81.31868131868131
0.1,especie,sp25,105,5.714285714285714,69.52380952380952
0.1,especie,sp9,501,1.7964071856287425,77.04590818363273
0.1,especie,sp22,49,8.16326530612245,69.38775510204081
0.1,especie,sp17,170,6.470588235294119,77.64705882352942
0.1,especie,sp1,1000,2.8000000000000003,85.39999999999999
0.1,especie,sp3,1000,3.5000000000000004,84.1
0.1,especie,sp23,123,0.8130081300813009,86.1788617886179
0.1,especie,sp18,1000,2.8000000000000003,81.8
0.1,especie,sp0,1000,1.9,89.8
0.1,especie,sp28,43,13.953488372093023,67.44186046511628
0.1,especie,sp26,1000,0.8,81.8
0.1,especie,sp5,38,5.263157894736842,71.05263157894737
0.1,especie,sp10,1000,1.7999999999999998,81.6
0.1,especie,sp15,236,0.423728813559322,86.86440677966102
0.1,especie,sp4,153,0.6535947712418301,89.54248366013073
