drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
19546,sp25,no informativa,113545,10,0.0,3025.0,0.5008278145695364,184693.0,3025.0,indirecta,6040.0
41523,sp25,nula,38190,0,,,,,,sin semilla,
41984,sp25,nula,322054,0,,,,,,sin semilla,
42286,sp25,nula,64896,0,,,,,,sin semilla,
83211,sp25,no informativa,38190,4,0.0,3025.0,0.5008278145695364,184441.0,3025.0,indirecta,6040.0
91228,sp25,nula,234754,0,,,,,,sin semilla,
91271,sp25,nula,227175,0,,,,,,sin semilla,
91417,sp25,nula,376557,0,,,,,,sin semilla,
91469,sp25,nula,299120,0,,,,,,sin semilla,
91555,sp25,nula,57398,0,,,,,,sin semilla,
91680,sp25,no informativa,299120,358,0.0,3174.5,0.5255794701986755,196112.5,3174.5,indirecta,6040.0
91754,sp25,nula,331805,0,,,,,,sin semilla,
91794,sp25,nula,64103,0,,,,,,sin semilla,
91805,sp25,nula,57398,0,,,,,,sin semilla,
91889,sp25,nula,57398,0,,,,,,sin semilla,
91895,sp25,nula,222298,0,,,,,,sin semilla,
92182,sp25,no informativa,113545,3,0.0,3021.0,0.5001655629139072,187465.0,3021.0,indirecta,6040.0
92592,sp25,no informativa,299120,9,0.0,3074.0,0.5089403973509934,188930.0,3074.0,indirecta,6040.0
92652,sp25,no informativa,317030,3,0.0,3029.5,0.5015728476821192,184744.0,3029.5,indirecta,6040.0
119275,sp25,nula,317030,0,,,,,,sin semilla,
146465,sp25,nula,324181,0,,,,,,sin semilla,
161110,sp25,no informativa,331805,12,0.0,3072.5,0.5086920529801324,186678.0,3072.5,indirecta,6040.0
195427,sp25,no informativa,376557,12,0.0,3057.0,0.5061258278145695,189731.0,3057.0,indirecta,6040.0
215696,sp25,nula,116122,0,,,,,,sin semilla,
244355,sp25,no informativa,64896,2,0.0,3024.5,0.5007450331125828,184680.0,3024.5,indirecta,6040.0
250522,sp25,nula,324181,0,,,,,,sin semilla,
275643,sp25,no informativa,324181,7,0.0,3080.0,0.5099337748344371,189509.0,3080.0,indirecta,6040.0
279042,sp25,no informativa,324181,2,0.0,3033.0,0.5021523178807947,185326.5,3033.0,indirecta,6040.0
280963,sp25,nula,324181,0,,,,,,sin semilla,
285321,sp25,nula,324181,0,,,,,,sin semilla,
319101,sp25,nula,324181,0,,,,,,sin semilla,
339190,sp25,nula,324181,0,,,,,,sin semilla,
349359,sp25,no informativa,113545,23,0.0,3047.0,0.5044701986754967,185997.0,3047.0,indirecta,6040.0
414353,sp25,no informativa,324181,11,0.0,3063.5,0.5072019867549669,190163.5,3063.5,indirecta,6040.0
438039,sp25,informativa,113545,1309,0.0748807539931726,27.0,0.0044701986754966,2718.5,27.0,indirecta,6040.0
443699,sp25,nula,142989,0,,,,,,sin semilla,
463263,sp25,nula,228160,0,,,,,,sin semilla,
531425,sp25,nula,142989,0,,,,,,sin semilla,
557350,sp25,no informativa,116122,5,0.0,3074.5,0.509023178807947,186997.5,3074.5,indirecta,6040.0
587537,sp25,nula,299120,0,,,,,,sin semilla,
601827,sp25,nula,299120,0,,,,,,sin semilla,
655569,sp25,no informativa,57231,4,0.0,3058.5,0.5063741721854305,186617.0,3058.5,indirecta,6040.0
668224,sp25,nula,324181,0,,,,,,sin semilla,
818847,sp25,nula,299120,0,,,,,,sin semilla,
828979,sp25,nula,299120,0,,,,,,sin semilla,
829290,sp25,nula,299120,0,,,,,,sin semilla,
829294,sp25,nula,299120,0,,,,,,sin semilla,
918213,sp25,no informativa,184809,6,0.0,3087.5,0.5111754966887417,187925.0,3087.5,indirecta,6040.0
924218,sp25,informativa,229560,42,0.0077160201973938,14.0,0.0023178807947019,795.0,14.0,indirecta,6040.0
934956,sp25,nula,144228,0,,,,,,sin semilla,
958276,sp25,nula,216040,0,,,,,,sin semilla,
987689,sp25,nula,113545,0,,,,,,sin semilla,
1009758,sp25,nula,322054,0,,,,,,sin semilla,
1087694,sp25,nula,116122,0,,,,,,sin semilla,
