clase,especie,n,rG_mediana,rSS_mediana
directa,sp21,22,9.5,2.0
directa,sp9,4,264.25,25.75
directa,sp22,2,170.0,15.0
directa,sp17,7,20.0,3.5
directa,sp1,16,20.5,1.5
directa,sp3,26,41.0,3.5
directa,sp18,15,19.5,3.0
directa,sp0,13,16.0,1.0
directa,sp28,1,444.0,24.0
directa,sp26,6,39.0,1.0
directa,sp10,12,298.5,4.0
indirecta,sp21,46,185364.5,10881.25
indirecta,sp25,32,185153.25,3033.5
indirecta,sp9,111,186013.5,13841.0
indirecta,sp22,13,185568.0,6567.5
indirecta,sp17,31,184983.5,5380.5
indirecta,sp1,130,185185.5,2273.75
indirecta,sp3,133,185682.5,8218.0
indirecta,sp23,17,184899.5,3288.5
indirecta,sp18,167,185481.5,9161.0
indirecta,sp0,89,185679.0,2046.5
indirecta,sp28,13,184658.5,11016.5
indirecta,sp26,176,186127.0,2761.5
indirecta,sp5,11,184741.0,1101.0
indirecta,sp10,172,185543.75,3062.0
indirecta,sp15,31,184899.5,4322.5
indirecta,sp4,16,186785.5,9680.0
