drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
41987,sp21,no informativa,376664,2,0.0,10860.5,0.500161186331399,184323.5,10860.5,indirecta,21714.0,sp21_pseudohuerfanas,2
72963,sp21,no informativa,195148,6,0.0,10867.5,0.5004835589941973,184475.0,10867.5,indirecta,21714.0,sp21_pseudohuerfanas,2
73082,sp21,no informativa,387305,3,0.0,10859.0,0.5000921064750852,184397.5,10859.0,indirecta,21714.0,sp21_pseudohuerfanas,2
90805,sp21,no informativa,147855,2,0.0,10874.0,0.5007829050382242,184347.5,10874.0,indirecta,21714.0,sp21_pseudohuerfanas,2
90905,sp21,no informativa,169612,71,0.0,11531.5,0.5310629087224832,193377.5,11531.5,indirecta,21714.0,sp21_pseudohuerfanas,2
91041,sp21,no informativa,183775,20,0.0,11522.5,0.5306484295845998,193493.5,11522.5,indirecta,21714.0,sp21_pseudohuerfanas,2
91776,sp21,informativa,228817,9,0.0026881720430107,23.5,0.001082251082251,230.5,23.5,indirecta,21714.0,sp21_pseudohuerfanas,2
91787,sp21,informativa,195462,1517,0.0666666666666666,327.0,0.0150594086764299,4783.5,327.0,directa,21714.0,sp21_pseudohuerfanas,2
92044,sp21,no informativa,308863,2,0.0,10857.5,0.5000230266187713,184277.5,10857.5,indirecta,21714.0,sp21_pseudohuerfanas,2
92082,sp21,no informativa,266255,7,0.0,10973.5,0.5053652021737128,186636.0,10973.5,indirecta,21714.0,sp21_pseudohuerfanas,2
92592,sp21,no informativa,169612,9,0.0,11067.0,0.5096711798839458,188930.0,11067.0,indirecta,21714.0,sp21_pseudohuerfanas,3
94736,sp21,informativa,259250,3,0.0118287740628166,9.0,0.0004144791378833,61.0,9.0,directa,21714.0,sp21_pseudohuerfanas,2
94913,sp21,informativa,259250,6,0.0118287740628166,11.0,0.0005065856129685,127.0,11.0,directa,21714.0,sp21_pseudohuerfanas,0
