posicion,n,frac_acumulada
1,70,0.0533536585365853
2,21,0.0693597560975609
3,12,0.0785060975609756
4,11,0.086890243902439
5,7,0.0922256097560975
6,7,0.0975609756097561
7,5,0.1013719512195122
8,5,0.1051829268292682
9,1,0.1059451219512195
10,8,0.1120426829268292
11,2,0.1135670731707317
12,1,0.1143292682926829
14,3,0.1166158536585365
15,4,0.1196646341463414
17,1,0.1204268292682926
18,1,0.1211890243902439
19,2,0.1227134146341463
21,1,0.1234756097560975
22,1,0.1242378048780487
23,3,0.1265243902439024
24,3,0.1288109756097561
27,1,0.1295731707317073
28,1,0.1303353658536585
31,2,0.1318597560975609
32,1,0.1326219512195122
33,1,0.1333841463414634
35,1,0.1341463414634146
36,1,0.1349085365853658
41,1,0.135670731707317
43,1,0.1364329268292683
44,1,0.1371951219512195
47,2,0.1387195121951219
50,1,0.1394817073170731
59,1,0.1402439024390244
72,1,0.1410060975609756
73,1,0.1417682926829268
81,1,0.142530487804878
86,1,0.1432926829268292
93,1,0.1440548780487804
103,1,0.1448170731707317
106,1,0.1455792682926829
119,1,0.1463414634146341
130,1,0.1471036585365853
134,1,0.1478658536585365
148,1,0.1486280487804878
184,1,0.149390243902439
220,1,0.1501524390243902
240,1,0.1509146341463414
320,1,0.1516768292682926
327,1,0.1524390243902439
369,1,0.1532012195121951
379,1,0.1539634146341463
589,1,0.1547256097560975
599,1,0.1554878048780487
805,1,0.15625
1097,2,0.1577743902439024
1098,1,0.1585365853658536
1101,1,0.1592987804878048
1102,1,0.1600609756097561
1103,1,0.1608231707317073
1121,1,0.1615853658536585
1122,1,0.1623475609756097
1143,1,0.1631097560975609
2037,15,0.1745426829268292
2038,5,0.1783536585365853
2039,3,0.180640243902439
2040,4,0.1836890243902439
2041,1,0.1844512195121951
2042,2,0.1859756097560975
2043,2,0.1875
2044,4,0.1905487804878048
2045,2,0.1920731707317073
2046,3,0.1943597560975609
2047,4,0.1974085365853658
2048,2,0.1989329268292683
2049,3,0.2012195121951219
2050,2,0.2027439024390244
2053,1,0.2035060975609756
2055,1,0.2042682926829268
2058,3,0.2065548780487804
2059,1,0.2073170731707317
2064,1,0.2080792682926829
2067,1,0.2088414634146341
2069,1,0.2096036585365853
2072,4,0.2126524390243902
2073,5,0.2164634146341463
2074,2,0.2179878048780487
2075,1,0.21875
2076,1,0.2195121951219512
2077,1,0.2202743902439024
2078,1,0.2210365853658536
2083,1,0.2217987804878048
2084,1,0.2225609756097561
2093,1,0.2233231707317073
2094,1,0.2240853658536585
2100,1,0.2248475609756097
2174,1,0.2256097560975609
2267,23,0.243140243902439
2268,8,0.2492378048780487
2269,10,0.2568597560975609
2270,3,0.2591463414634146
2271,5,0.2629573170731707
2272,2,0.2644817073170731
2273,2,0.2660060975609756
2274,3,0.2682926829268293
2275,1,0.2690548780487805
2277,5,0.2728658536585366
2278,2,0.274390243902439
2279,2,0.2759146341463415
2280,4,0.2789634146341463
2281,1,0.2797256097560975
2282,1,0.2804878048780488
2283,1,0.28125
2284,1,0.2820121951219512
2285,3,0.2842987804878049
2286,1,0.2850609756097561
2287,3,0.2873475609756097
2288,1,0.2881097560975609
2290,2,0.2896341463414634
2299,2,0.2911585365853658
2311,1,0.2919207317073171
2326,7,0.2972560975609756
2327,2,0.298780487804878
2329,1,0.2995426829268293
2330,1,0.3003048780487805
2332,4,0.3033536585365853
2336,2,0.3048780487804878
2337,1,0.305640243902439
2338,1,0.3064024390243902
2339,1,0.3071646341463415
2343,1,0.3079268292682927
2345,1,0.3086890243902439
2346,1,0.3094512195121951
2352,1,0.3102134146341463
2356,1,0.3109756097560975
2358,1,0.3117378048780488
2368,1,0.3125
2412,1,0.3132621951219512
2416,1,0.3140243902439024
2426,1,0.3147865853658536
2472,1,0.3155487804878049
2649,1,0.3163109756097561
2748,22,0.3330792682926829
2749,9,0.3399390243902439
2750,7,0.3452743902439024
2751,7,0.3506097560975609
2752,2,0.3521341463414634
2753,3,0.3544207317073171
2754,4,0.3574695121951219
2755,2,0.3589939024390244
2756,15,0.3704268292682927
2757,9,0.3772865853658536
2759,2,0.3788109756097561
2761,5,0.3826219512195122
2762,1,0.3833841463414634
2763,2,0.3849085365853658
2764,6,0.3894817073170731
2765,8,0.3955792682926829
2766,2,0.3971036585365853
2767,1,0.3978658536585366
2769,2,0.399390243902439
2771,1,0.4001524390243902
2781,10,0.4077743902439024
2782,6,0.4123475609756097
2784,4,0.4153963414634146
2785,1,0.4161585365853658
2787,3,0.4184451219512195
2788,3,0.4207317073170731
2789,3,0.4230182926829268
2790,2,0.4245426829268293
2791,1,0.4253048780487805
2793,1,0.4260670731707317
2795,5,0.4298780487804878
2798,2,0.4314024390243902
2799,4,0.4344512195121951
2800,1,0.4352134146341463
2801,1,0.4359756097560975
2803,1,0.4367378048780488
2804,1,0.4375
2805,2,0.4390243902439024
2806,2,0.4405487804878049
2811,1,0.4413109756097561
2814,1,0.4420731707317073
2818,1,0.4428353658536585
2823,1,0.4435975609756097
2831,1,0.4443597560975609
2838,1,0.4451219512195122
2849,1,0.4458841463414634
2852,1,0.4466463414634146
2860,2,0.4481707317073171
2875,1,0.4489329268292683
3020,1,0.4496951219512195
3021,1,0.4504573170731707
3024,1,0.4512195121951219
3025,2,0.4527439024390244
3027,1,0.4535060975609756
3029,3,0.4557926829268293
3033,1,0.4565548780487805
3034,2,0.4580792682926829
3036,1,0.4588414634146341
3047,20,0.4740853658536585
3048,14,0.4847560975609756
3049,4,0.4878048780487805
3050,4,0.4908536585365853
3051,3,0.493140243902439
3052,3,0.4954268292682927
3053,3,0.4977134146341463
3055,2,0.4992378048780488
3056,3,0.5015243902439024
3057,6,0.5060975609756098
3058,4,0.5091463414634146
3059,3,0.5114329268292683
3061,13,0.5213414634146342
3062,5,0.5251524390243902
3063,5,0.5289634146341463
3064,3,0.53125
3065,1,0.5320121951219512
3069,1,0.5327743902439024
3070,3,0.5350609756097561
3071,3,0.5373475609756098
3072,3,0.5396341463414634
3073,1,0.5403963414634146
3074,2,0.541920731707317
3075,1,0.5426829268292683
3078,1,0.5434451219512195
3080,2,0.5449695121951219
3082,1,0.5457317073170732
3083,1,0.5464939024390244
3086,1,0.5472560975609756
3087,2,0.5487804878048781
3088,2,0.5503048780487805
3089,9,0.5571646341463414
3090,3,0.5594512195121951
3091,1,0.5602134146341463
3092,3,0.5625
3093,1,0.5632621951219512
3095,3,0.5655487804878049
3097,1,0.5663109756097561
3098,1,0.5670731707317073
3099,2,0.5685975609756098
3100,1,0.569359756097561
3101,1,0.5701219512195121
3102,3,0.5724085365853658
3103,4,0.5754573170731707
3104,2,0.5769817073170732
3106,1,0.5777439024390244
3112,4,0.5807926829268293
3113,1,0.5815548780487805
3114,2,0.583079268292683
3116,1,0.5838414634146342
3117,5,0.5876524390243902
3118,1,0.5884146341463414
3119,1,0.5891768292682927
3120,1,0.5899390243902439
3123,1,0.5907012195121951
3128,1,0.5914634146341463
3155,1,0.5922256097560976
3174,1,0.5929878048780488
3198,1,0.59375
3255,1,0.5945121951219512
3282,1,0.5952743902439024
3283,1,0.5960365853658537
3284,1,0.5967987804878049
3286,1,0.5975609756097561
3287,1,0.5983231707317073
3288,3,0.600609756097561
3289,2,0.6021341463414634
3290,1,0.6028963414634146
3312,1,0.6036585365853658
3338,1,0.604420731707317
3356,1,0.6051829268292683
3366,1,0.6059451219512195
3367,1,0.6067073170731707
3373,1,0.6074695121951219
4317,7,0.6128048780487805
4318,4,0.6158536585365854
4319,1,0.6166158536585366
4320,2,0.618140243902439
4322,2,0.6196646341463414
4324,2,0.6211890243902439
4325,1,0.6219512195121951
4327,1,0.6227134146341463
4329,2,0.6242378048780488
4330,2,0.6257621951219512
4332,2,0.6272865853658537
4333,1,0.6280487804878049
4344,1,0.6288109756097561
4372,1,0.6295731707317073
4425,1,0.6303353658536586
5352,1,0.6310975609756098
5354,1,0.631859756097561
5356,3,0.6341463414634146
5359,1,0.6349085365853658
5361,1,0.635670731707317
5365,1,0.6364329268292683
5369,1,0.6371951219512195
5370,1,0.6379573170731707
5375,1,0.6387195121951219
5380,1,0.6394817073170732
5388,1,0.6402439024390244
5393,1,0.6410060975609756
5397,1,0.6417682926829268
5410,1,0.6425304878048781
5411,1,0.6432926829268293
5416,1,0.6440548780487805
5418,1,0.6448170731707317
5427,1,0.645579268292683
5445,1,0.6463414634146342
5477,1,0.6471036585365854
5492,2,0.6486280487804879
5589,1,0.649390243902439
6001,1,0.6501524390243902
6002,1,0.6509146341463414
6545,1,0.6516768292682927
6547,1,0.6524390243902439
6554,1,0.6532012195121951
6561,1,0.6539634146341463
6567,1,0.6547256097560976
6580,1,0.6554878048780488
6585,1,0.65625
6630,1,0.6570121951219512
6640,1,0.6577743902439024
6698,1,0.6585365853658537
7056,1,0.6592987804878049
8151,2,0.6608231707317073
8152,1,0.6615853658536586
8153,1,0.6623475609756098
8154,2,0.6638719512195121
8155,1,0.6646341463414634
8157,3,0.666920731707317
8158,4,0.6699695121951219
8159,1,0.6707317073170732
8160,4,0.6737804878048781
8161,3,0.6760670731707317
8163,2,0.6775914634146342
8164,1,0.6783536585365854
8165,3,0.680640243902439
8166,1,0.6814024390243902
8172,1,0.6821646341463414
8175,1,0.6829268292682927
8176,2,0.6844512195121951
8182,1,0.6852134146341463
8183,1,0.6859756097560976
8187,1,0.6867378048780488
8193,1,0.6875
8194,1,0.6882621951219512
8200,1,0.6890243902439024
8201,1,0.6897865853658537
8202,1,0.6905487804878049
8203,1,0.6913109756097561
8207,3,0.6935975609756098
8208,1,0.694359756097561
8209,1,0.6951219512195121
8210,4,0.698170731707317
8212,1,0.6989329268292683
8213,2,0.7004573170731707
8214,1,0.7012195121951219
8215,1,0.7019817073170732
8216,1,0.7027439024390244
8218,1,0.7035060975609756
8219,1,0.7042682926829268
8220,2,0.7057926829268293
8221,3,0.708079268292683
8224,1,0.7088414634146342
8226,1,0.7096036585365854
8228,1,0.7103658536585366
8229,1,0.7111280487804879
8233,2,0.7126524390243902
8234,1,0.7134146341463414
8235,1,0.7141768292682927
8236,1,0.7149390243902439
8241,1,0.7157012195121951
8246,2,0.7172256097560976
8258,3,0.7195121951219512
8270,1,0.7202743902439024
8275,1,0.7210365853658537
8276,1,0.7217987804878049
8289,1,0.7225609756097561
8294,1,0.7233231707317073
8297,1,0.7240853658536586
8300,1,0.7248475609756098
8306,1,0.725609756097561
8315,1,0.7263719512195121
8316,1,0.7271341463414634
8331,1,0.7278963414634146
8344,1,0.7286585365853658
8345,1,0.729420731707317
8352,1,0.7301829268292683
8356,1,0.7309451219512195
8379,1,0.7317073170731707
8380,1,0.7324695121951219
8381,1,0.7332317073170732
8383,3,0.7355182926829268
8387,1,0.7362804878048781
8389,2,0.7378048780487805
8401,1,0.7385670731707317
8407,1,0.739329268292683
8413,1,0.7400914634146342
8422,1,0.7408536585365854
8423,1,0.7416158536585366
8431,1,0.7423780487804879
8443,1,0.743140243902439
8451,1,0.7439024390243902
8457,1,0.7446646341463414
8467,1,0.7454268292682927
8478,1,0.7461890243902439
8483,1,0.7469512195121951
8491,1,0.7477134146341463
8501,1,0.7484756097560976
8502,1,0.7492378048780488
8509,1,0.75
8513,1,0.7507621951219512
8517,1,0.7515243902439024
8530,1,0.7522865853658537
8555,1,0.7530487804878049
8568,1,0.7538109756097561
9093,4,0.756859756097561
9094,3,0.7591463414634146
9095,2,0.760670731707317
9096,4,0.7637195121951219
9099,1,0.7644817073170732
9100,3,0.7667682926829268
9102,2,0.7682926829268293
9104,2,0.7698170731707317
9107,1,0.770579268292683
9108,1,0.7713414634146342
9109,3,0.7736280487804879
9110,5,0.7774390243902439
9111,1,0.7782012195121951
9114,1,0.7789634146341463
9115,2,0.7804878048780488
9116,1,0.78125
9117,1,0.7820121951219512
9118,2,0.7835365853658537
9120,4,0.7865853658536586
9121,2,0.788109756097561
9122,1,0.7888719512195121
9124,4,0.791920731707317
9137,1,0.7926829268292683
9142,1,0.7934451219512195
9147,2,0.7949695121951219
9148,1,0.7957317073170732
9149,2,0.7972560975609756
9153,3,0.7995426829268293
9154,3,0.801829268292683
9156,2,0.8033536585365854
9157,1,0.8041158536585366
9159,3,0.8064024390243902
9160,1,0.8071646341463414
9161,1,0.8079268292682927
9163,4,0.8109756097560976
9164,1,0.8117378048780488
9166,1,0.8125
9168,2,0.8140243902439024
9170,3,0.8163109756097561
9171,2,0.8178353658536586
9174,1,0.8185975609756098
9176,1,0.819359756097561
9178,1,0.8201219512195121
9181,2,0.8216463414634146
9182,1,0.8224085365853658
9183,1,0.823170731707317
9184,1,0.8239329268292683
9187,1,0.8246951219512195
9195,1,0.8254573170731707
9206,1,0.8262195121951219
9207,2,0.8277439024390244
9209,1,0.8285060975609756
9215,1,0.8292682926829268
9220,1,0.8300304878048781
9223,1,0.8307926829268293
9224,1,0.8315548780487805
9225,1,0.8323170731707317
9226,1,0.833079268292683
9229,1,0.8338414634146342
9235,1,0.8346036585365854
9244,1,0.8353658536585366
9245,1,0.8361280487804879
9252,1,0.836890243902439
9255,2,0.8384146341463414
9263,1,0.8391768292682927
9272,1,0.8399390243902439
9278,1,0.8407012195121951
9285,1,0.8414634146341463
9288,1,0.8422256097560976
9293,1,0.8429878048780488
9299,2,0.8445121951219512
9312,1,0.8452743902439024
9317,1,0.8460365853658537
9347,1,0.8467987804878049
9352,1,0.8475609756097561
9391,1,0.8483231707317073
9460,1,0.8490853658536586
9625,1,0.8498475609756098
9631,1,0.850609756097561
9636,1,0.8513719512195121
9641,1,0.8521341463414634
9646,1,0.8528963414634146
9648,1,0.8536585365853658
9676,1,0.854420731707317
9683,1,0.8551829268292683
9695,1,0.8559451219512195
9707,2,0.8574695121951219
9730,1,0.8582317073170732
9800,1,0.8589939024390244
9889,1,0.8597560975609756
9891,1,0.8605182926829268
9894,1,0.8612804878048781
9902,1,0.8620426829268293
