,hsap,mmus,atha,osat,scer,calb,ecol,mtub,sao,pfal,lmaj,tbrt,tcr,cele,dmel,ddis
hsap,15566,13740,4979,4634,4034,4124,1155,1056,886,2932,3103,3360,3520,7082,7868,5328
mmus,13740,16064,5148,4782,4161,4277,1257,1150,960,2993,3199,3449,3626,7327,8132,5529
atha,4979,5148,11040,8740,4266,4405,1705,1569,1290,3164,3051,3259,3398,4876,5106,5209
osat,4634,4782,8740,11448,4036,4176,1629,1506,1235,3014,2930,3124,3247,4572,4782,4869
scer,4034,4161,4266,4036,7107,5761,1232,1127,958,2749,2750,2907,3006,4094,4209,4338
calb,4124,4277,4405,4176,5761,7306,1313,1187,976,2776,2805,2968,3065,4210,4320,4473
ecol,1155,1257,1705,1629,1232,1313,5807,2022,1877,898,967,944,1012,1204,1199,1378
mtub,1056,1150,1569,1506,1127,1187,2022,4580,1568,819,885,840,919,1116,1108,1288
sao,886,960,1290,1235,958,976,1877,1568,3265,752,749,729,789,914,917,1028
pfal,2932,2993,3164,3014,2749,2776,898,819,752,5684,2380,2553,2579,3025,3074,3078
lmaj,3103,3199,3051,2930,2750,2805,967,885,749,2380,7019,5669,5937,3108,3113,3160
tbrt,3360,3449,3259,3124,2907,2968,944,840,729,2553,5669,8373,7287,3346,3371,3344
tcr,3520,3626,3398,3247,3006,3065,1012,919,789,2579,5937,7287,9146,3502,3510,3511
cele,7082,7327,4876,4572,4094,4210,1204,1116,914,3025,3108,3346,3502,14168,7180,5178
dmel,7868,8132,5106,4782,4209,4320,1199,1108,917,3074,3113,3371,3510,7180,10377,5319
ddis,5328,5529,5209,4869,4338,4473,1378,1288,1028,3078,3160,3344,3511,5178,5319,10041
