drug_id,n_parentales,molweight
166536,30584,114.140850576
1116907,24544,128.15650064
163058,21196,142.172150704
441659,17222,128.062600256
455761,3316,138.06807956
1727476,1458,112.125200512
948280,797,101.12044948
948280,797,101.12044948
164281,689,100.125200512
92057,562,134.094294308
1007286,549,106.07825032
965526,395,116.131348512
780078,371,136.100048384
1229320,314,114.115698448
1015017,285,134.109550448
529482,281,131.142247544
529482,281,131.142247544
1737901,270,138.06807956
2304319,187,118.026608672
1014110,175,148.121177752
957209,154,144.16264864
957209,154,144.16264864
66298,144,102.115698448
66298,144,102.115698448
1057374,139,144.115029752
582235,113,118.099379688
2285092,112,146.0579088
91234,109,136.125200512
91234,109,136.125200512
1009798,109,116.131348512
