umbral_promiscuidad,mw_max,compuestos_filtrables,aristas_filtrables
10,50.0,0,0
10,75.0,0,0
10,100.0,0,0
10,125.0,51,36068
10,150.0,133,105823
10,175.0,279,160628
10,200.0,458,193958
10,225.0,601,207623
10,250.0,829,224539
10,275.0,1016,226986
10,300.0,1335,230852
10,325.0,1647,235894
10,350.0,2004,240833
10,375.0,2189,243596
10,400.0,2355,245490
10,425.0,2495,247771
10,450.0,2634,249576
10,475.0,2721,250433
10,500.0,2850,251925
10,525.0,2924,252946
10,550.0,2999,254003
10,575.0,3093,254944
10,600.0,3199,256252
50,50.0,0,0
50,75.0,0,0
50,100.0,0,0
50,125.0,19,35641
50,150.0,42,104601
50,175.0,65,157634
50,200.0,101,189045
50,225.0,119,201396
50,250.0,132,215690
50,275.0,140,216114
50,300.0,145,216355
50,325.0,168,217774
50,350.0,174,219024
50,375.0,182,219544
50,400.0,188,219832
50,425.0,192,220811
50,450.0,198,221451
50,475.0,198,221451
50,500.0,201,221800
50,525.0,203,221944
50,550.0,203,221944
50,575.0,203,221944
50,600.0,203,221944
100,50.0,0,0
100,75.0,0,0
100,100.0,0,0
100,125.0,13,35339
100,150.0,30,104075
100,175.0,48,156828
100,200.0,70,187334
100,225.0,82,199359
100,250.0,86,213126
100,275.0,87,213229
100,300.0,87,213229
100,325.0,88,214236
100,350.0,91,215311
100,375.0,93,215529
100,400.0,94,215632
100,425.0,96,216554
100,450.0,98,217083
100,475.0,98,217083
100,500.0,100,217334
100,525.0,100,217334
100,550.0,100,217334
100,575.0,100,217334
100,600.0,100,217334
500,50.0,0,0
500,75.0,0,0
500,100.0,0,0
500,125.0,6,34077
500,150.0,11,100917
500,175.0,15,151217
500,200.0,20,178633
500,225.0,25,189369
500,250.0,27,202834
500,275.0,27,202834
500,300.0,27,202834
500,325.0,28,203841
500,350.0,29,204658
500,375.0,29,204658
500,400.0,29,204658
500,425.0,29,204658
500,450.0,29,204658
500,475.0,29,204658
500,500.0,29,204658
500,525.0,29,204658
500,550.0,29,204658
500,575.0,29,204658
500,600.0,29,204658
