params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
1 3 3 1,0.6140486062844976,0.8119963527905972,0.5704711103872309,10695,0.0,1.0,1.0,0.8
2 3 3 1,0.6125457789615831,0.8099322013212803,0.5564938854730785,10695,0.3,1.0,1.0,0.8
2 3 2 1,0.6110299997199148,0.8059677425228179,0.5508069003895382,10695,0.3,1.0,0.5,0.8
1 3 2 1,0.610495328323855,0.8076371474655746,0.5638638923951844,10695,0.0,1.0,0.5,0.8
3 3 3 1,0.60899614372809,0.8085101295249281,0.5579434558953269,10695,0.6,1.0,1.0,0.8
2 3 4 1,0.608154673756547,0.8031276597223809,0.5482715094262796,10695,0.3,1.0,,0.8
1 3 4 1,0.6080045124484939,0.8038565057257723,0.5518574317629654,10695,0.0,1.0,,0.8
2 3 4 2,0.6078826834627149,0.8024762115368214,0.5472236926042049,10695,0.3,1.0,,1.0
3 3 2 1,0.6077264509427459,0.8050034147069758,0.553334147698739,10695,0.6,1.0,0.5,0.8
2 3 4 3,0.6074455562047705,0.8020677046625508,0.5467730770796857,10695,0.3,1.0,,1.2
1 3 4 2,0.6072618008574494,0.8028572418547183,0.5486841212318634,10695,0.0,1.0,,1.0
1 3 4 3,0.6067052730984924,0.8021500019145312,0.550641312757034,10695,0.0,1.0,,1.2
2 2 3 1,0.6066218951215141,0.8165229002752179,0.5568006297759138,10695,0.3,0.5,1.0,0.8
4 3 3 1,0.6059257294884915,0.8078203465775851,0.5566214693866471,10695,0.9,1.0,1.0,0.8
2 3 1 1,0.6059257294884915,0.8010653620930117,0.5453615103763725,10695,0.3,1.0,0.0,0.8
3 3 4 1,0.6050041195196587,0.8025537638413153,0.5512873759789352,10695,0.6,1.0,,0.8
4 3 2 1,0.604782317910998,0.8046918813176078,0.5540562183585109,10695,0.9,1.0,0.5,0.8
1 3 1 1,0.6045499928683498,0.8006547034402304,0.5488768543778928,10695,0.0,1.0,0.0,0.8
5 3 3 1,0.6045301602427579,0.8072296668241327,0.5536707520664521,10695,1.2,1.0,1.0,0.8
3 3 4 2,0.6044455680233963,0.802039786715714,0.5507227492976099,10695,0.6,1.0,,1.0
3 2 3 1,0.6040193689469006,0.8145515180466355,0.5542489515045401,10695,0.6,0.5,1.0,0.8
4 2 3 1,0.6036405253233487,0.8137254999326329,0.5494306228538077,10695,0.9,0.5,1.0,0.8
3 3 4 3,0.6032612769523358,0.8016848205047058,0.5502694192217381,10695,0.6,1.0,,1.2
5 3 2 1,0.6031528046327719,0.8043737491408056,0.552180463373916,10695,1.2,1.0,0.5,0.8
4 3 4 1,0.6023821654669143,0.8026128660244214,0.5523433364550674,10695,0.9,1.0,,0.8
2 2 2 1,0.6022701043865288,0.8130252670660587,0.5481276382045956,10695,0.3,0.5,0.5,0.8
3 3 1 1,0.6022182427451851,0.8009266110007083,0.5492080296429007,10695,0.6,1.0,0.0,0.8
5 2 3 1,0.6019984711007137,0.8130683909143744,0.5500332532540684,10695,1.2,0.5,1.0,0.8
4 3 4 2,0.6019895604296864,0.8021777212356593,0.5520338776008795,10695,0.9,1.0,,1.0
4 3 4 3,0.6016010028670691,0.8018646429796681,0.551580547525008,10695,0.9,1.0,,1.2
5 3 4 1,0.6013006802509628,0.8025859853451746,0.5511326465518411,10695,1.2,1.0,,0.8
3 2 2 1,0.6012334921724269,0.8115330583250049,0.5421230506128101,10695,0.6,0.5,0.5,0.8
5 3 4 2,0.600908075213735,0.8021120864736886,0.5511652211680715,10695,1.2,1.0,,1.0
5 3 4 3,0.6001714348346064,0.801851953003833,0.5509371988544594,10695,1.2,1.0,,1.2
5 2 2 1,0.6000637720099645,0.8107875277620809,0.5465179092525485,10695,1.2,0.5,0.5,0.8
4 2 2 1,0.5996452631352289,0.8110607043201422,0.5444304192624565,10695,0.9,0.5,0.5,0.8
4 3 1 1,0.5989697396227204,0.8010688932167224,0.5511896521302442,10695,0.9,1.0,0.0,0.8
5 4 3 1,0.5984828284270656,0.8031574756482123,0.543610624753994,10695,1.2,1.5,1.0,0.8
2 2 4 1,0.5977219032002734,0.8103642343072723,0.5396039469576666,10695,0.3,0.5,,0.8
4 4 3 1,0.5968279131981833,0.8031403386634541,0.541162099434016,10695,0.9,1.5,1.0,0.8
5 3 1 1,0.596734724142749,0.8010968994416522,0.5501879826811624,10695,1.2,1.0,0.0,0.8
2 2 4 2,0.5964599006166894,0.8097296472374308,0.5368459627835009,10695,0.3,0.5,,1.0
4 2 4 1,0.596416187890895,0.8091345866836248,0.5429699906347978,10695,0.9,0.5,,0.8
5 4 2 1,0.5960656765896174,0.8005644832294246,0.5414607000827938,10695,1.2,1.5,0.5,0.8
5 2 4 1,0.5959466808360658,0.8089899871676758,0.544386986440816,10695,1.2,0.5,,0.8
3 2 4 1,0.5955686467074361,0.8092526807022213,0.54292927236451,10695,0.6,0.5,,0.8
1 2 3 1,0.5953350372661781,0.8075505687260953,0.547823608453113,10695,0.0,0.5,1.0,0.8
2 2 4 3,0.5952205638909248,0.8092756550758634,0.5367102352158746,10695,0.3,0.5,,1.2
5 2 4 2,0.5950813307643202,0.8085330376900006,0.5438929380946564,10695,1.2,0.5,,1.0
3 2 4 2,0.5950384275334479,0.8088033672795704,0.5422696363858464,10695,0.6,0.5,,1.0
3 4 3 1,0.5946106094671079,0.8028605191789122,0.5391370441250323,10695,0.6,1.5,1.0,0.8
4 2 4 2,0.5941787439261572,0.8086402514336637,0.5425872388940918,10695,0.9,0.5,,1.0
5 4 4 1,0.5941236982714531,0.7988425307519493,0.5402825847957979,10695,1.2,1.5,,0.8
4 4 2 1,0.5940775570608924,0.8003175031953911,0.5422669218344938,10695,0.9,1.5,0.5,0.8
3 2 4 3,0.5940629861522941,0.8084276998558086,0.5418651682343201,10695,0.6,0.5,,1.2
5 2 4 3,0.5939156580764685,0.8082662392241415,0.5436649157810445,10695,1.2,0.5,,1.2
1 2 2 1,0.5938901589864217,0.8014117211899755,0.5318158991272717,10695,0.0,0.5,0.5,0.8
5 4 4 2,0.5937189508103935,0.7984389453813509,0.5395415122765586,10695,1.2,1.5,,1.0
4 2 4 3,0.5934097237501439,0.8082873156187893,0.5423402147210119,10695,0.9,0.5,,1.2
5 4 4 3,0.5933587255700504,0.7981652832937792,0.5393433500278242,10695,1.2,1.5,,1.2
5 4 1 1,0.5924500675199714,0.7975440482854683,0.5387190032167433,10695,1.2,1.5,0.0,0.8
2 2 1 1,0.5923549518666225,0.8084105959753356,0.5371744234971565,10695,0.3,0.5,0.0,0.8
4 4 4 1,0.5923128581306722,0.7983438698754428,0.5431790110889425,10695,0.9,1.5,,0.8
4 2 1 1,0.5917802104719178,0.8076457987186655,0.5414905601476716,10695,0.9,0.5,0.0,0.8
5 1 3 1,0.5916693096675874,0.8144163201475657,0.5479973397396745,10695,1.2,0.0,1.0,0.8
4 4 4 2,0.5916288349214814,0.7978697503087251,0.5420307558668243,10695,0.9,1.5,,1.0
5 2 1 1,0.5912969420034125,0.8076392882093242,0.5429618469807402,10695,1.2,0.5,0.0,0.8
4 4 4 3,0.591232182409643,0.7975588348660064,0.5419927521478889,10695,0.9,1.5,,1.2
3 4 2 1,0.5907424379817608,0.7998482389237753,0.5333197605765707,10695,0.6,1.5,0.5,0.8
4 1 3 1,0.5906991300034274,0.8147992153401724,0.5411648139853686,10695,0.9,0.0,1.0,0.8
3 2 1 1,0.590533588291854,0.8076566348545524,0.5418027335532121,10695,0.6,0.5,0.0,0.8
2 4 3 1,0.5903749272871186,0.8020479414045331,0.5289601911044153,10695,0.3,1.5,1.0,0.8
4 4 1 1,0.5902870970880687,0.7969324576587922,0.5413249725151674,10695,0.9,1.5,0.0,0.8
3 4 4 1,0.5893379642918839,0.7978041596858005,0.5359338735290526,10695,0.6,1.5,,0.8
3 4 4 2,0.5888805996608865,0.7973356678474965,0.5358877261560595,10695,0.6,1.5,,1.0
1 2 4 1,0.5884697809879108,0.7964072250763634,0.5185010247431356,10695,0.0,0.5,,0.8
3 4 4 3,0.5883260956392347,0.7970043822348725,0.535735711280318,10695,0.6,1.5,,1.2
1 4 3 1,0.587466816779405,0.7982856394385026,0.5417267261153413,10695,0.0,1.5,1.0,0.8
3 1 3 1,0.5872883231490778,0.8155691768652691,0.5415801403423051,10695,0.6,0.0,1.0,0.8
3 4 1 1,0.58717458911252,0.7963638584632925,0.5355429781342891,10695,0.6,1.5,0.0,0.8
5 1 2 1,0.5867528422580959,0.812429489252749,0.5463224615551665,10695,1.2,0.0,0.5,0.8
2 1 3 1,0.5867038678153076,0.8167172996702482,0.5382901041030443,10695,0.3,0.0,1.0,0.8
1 2 4 2,0.586129531168064,0.7950014626576495,0.5151295519632992,10695,0.0,0.5,,1.0
4 1 2 1,0.5861254836934533,0.8125375637078167,0.5397043853577101,10695,0.9,0.0,0.5,0.8
2 4 2 1,0.5857466400699015,0.7986720657548202,0.5255099963353558,10695,0.3,1.5,0.5,0.8
3 1 2 1,0.5854252705858202,0.8131171976649121,0.5371499925349839,10695,0.6,0.0,0.5,0.8
5 1 4 1,0.5851783746345738,0.8110429714582581,0.5447887400409896,10695,1.2,0.0,,0.8
5 1 4 3,0.5847452948512399,0.8105871033872193,0.5439282272622392,10695,1.2,0.0,,1.2
5 1 4 2,0.5846886302066916,0.8107709645849257,0.5441589641272038,10695,1.2,0.0,,1.0
2 1 2 1,0.5846793210150872,0.8137443031663918,0.5334907773117799,10695,0.3,0.0,0.5,0.8
4 1 4 1,0.5846481554605856,0.8110926720244848,0.5390963258547443,10695,0.9,0.0,,0.8
5 1 1 1,0.5845793483922055,0.8102810322048414,0.5433636005809139,10695,1.2,0.0,0.0,0.8
1 2 4 3,0.584494351425383,0.7939183787375151,0.5114757658428002,10695,0.0,0.5,,1.2
4 1 4 2,0.5838224706400239,0.8107538386349292,0.5392863444494211,10695,0.9,0.0,,1.0
4 1 4 3,0.5836969989270955,0.810528906054564,0.5392619134872483,10695,0.9,0.0,,1.2
3 1 4 1,0.5831586848038861,0.8114512355677732,0.5364197782211546,10695,0.6,0.0,,0.8
