params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
2 2 2 1,0.5911847520034654,0.8782590127014942,0.7147939785226376,2187,0.3,0.5,0.5,0.8
3 2 2 1,0.5910945058118547,0.8816952419376968,0.7352943571038941,2187,0.6,0.5,0.5,0.8
4 2 2 1,0.5909140134286333,0.882819678023501,0.7446272670775427,2187,0.9,0.5,0.5,0.8
5 2 2 1,0.590372536278969,0.8833027422791888,0.7513223205538413,2187,1.2,0.5,0.5,0.8
3 2 4 1,0.5901920438957475,0.8822286630789645,0.7438619630320153,2187,0.6,0.5,,0.8
2 2 4 1,0.5897408129376941,0.8788810860844426,0.7296061398009668,2187,0.3,0.5,,0.8
4 2 4 1,0.5896505667460833,0.883228764898376,0.7511622037499899,2187,0.9,0.5,,0.8
5 2 4 1,0.5887481048299762,0.8837732424416676,0.7546576349933918,2187,1.2,0.5,,0.8
4 2 4 2,0.5864919500397083,0.8831205126712899,0.7507035640914999,2187,0.9,0.5,,1.0
1 2 2 1,0.5864919500397083,0.8402533343344402,0.6540394514537007,2187,0.0,0.5,0.5,0.8
5 2 4 2,0.5854992419319904,0.8835383441550381,0.7541745707377041,2187,1.2,0.5,,1.0
2 2 4 2,0.5848675185907155,0.8786102042348632,0.7294840168149783,2187,0.3,0.5,,1.0
3 2 4 2,0.5847772723991047,0.8820000970953124,0.743034240571427,2187,0.6,0.5,,1.0
5 2 3 1,0.5842357952494405,0.8827069027228603,0.7418265799322081,2187,1.2,0.5,1.0,0.8
4 2 3 1,0.5835138257165547,0.8823766178405902,0.732976734214247,2187,0.9,0.5,1.0,0.8
3 2 3 1,0.5833333333333334,0.8809291337902041,0.7223954559393837,2187,0.6,0.5,1.0,0.8
5 2 4 3,0.5827016099920583,0.8835035667450364,0.7537457833646783,2187,1.2,0.5,,1.2
3 2 4 3,0.5827016099920583,0.8817771598254173,0.7424779025241464,2187,0.6,0.5,,1.2
2 2 3 1,0.582521117608837,0.8770053172247586,0.6932731945473445,2187,0.3,0.5,1.0,0.8
2 2 4 3,0.5817089018843405,0.8783180136832021,0.7288055557817092,2187,0.3,0.5,,1.2
3 2 1 1,0.5813479171178977,0.8812451458625887,0.740602636228191,2187,0.6,0.5,0.0,0.8
4 2 1 1,0.5809869323514547,0.8824812516088321,0.7489069992754036,2187,0.9,0.5,0.0,0.8
5 2 1 1,0.5809869323514547,0.8831123711388906,0.7525842580757218,2187,1.2,0.5,0.0,0.8
4 2 4 3,0.5808064399682333,0.8828353580118257,0.7501038045380901,2187,0.9,0.5,,1.2
1 2 4 1,0.5788210237527976,0.8388485682009637,0.6301642569238455,2187,0.0,0.5,,0.8
1 2 3 1,0.5769258537289726,0.8406202561125066,0.6688190466024331,2187,0.0,0.5,1.0,0.8
1 2 4 2,0.5745794527470941,0.8375999988742572,0.6305794750762064,2187,0.0,0.5,,1.0
2 2 1 1,0.5741282217890404,0.8777082028552254,0.7268651572265599,2187,0.3,0.5,0.0,0.8
1 2 4 3,0.5727745289148798,0.8366825185317861,0.6305550504790085,2187,0.0,0.5,,1.2
1 2 1 1,0.5706086203162226,0.835119746362117,0.6328196026389421,2187,0.0,0.5,0.0,0.8
5 3 1 1,0.5667393148509133,0.90183779514437,0.761876460387374,2187,1.2,1.0,0.0,0.8
3 3 1 1,0.5664572955021299,0.9064762573315253,0.7661224203026902,2187,0.6,1.0,0.0,0.8
4 3 1 1,0.5663670493105191,0.9040285709489819,0.7607230766308168,2187,0.9,1.0,0.0,0.8
4 3 4 2,0.5661414338314923,0.904227485672662,0.7619904418409633,2187,0.9,1.0,,1.0
5 3 4 3,0.5659609414482709,0.9018394033483006,0.7627204659127607,2187,1.2,1.0,,1.2
4 3 4 3,0.5658706952566601,0.9042273851599161,0.7615426575590059,2187,0.9,1.0,,1.2
3 3 4 3,0.5656902028734387,0.9066574818119673,0.7691537841993359,2187,0.6,1.0,,1.2
4 3 4 1,0.565599956681828,0.9040780232198513,0.762725893601027,2187,0.9,1.0,,0.8
5 3 4 2,0.5655097104902174,0.9018268392550919,0.7632333824539121,2187,1.2,1.0,,1.0
5 3 4 1,0.5653292181069959,0.901756882384106,0.7636160344766758,2187,1.2,1.0,,0.8
3 3 4 2,0.5652389719153852,0.9066829115366218,0.7712760103114014,2187,0.6,1.0,,1.0
2 3 1 1,0.5645621254783049,0.9092721198650675,0.7603609292081694,2187,0.3,1.0,0.0,0.8
3 3 4 1,0.5641560176160566,0.9065732521310963,0.7724809571064872,2187,0.6,1.0,,0.8
4 3 2 1,0.5641560176160566,0.903209894635504,0.7641425202384926,2187,0.9,1.0,0.5,0.8
5 3 2 1,0.5639755252328351,0.9009130276278379,0.7655048699932969,2187,1.2,1.0,0.5,0.8
3 3 2 1,0.5634340480831709,0.9055207831711912,0.7626580474977,2187,0.6,1.0,0.5,0.8
2 3 4 3,0.5628023247418958,0.9094948561094713,0.7592346838929429,2187,0.3,1.0,,1.2
2 3 4 2,0.5622608475922316,0.9094357546150176,0.758917164129373,2187,0.3,1.0,,1.0
2 3 4 1,0.561809616634178,0.9093320254614867,0.7577556388404165,2187,0.3,1.0,,0.8
2 3 2 1,0.5600949389935744,0.9076341641616377,0.7564324890564236,2187,0.3,1.0,0.5,0.8
1 3 1 1,0.5595083387481048,0.9109596786084854,0.7503972012426994,2187,0.0,1.0,0.0,0.8
1 3 4 3,0.5574777994368638,0.9110230518946301,0.756302526076273,2187,0.0,1.0,,1.2
1 3 4 2,0.5574777994368637,0.9108695186756198,0.7589865179238853,2187,0.0,1.0,,1.0
1 3 4 1,0.5566655837123673,0.9104341979741255,0.7604601352881453,2187,0.0,1.0,,0.8
1 3 2 1,0.5535069670059923,0.90825382523869,0.7429718221563664,2187,0.0,1.0,0.5,0.8
5 3 3 1,0.5505288426828387,0.8995331886552872,0.7681834341526428,2187,1.2,1.0,1.0,0.8
4 3 3 1,0.5504385964912281,0.9016956701219933,0.7675212561841724,2187,0.9,1.0,1.0,0.8
3 3 3 1,0.5493556421918995,0.9033900134757438,0.7654533069547682,2187,0.6,1.0,1.0,0.8
2 3 3 1,0.5465580102519674,0.9054136365843074,0.7635698991264137,2187,0.3,1.0,1.0,0.8
1 3 3 1,0.5450689480903906,0.9035228913255188,0.7404045256064764,2187,0.0,1.0,1.0,0.8
5 4 1 1,0.5383907299111977,0.9123467042423516,0.7793481889161178,2187,1.2,1.5,0.0,0.8
5 4 4 3,0.5378041296657281,0.9123478098825538,0.7795815795115624,2187,1.2,1.5,,1.2
5 4 4 2,0.5378041296657281,0.9123252950275238,0.779350902760251,2187,1.2,1.5,,1.0
5 4 4 1,0.5372626525160639,0.9120798429025989,0.7784879003259326,2187,1.2,1.5,,0.8
4 4 1 1,0.5353223593964335,0.9147638347502112,0.7702405280055147,2187,0.9,1.5,0.0,0.8
4 4 4 3,0.5337430510432459,0.9146039189718511,0.768547089266475,2187,0.9,1.5,,1.2
4 4 4 2,0.5332918200851924,0.9146392994583266,0.7688350582828183,2187,0.9,1.5,,1.0
1 1 4 1,0.5320283734026424,0.7561204974938655,0.4964248118929093,2187,0.0,0.0,,0.8
4 4 4 1,0.5316673886361996,0.9145410985058078,0.7704905032039946,2187,0.9,1.5,,0.8
