params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
4 1 1 1,0.5812737585186122,0.7434337362067407,0.4447940129711989,6093,0.9,0.0,0.0,0.8
2 1 1 1,0.5812417904128361,0.7413037787179388,0.4394510496637001,6093,0.3,0.0,0.0,0.8
5 1 1 1,0.5811334540543728,0.7439194735856591,0.44370342884915903,6093,1.2,0.0,0.0,0.8
3 1 1 1,0.5811165819985465,0.7425158226779162,0.4462592044819098,6093,0.6,0.0,0.0,0.8
2 1 2 1,0.5808981332757435,0.7442981675354964,0.4447350624781157,6093,0.3,0.0,0.5,0.8
3 1 2 1,0.5808146609995504,0.7446652365827017,0.4500121768305747,6093,0.6,0.0,0.5,0.8
2 1 4 2,0.580781804890836,0.7418937042866955,0.44109518309667783,6093,0.3,0.0,,1.0
2 1 4 3,0.5807152046704692,0.7416159736359446,0.4406902642842585,6093,0.3,0.0,,1.2
4 1 2 1,0.5806930045970137,0.7451495718352064,0.4456500493867164,6093,0.9,0.0,0.5,0.8
4 1 4 3,0.5806903405881989,0.7435848497436721,0.44482934145818853,6093,0.9,0.0,,1.2
2 1 4 1,0.58065482047067,0.7423267370083746,0.4420273116380189,6093,0.3,0.0,,0.8
5 1 2 1,0.5806222603629351,0.7453688363638171,0.4493913152544855,6093,1.2,0.0,0.5,0.8
4 1 4 2,0.5805769722130857,0.7437477946782164,0.4448483644896446,6093,0.9,0.0,,1.0
2 1 3 1,0.5805766762121063,0.7468927412807813,0.4501409481204304,6093,0.3,0.0,1.0,0.8
4 1 4 1,0.5805704601915387,0.7439740417963687,0.444813036002655,6093,0.9,0.0,,0.8
3 1 4 1,0.5805198440240599,0.7432404339606744,0.4481696603552707,6093,0.6,0.0,,0.8
3 1 4 2,0.5805056359770484,0.7429107558009475,0.4471777451436396,6093,0.6,0.0,,1.0
5 1 4 3,0.580472779868334,0.7439954000056339,0.4447904592180698,6093,1.2,0.0,,1.2
3 1 4 3,0.5804461397801873,0.742698114407652,0.44694675119024607,6093,0.6,0.0,,1.2
5 1 4 2,0.5803990756244615,0.7441315821709173,0.445045911354764,6093,1.2,0.0,,1.0
5 1 4 1,0.5803635555069324,0.7443495337993407,0.4456356253298981,6093,1.2,0.0,,0.8
3 1 3 1,0.5797774735677046,0.7465748307856483,0.45543813072585415,6093,0.6,0.0,1.0,0.8
5 1 3 1,0.5796593691769207,0.7466919618769476,0.45195942450103743,6093,1.2,0.0,1.0,0.8
4 1 3 1,0.5795048566656698,0.7466290140489243,0.4502609395496142,6093,0.9,0.0,1.0,0.8
2 2 2 1,0.5792908479575577,0.7436190463322476,0.44934887926123745,6093,0.3,0.5,0.5,0.8
2 2 3 1,0.5792624318635345,0.7466586193108243,0.4554418935232849,6093,0.3,0.5,1.0,0.8
3 2 3 1,0.5785147333895498,0.7456739084796399,0.4525121376347683,6093,0.6,0.5,1.0,0.8
3 2 2 1,0.5781808442847776,0.7432471361249329,0.4478485683078386,6093,0.6,0.5,0.5,0.8
4 2 3 1,0.5779366434767659,0.745102019355208,0.4520844329934621,6093,0.9,0.5,1.0,0.8
2 2 1 1,0.5778362991447465,0.7399297407200582,0.44365660292557507,6093,0.3,0.5,0.0,0.8
2 2 4 1,0.5777874589831443,0.7412634051251799,0.44663234856046863,6093,0.3,0.5,,0.8
4 2 2 1,0.5776604745629782,0.7430621115233504,0.4495462170820552,6093,0.9,0.5,0.5,0.8
5 2 3 1,0.5776302824630786,0.744844558353761,0.4523752136171457,6093,1.2,0.5,1.0,0.8
