params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma,especie
1 3 2 1,0.6833606229907947,0.8282367585788163,0.5670592405193076,21714,0.0,1.0,0.5,0.8,atha
5 3 2 1,0.645299134918323,0.8679286880848325,0.660908539239148,6040,1.2,1.0,0.5,0.8,calb
2 4 3 1,0.6636854421950156,0.7807992491825899,0.5528776343823365,27425,0.3,1.5,1.0,0.8,cele
1 3 3 1,0.6520767992769678,0.8707082022444145,0.7586820773483063,13088,0.0,1.0,1.0,0.8,ddis
1 3 3 1,0.6140486062844976,0.8119963527905972,0.5704711103872309,10695,0.0,1.0,1.0,0.8,dmel
5 3 3 1,0.5879583109601169,0.820487985659664,0.5650286481577864,4533,1.2,1.0,1.0,0.8,ecol
1 2 3 1,0.5942165658871689,0.7693646443237837,0.4808745188832208,16301,0.0,0.5,1.0,0.8,hsap
1 4 2 1,0.742939764470865,0.8587693611739823,0.6786532710229647,6564,0.0,1.5,0.5,0.8,lmaj
2 3 4 1,0.610903770701567,0.8175682206020422,0.5376328573753617,18185,0.3,1.0,,0.8,mmus
5 3 4 1,0.5808250385896628,0.8659117595950149,0.6564811868967579,4073,1.2,1.0,,0.8,mtub
5 3 2 1,0.6443366587609078,0.8432903200003428,0.5803258995590586,22012,1.2,1.0,0.5,0.8,osat
5 3 3 1,0.736462501282446,0.8406624459077463,0.6236521455397526,5495,1.2,1.0,1.0,0.8,pfal
2 2 2 1,0.5911847520034654,0.8782590127014942,0.7147939785226376,2187,0.3,0.5,0.5,0.8,sao
4 1 1 1,0.5812737585186122,0.7434337362067407,0.4447940129711989,6093,0.9,0.0,0.0,0.8,scer
2 4 4 1,0.788785087267463,0.8443647341414038,0.641619674685638,8633,0.3,1.5,,0.8,tbrt
1 3 3 1,0.8493870852798066,0.8827843649163182,0.7208917815089073,19241,0.0,1.0,1.0,0.8,tcr
