drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
4443,atha,nula,Q66GI4,0,,,,,,sin semilla,
23948,atha,nula,Q9M156,0,,,,,,sin semilla,
39143,atha,nula,O22822,0,,,,,,sin semilla,
40147,atha,nula,O22287,0,,,,,,sin semilla,
41984,atha,nula,P93836,0,,,,,,sin semilla,
41987,atha,no informativa,P93836,2,0.0,10860.5,0.500161186331399,184323.5,10860.5,indirecta,21714.0
72963,atha,no informativa,Q9ZST4,6,0.0,10867.5,0.5004835589941973,184475.0,10867.5,indirecta,21714.0
73082,atha,no informativa,Q9C8E7,3,0.0,10859.0,0.5000921064750852,184397.5,10859.0,indirecta,21714.0
73646,atha,nula,P14891,0,,,,,,sin semilla,
76254,atha,nula,P18064,0,,,,,,sin semilla,
77910,atha,nula,Q9C9G4,0,,,,,,sin semilla,
79033,atha,nula,Q8LPL7,0,,,,,,sin semilla,
84112,atha,nula,Q8LFA9,0,,,,,,sin semilla,
87237,atha,nula,Q94KI8,0,,,,,,sin semilla,
87553,atha,nula,O80992,0,,,,,,sin semilla,
90805,atha,no informativa,Q96301,2,0.0,10874.0,0.5007829050382242,184347.5,10874.0,indirecta,21714.0
90865,atha,nula,Q8LFA9,0,,,,,,sin semilla,
90905,atha,no informativa,P17597,71,0.0,11531.5,0.5310629087224832,193377.5,11531.5,indirecta,21714.0
90910,atha,nula,P17597,0,,,,,,sin semilla,
90911,atha,nula,P17597,0,,,,,,sin semilla,
90917,atha,nula,P17597,0,,,,,,sin semilla,
90974,atha,nula,P17597,0,,,,,,sin semilla,
91003,atha,nula,Q9LVM5,0,,,,,,sin semilla,
91040,atha,nula,Q9SIY3,0,,,,,,sin semilla,
91041,atha,no informativa,Q56YA5,20,0.0,11522.5,0.5306484295845998,193493.5,11522.5,indirecta,21714.0
91123,atha,nula,P93836,0,,,,,,sin semilla,
91132,atha,nula,Q8LPL7,0,,,,,,sin semilla,
91159,atha,nula,P93836,0,,,,,,sin semilla,
91258,atha,nula,O82392,0,,,,,,sin semilla,
91417,atha,nula,O50008,0,,,,,,sin semilla,
91461,atha,nula,O80452,0,,,,,,sin semilla,
91469,atha,nula,P17597,0,,,,,,sin semilla,
91555,atha,nula,O64903,0,,,,,,sin semilla,
91597,atha,nula,B0F481,0,,,,,,sin semilla,
91604,atha,nula,Q9STG6,0,,,,,,sin semilla,
91763,atha,nula,Q9MAA7,0,,,,,,sin semilla,
91776,atha,informativa,P93031,9,0.002688172043010753,23.5,0.0010822510822510823,230.5,23.5,indirecta,21714.0
91787,atha,informativa,Q8RX87,1517,0.06666666666666667,327.0,0.015059408676429954,4783.5,327.0,directa,21714.0
91805,atha,nula,P28185,0,,,,,,sin semilla,
91841,atha,nula,Q9LV91,0,,,,,,sin semilla,
91843,atha,nula,Q9ASY9,0,,,,,,sin semilla,
91895,atha,nula,Q9SKE2,0,,,,,,sin semilla,
92044,atha,no informativa,P93025,2,0.0,10857.5,0.5000230266187713,184277.5,10857.5,indirecta,21714.0
92082,atha,no informativa,Q84KJ5,7,0.0,10973.5,0.5053652021737128,186636.0,10973.5,indirecta,21714.0
92088,atha,nula,Q94BU8,0,,,,,,sin semilla,
92178,atha,nula,Q43125,0,,,,,,sin semilla,
92188,atha,nula,P49040,0,,,,,,sin semilla,
92198,atha,nula,Q9SCL7,0,,,,,,sin semilla,
92304,atha,nula,P69834,0,,,,,,sin semilla,
92515,atha,nula,O64587,0,,,,,,sin semilla,
92592,atha,no informativa,P17597,9,0.0,11067.0,0.5096711798839458,188930.0,11067.0,indirecta,21714.0
94736,atha,informativa,Q9ZVN4,3,0.011828774062816617,9.0,0.0004144791378833932,61.0,9.0,directa,21714.0
94913,atha,informativa,Q9ZVN4,6,0.011828774062816617,11.0,0.0005065856129685917,127.0,11.0,directa,21714.0
190294,atha,nula,Q9LVM1,0,,,,,,sin semilla,
237875,atha,no informativa,Q8L3X9,3,0.0,11021.5,0.5075757575757576,186629.0,11021.5,indirecta,21714.0
270198,atha,no informativa,P93836,3,0.0,11033.5,0.5081283964262687,186250.5,11033.5,indirecta,21714.0
271744,atha,nula,O81014,0,,,,,,sin semilla,
298260,atha,nula,P46422,0,,,,,,sin semilla,
338186,atha,nula,O81014,0,,,,,,sin semilla,
339019,atha,nula,O81014,0,,,,,,sin semilla,
362400,atha,no informativa,Q9C6B8,3,0.0,10878.0,0.5009671179883946,185340.5,10878.0,indirecta,21714.0
378750,atha,no informativa,Q94BU8,2,0.0,10980.5,0.5056875748365111,185264.5,10980.5,indirecta,21714.0
420890,atha,nula,Q9LFT6,0,,,,,,sin semilla,
464562,atha,no informativa,Q94BU8,3,0.0,10980.5,0.5056875748365111,187152.5,10980.5,indirecta,21714.0
465003,atha,nula,Q08467,0,,,,,,sin semilla,
476380,atha,no informativa,P46422,4,0.0,11114.0,0.511835682048448,187256.0,11114.0,indirecta,21714.0
508226,atha,nula,P69834,0,,,,,,sin semilla,
520384,atha,nula,P93836,0,,,,,,sin semilla,
587537,atha,nula,P17597,0,,,,,,sin semilla,
589970,atha,nula,Q9C6L5,0,,,,,,sin semilla,
601827,atha,nula,P17597,0,,,,,,sin semilla,
643475,atha,no informativa,Q9SWS1,2,0.0,10872.5,0.5007138251819103,184554.0,10872.5,indirecta,21714.0
711651,atha,nula,Q39128,0,,,,,,sin semilla,
730732,atha,informativa,Q96323,17,0.0861830223878459,1.0,4.6053237542599246e-05,9.0,1.0,directa,21714.0
799883,atha,nula,Q94C74,0,,,,,,sin semilla,
800287,atha,nula,Q9FY46,0,,,,,,sin semilla,
800331,atha,no informativa,P17597,5,0.0,10937.5,0.5037072856221793,184821.5,10937.5,indirecta,21714.0
801234,atha,nula,P93836,0,,,,,,sin semilla,
807292,atha,no informativa,Q9LZX6,3,0.0,10935.0,0.5035921525283228,185917.0,10935.0,indirecta,21714.0
813154,atha,nula,Q9FK51,0,,,,,,sin semilla,
813641,atha,no informativa,Q9ZUY6,15,0.0,10882.0,0.501151330938565,187317.5,10882.0,indirecta,21714.0
820454,atha,nula,P69834,0,,,,,,sin semilla,
820457,atha,nula,P69834,0,,,,,,sin semilla,
826545,atha,informativa,Q93YN9,10,0.11764705882352941,2.0,9.210647508519849e-05,13.0,2.0,directa,21714.0
857389,atha,no informativa,O23722,3,0.0,10877.0,0.500921064750852,184996.5,10877.0,indirecta,21714.0
884573,atha,nula,P93836,0,,,,,,sin semilla,
916071,atha,nula,Q9FI78,0,,,,,,sin semilla,
923381,atha,informativa,Q7Y231,2,0.4770620726159657,1.0,4.6053237542599246e-05,3.5,1.0,directa,21714.0
927576,atha,nula,Q9ZVN4,0,,,,,,sin semilla,
928138,atha,nula,O64989,0,,,,,,sin semilla,
931304,atha,nula,Q9LUJ3,0,,,,,,sin semilla,
933398,atha,informativa,Q9FVQ6,3,0.11236971315358775,4.5,0.0002072395689416966,9.5,4.5,directa,21714.0
934956,atha,nula,Q93ZG9,0,,,,,,sin semilla,
939471,atha,no informativa,Q84VW9,6,0.0,10860.5,0.500161186331399,186286.0,10860.5,indirecta,21714.0
941934,atha,no informativa,P23686,8,0.0,10967.0,0.5050658561296859,185930.0,10967.0,indirecta,21714.0
953923,atha,nula,Q9SQT8,0,,,,,,sin semilla,
955387,atha,nula,Q9SKE2,0,,,,,,sin semilla,
992776,atha,nula,Q9LS02,0,,,,,,sin semilla,
1004935,atha,nula,Q94AT3,0,,,,,,sin semilla,
1005788,atha,nula,Q93ZN9,0,,,,,,sin semilla,
1006219,atha,nula,P93836,0,,,,,,sin semilla,
1043102,atha,nula,Q08467,0,,,,,,sin semilla,
1055529,atha,nula,Q94BU8,0,,,,,,sin semilla,
1085135,atha,nula,P17597,0,,,,,,sin semilla,
1113026,atha,nula,Q38834,0,,,,,,sin semilla,
1146614,atha,no informativa,Q05609,13,0.0,11280.0,0.5194805194805194,191882.0,11280.0,indirecta,21714.0
1241492,atha,nula,Q9ZST4,0,,,,,,sin semilla,
1307060,atha,nula,P93836,0,,,,,,sin semilla,
1312132,atha,nula,Q9FVQ6,0,,,,,,sin semilla,
1320389,atha,nula,O50039,0,,,,,,sin semilla,
1361387,atha,no informativa,Q94BU8,6,0.0,10878.0,0.5009671179883946,185388.5,10878.0,indirecta,21714.0
1366638,atha,nula,P93832,0,,,,,,sin semilla,
1457523,atha,nula,Q9C9G4,0,,,,,,sin semilla,
1502457,atha,nula,Q94BU8,0,,,,,,sin semilla,
1503046,atha,nula,P17597,0,,,,,,sin semilla,
1503782,atha,informativa,Q7Y231,13,0.375,1.0,4.6053237542599246e-05,2.5,1.0,directa,21714.0
1515555,atha,nula,Q94BU8,0,,,,,,sin semilla,
1571436,atha,no informativa,Q93ZG9,13,0.0,11284.5,0.5196877590494612,189561.0,11284.5,indirecta,21714.0
1572113,atha,nula,Q9CA40,0,,,,,,sin semilla,
1637929,atha,nula,Q570C0,0,,,,,,sin semilla,
1649963,atha,nula,Q9C8G5,0,,,,,,sin semilla,
1657316,atha,nula,Q66GI4,0,,,,,,sin semilla,
1692191,atha,nula,Q8GWW7,0,,,,,,sin semilla,
1713724,atha,nula,Q9LUJ3,0,,,,,,sin semilla,
1718403,atha,informativa,Q96242,4,0.1111111111111111,1.5,6.907985631389887e-05,5.0,1.5,indirecta,21714.0
1799880,atha,nula,Q9ZVN4,0,,,,,,sin semilla,
1823735,atha,nula,Q9SQT8,0,,,,,,sin semilla,
1829840,atha,nula,Q9T0I8,0,,,,,,sin semilla,
1855876,atha,nula,Q9C5U0,0,,,,,,sin semilla,
1859939,atha,no informativa,Q94BU8,41,0.0,11679.0,0.5378557612600166,195711.5,11679.0,indirecta,21714.0
1860416,atha,nula,O64903,0,,,,,,sin semilla,
1860417,atha,nula,P45951,0,,,,,,sin semilla,
1923465,atha,nula,Q9FVQ6,0,,,,,,sin semilla,
2080242,atha,nula,Q9C5U0,0,,,,,,sin semilla,
2110071,atha,nula,P17597,0,,,,,,sin semilla,
2113034,atha,nula,Q8LF28,0,,,,,,sin semilla,
2129937,atha,informativa,Q9FVQ6,2,0.07491314210239183,4.5,0.0002072395689416966,9.5,4.5,directa,21714.0
2142661,atha,nula,Q94BU8,0,,,,,,sin semilla,
2273128,atha,no informativa,Q9SJQ9,3,0.0,10867.0,0.500460532375426,184473.0,10867.0,indirecta,21714.0
2282167,atha,nula,Q9T0I8,0,,,,,,sin semilla,
2300770,atha,nula,Q43295,0,,,,,,sin semilla,
2317034,atha,nula,P57758,0,,,,,,sin semilla,
2317768,atha,nula,Q93ZN9,0,,,,,,sin semilla,
2318246,atha,nula,Q93ZN9,0,,,,,,sin semilla,
2318686,atha,nula,Q93ZN9,0,,,,,,sin semilla,
2318687,atha,no informativa,Q93ZN9,6,0.0,10917.5,0.5027862208713273,186972.5,10917.5,indirecta,21714.0
2320360,atha,nula,Q9M156,0,,,,,,sin semilla,
2329845,atha,nula,Q93ZN9,0,,,,,,sin semilla,
2332379,atha,no informativa,A1A6H3,36,0.0,11221.0,0.5167633784655061,187201.0,11221.0,indirecta,21714.0
2337672,atha,nula,Q41931,0,,,,,,sin semilla,
2342085,atha,informativa,Q96323,10,0.0861830223878459,1.0,4.6053237542599246e-05,2.0,1.0,directa,21714.0
2342971,atha,nula,Q93YN9,0,,,,,,sin semilla,
2347562,atha,nula,Q8LF28,0,,,,,,sin semilla,
