drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
19546,calb,no informativa,P29717,10,0.0,3025.0,0.5008278145695364,184693.0,3025.0,indirecta,6040.0
41523,calb,nula,Q8NJN3,0,,,,,,sin semilla,
41984,calb,nula,A0A1D8PMC5,0,,,,,,sin semilla,
42286,calb,nula,Q9HGT6,0,,,,,,sin semilla,
83211,calb,no informativa,Q8NJN3,4,0.0,3025.0,0.5008278145695364,184441.0,3025.0,indirecta,6040.0
91228,calb,nula,Q5AAJ8,0,,,,,,sin semilla,
91271,calb,nula,A0A1D8PKA4,0,,,,,,sin semilla,
91417,calb,nula,P82610,0,,,,,,sin semilla,
91469,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
91555,calb,nula,P43075,0,,,,,,sin semilla,
91680,calb,no informativa,A0A1D8PJF9,358,0.0,3174.5,0.5255794701986755,196112.5,3174.5,indirecta,6040.0
91754,calb,nula,Q9URB4,0,,,,,,sin semilla,
91794,calb,nula,Q9C0L9,0,,,,,,sin semilla,
91805,calb,nula,P43075,0,,,,,,sin semilla,
91889,calb,nula,P43075,0,,,,,,sin semilla,
91895,calb,nula,Q59RI1,0,,,,,,sin semilla,
92182,calb,no informativa,P29717,3,0.0,3021.0,0.5001655629139072,187465.0,3021.0,indirecta,6040.0
92592,calb,no informativa,A0A1D8PJF9,9,0.0,3074.0,0.5089403973509934,188930.0,3074.0,indirecta,6040.0
92652,calb,no informativa,Q92410,3,0.0,3029.5,0.5015728476821192,184744.0,3029.5,indirecta,6040.0
119275,calb,nula,Q92410,0,,,,,,sin semilla,
146465,calb,nula,Q5A7N4,0,,,,,,sin semilla,
161110,calb,no informativa,Q9URB4,12,0.0,3072.5,0.5086920529801324,186678.0,3072.5,indirecta,6040.0
195427,calb,no informativa,P82610,12,0.0,3057.0,0.5061258278145695,189731.0,3057.0,indirecta,6040.0
215696,calb,nula,P10613,0,,,,,,sin semilla,
244355,calb,no informativa,Q9HGT6,2,0.0,3024.5,0.5007450331125828,184680.0,3024.5,indirecta,6040.0
250522,calb,nula,Q5A7N4,0,,,,,,sin semilla,
275643,calb,no informativa,Q5A7N4,7,0.0,3080.0,0.5099337748344371,189509.0,3080.0,indirecta,6040.0
279042,calb,no informativa,Q5A7N4,2,0.0,3033.0,0.5021523178807947,185326.5,3033.0,indirecta,6040.0
280963,calb,nula,Q5A7N4,0,,,,,,sin semilla,
285321,calb,nula,Q5A7N4,0,,,,,,sin semilla,
319101,calb,nula,Q5A7N4,0,,,,,,sin semilla,
339190,calb,nula,Q5A7N4,0,,,,,,sin semilla,
349359,calb,no informativa,P29717,23,0.0,3047.0,0.5044701986754967,185997.0,3047.0,indirecta,6040.0
414353,calb,no informativa,Q5A7N4,11,0.0,3063.5,0.5072019867549669,190163.5,3063.5,indirecta,6040.0
438039,calb,informativa,P29717,1309,0.07488075399317269,27.0,0.004470198675496689,2718.5,27.0,indirecta,6040.0
443699,calb,nula,O13332,0,,,,,,sin semilla,
463263,calb,nula,A0A1D8PMH8,0,,,,,,sin semilla,
531425,calb,nula,O13332,0,,,,,,sin semilla,
557350,calb,no informativa,P10613,5,0.0,3074.5,0.509023178807947,186997.5,3074.5,indirecta,6040.0
587537,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
601827,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
655569,calb,no informativa,A0A1D8PF45,4,0.0,3058.5,0.5063741721854305,186617.0,3058.5,indirecta,6040.0
668224,calb,nula,Q5A7N4,0,,,,,,sin semilla,
818847,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
828979,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
829290,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
829294,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
918213,calb,no informativa,P46598,6,0.0,3087.5,0.5111754966887417,187925.0,3087.5,indirecta,6040.0
924218,calb,informativa,P53704,42,0.007716020197393851,14.0,0.002317880794701987,795.0,14.0,indirecta,6040.0
934956,calb,nula,P28870,0,,,,,,sin semilla,
958276,calb,nula,Q5ALM0,0,,,,,,sin semilla,
987689,calb,nula,P29717,0,,,,,,sin semilla,
1009758,calb,nula,A0A1D8PMC5,0,,,,,,sin semilla,
1087694,calb,nula,P10613,0,,,,,,sin semilla,
1119681,calb,nula,Q59QT3,0,,,,,,sin semilla,
1227391,calb,no informativa,P30418,3,0.0,3029.0,0.5014900662251656,184822.5,3029.0,indirecta,6040.0
1362991,calb,no informativa,Q92410,21,0.0,3034.5,0.5024006622516556,184899.5,3034.5,indirecta,6040.0
1402249,calb,informativa,P53704,29,0.00426589275177685,14.0,0.002317880794701987,843.0,14.0,indirecta,6040.0
1457523,calb,nula,Q59TV7,0,,,,,,sin semilla,
1503046,calb,nula,A0A1D8PJF9,0,,,,,,sin semilla,
1573337,calb,no informativa,P46598,9,0.0,3090.0,0.5115894039735099,188490.5,3090.0,indirecta,6040.0
1620550,calb,no informativa,P82610,6,0.0,3029.0,0.5014900662251656,184620.5,3029.0,indirecta,6040.0
