drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
2646,cele,no informativa,G5EF15,5,0.0,13947.0,0.5085505925250684,184970.0,13947.0,indirecta,27425.0
17716,cele,nula,G5EF15,0,,,,,,sin semilla,
36102,cele,no informativa,P52011,15,0.0,13761.5,0.5017866909753874,184822.5,13761.5,indirecta,27425.0
37880,cele,nula,Q17339,0,,,,,,sin semilla,
40771,cele,nula,Q9Y052,0,,,,,,sin semilla,
73040,cele,no informativa,Q9XUB2,21,0.0,13992.5,0.5102096627164996,187601.0,13992.5,indirecta,27425.0
73292,cele,no informativa,Q9XUB2,3,0.0,13988.0,0.510045578851413,186283.0,13988.0,indirecta,27425.0
83211,cele,no informativa,Q17427,4,0.0,13719.0,0.5002370100273473,184441.0,13719.0,indirecta,27425.0
90805,cele,no informativa,Q18014,2,0.0,13717.0,0.5001640838650866,184347.5,13717.0,indirecta,27425.0
92092,cele,nula,O61955,0,,,,,,sin semilla,
92584,cele,nula,Q19774,0,,,,,,sin semilla,
116603,cele,nula,Q9XUB2,0,,,,,,sin semilla,
117208,cele,no informativa,G5EF15,3,0.0,13966.0,0.5092433910665451,184958.0,13966.0,indirecta,27425.0
117439,cele,nula,Q9XUB2,0,,,,,,sin semilla,
117659,cele,nula,Q9XUB2,0,,,,,,sin semilla,
117838,cele,nula,Q9XUB2,0,,,,,,sin semilla,
118559,cele,nula,Q9XUB2,0,,,,,,sin semilla,
119075,cele,nula,Q9XUB2,0,,,,,,sin semilla,
119853,cele,no informativa,Q9XUB2,2,0.0,13729.0,0.5006016408386509,184650.0,13729.0,indirecta,27425.0
121360,cele,nula,G5EF15,0,,,,,,sin semilla,
122085,cele,nula,Q9XUB2,0,,,,,,sin semilla,
123487,cele,nula,G5EF15,0,,,,,,sin semilla,
124151,cele,nula,Q9XUB2,0,,,,,,sin semilla,
124330,cele,nula,Q9XUB2,0,,,,,,sin semilla,
124856,cele,no informativa,Q9XUB2,24,0.0,13730.0,0.5006381039197813,184669.5,13730.0,indirecta,27425.0
125662,cele,nula,Q17339,0,,,,,,sin semilla,
126528,cele,nula,G5EF15,0,,,,,,sin semilla,
126668,cele,nula,G5EF15,0,,,,,,sin semilla,
126959,cele,nula,Q9XUB2,0,,,,,,sin semilla,
127560,cele,nula,G5EF15,0,,,,,,sin semilla,
127596,cele,nula,G5EF15,0,,,,,,sin semilla,
127870,cele,nula,G5EF15,0,,,,,,sin semilla,
128180,cele,nula,Q9XUB2,0,,,,,,sin semilla,
128861,cele,nula,Q9XUB2,0,,,,,,sin semilla,
128912,cele,nula,Q9XUB2,0,,,,,,sin semilla,
129076,cele,nula,G5EF15,0,,,,,,sin semilla,
129273,cele,nula,Q9XUB2,0,,,,,,sin semilla,
129615,cele,no informativa,Q17339,3,0.0,13764.5,0.5018960802187785,185041.5,13764.5,indirecta,27425.0
131690,cele,nula,Q9XUB2,0,,,,,,sin semilla,
131839,cele,nula,Q9XUB2,0,,,,,,sin semilla,
132459,cele,no informativa,Q9U2M7,11,0.0,13850.5,0.5050319051959891,185568.0,13850.5,indirecta,27425.0
136562,cele,nula,Q9XUB2,0,,,,,,sin semilla,
137196,cele,no informativa,Q9XUB2,3,0.0,13993.0,0.5102278942570647,186550.5,13993.0,indirecta,27425.0
138120,cele,nula,Q9XUB2,0,,,,,,sin semilla,
139216,cele,nula,G5EF15,0,,,,,,sin semilla,
139399,cele,nula,Q9XUB2,0,,,,,,sin semilla,
139651,cele,nula,Q9XUB2,0,,,,,,sin semilla,
140360,cele,nula,Q9XUB2,0,,,,,,sin semilla,
143043,cele,nula,Q9XUB2,0,,,,,,sin semilla,
143912,cele,nula,Q9XUB2,0,,,,,,sin semilla,
144518,cele,nula,G5EF15,0,,,,,,sin semilla,
144664,cele,nula,Q9XUB2,0,,,,,,sin semilla,
145144,cele,nula,Q9XUB2,0,,,,,,sin semilla,
145785,cele,nula,Q9XUB2,0,,,,,,sin semilla,
146031,cele,nula,G5EF15,0,,,,,,sin semilla,
146934,cele,nula,G5EF15,0,,,,,,sin semilla,
147741,cele,nula,G5EF15,0,,,,,,sin semilla,
148988,cele,nula,G5EF15,0,,,,,,sin semilla,
149059,cele,nula,Q9XUB2,0,,,,,,sin semilla,
150663,cele,nula,Q9XUB2,0,,,,,,sin semilla,
151348,cele,nula,G5EF15,0,,,,,,sin semilla,
151837,cele,nula,G5EF15,0,,,,,,sin semilla,
151994,cele,nula,Q9XUB2,0,,,,,,sin semilla,
152266,cele,nula,Q9XUB2,0,,,,,,sin semilla,
152564,cele,nula,Q9XUB2,0,,,,,,sin semilla,
153568,cele,nula,G5EF15,0,,,,,,sin semilla,
154559,cele,nula,Q9XUB2,0,,,,,,sin semilla,
154964,cele,nula,Q9XUB2,0,,,,,,sin semilla,
155335,cele,nula,Q17339,0,,,,,,sin semilla,
157474,cele,nula,Q9XUB2,0,,,,,,sin semilla,
157740,cele,nula,G5EF15,0,,,,,,sin semilla,
158042,cele,nula,G5EF15,0,,,,,,sin semilla,
158132,cele,nula,Q9XUB2,0,,,,,,sin semilla,
160020,cele,nula,Q9XUB2,0,,,,,,sin semilla,
160783,cele,nula,G5EF15,0,,,,,,sin semilla,
161251,cele,nula,Q9XUB2,0,,,,,,sin semilla,
161846,cele,nula,Q9XUB2,0,,,,,,sin semilla,
162118,cele,nula,G5EF15,0,,,,,,sin semilla,
165261,cele,nula,Q9XUB2,0,,,,,,sin semilla,
165274,cele,no informativa,G5EF15,3,0.0,13781.5,0.5025159525979945,185281.0,13781.5,indirecta,27425.0
166098,cele,nula,Q9XUB2,0,,,,,,sin semilla,
166476,cele,nula,G5EF15,0,,,,,,sin semilla,
166636,cele,nula,Q9XUB2,0,,,,,,sin semilla,
166887,cele,no informativa,Q9XUB2,3,0.0,13734.5,0.5008021877848678,184766.0,13734.5,indirecta,27425.0
167644,cele,nula,G5EF15,0,,,,,,sin semilla,
168615,cele,nula,G5EF15,0,,,,,,sin semilla,
169585,cele,nula,Q9XUB2,0,,,,,,sin semilla,
170683,cele,nula,Q9XUB2,0,,,,,,sin semilla,
170701,cele,nula,G5EF15,0,,,,,,sin semilla,
170788,cele,nula,G5EF15,0,,,,,,sin semilla,
