drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
50427,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
73315,dmel,no informativa,Q7K4Y6,2,0.0,5354.0,0.5006077606358111,184370.5,5354.0,indirecta,10695.0
73470,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
73562,dmel,nula,Q10714,0,,,,,,sin semilla,
73576,dmel,nula,Q10714,0,,,,,,sin semilla,
73665,dmel,nula,Q9VMI3,0,,,,,,sin semilla,
76254,dmel,nula,Q24560,0,,,,,,sin semilla,
83283,dmel,informativa,Q24451,6,0.18868660918633068,1.0,9.350163627863488e-05,1.0,1.0,directa,10695.0
83361,dmel,no informativa,Q24451,6,0.0,5397.5,0.5046750818139317,186369.5,5397.5,indirecta,10695.0
84112,dmel,nula,Q9W138,0,,,,,,sin semilla,
90857,dmel,nula,Q9W1M7,0,,,,,,sin semilla,
91581,dmel,nula,Q9XZT6,0,,,,,,sin semilla,
91750,dmel,nula,Q24560,0,,,,,,sin semilla,
91881,dmel,no informativa,Q95TS5,5,0.0,5356.0,0.5007947639083684,184433.0,5356.0,indirecta,10695.0
91963,dmel,no informativa,Q10714,3,0.0,5418.5,0.5066386161757831,186351.0,5418.5,indirecta,10695.0
91975,dmel,nula,Q24451,0,,,,,,sin semilla,
92088,dmel,nula,Q9W197,0,,,,,,sin semilla,
92092,dmel,nula,P48598,0,,,,,,sin semilla,
92094,dmel,nula,P48598,0,,,,,,sin semilla,
92162,dmel,nula,P00334,0,,,,,,sin semilla,
92254,dmel,no informativa,Q24451,10,0.0,5492.0,0.5135109864422628,188097.0,5492.0,indirecta,10695.0
92450,dmel,nula,Q10714,0,,,,,,sin semilla,
92470,dmel,no informativa,Q9W138,357,0.0,6002.0,0.5611968209443665,203388.5,6002.0,indirecta,10695.0
92686,dmel,nula,Q10714,0,,,,,,sin semilla,
92735,dmel,nula,Q10714,0,,,,,,sin semilla,
92783,dmel,no informativa,Q7K4Y6,3,0.0,5361.0,0.5012622720897616,184746.5,5361.0,indirecta,10695.0
99888,dmel,nula,Q94521,0,,,,,,sin semilla,
114095,dmel,nula,Q9XZT6,0,,,,,,sin semilla,
152179,dmel,nula,Q9VUL1,0,,,,,,sin semilla,
167701,dmel,nula,Q7JYX0,0,,,,,,sin semilla,
174416,dmel,informativa,Q7K4Y6,14,0.008264462809917356,22.5,0.0021037868162692847,467.0,22.5,indirecta,10695.0
174809,dmel,nula,Q9XZT6,0,,,,,,sin semilla,
228905,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
292827,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
378990,dmel,no informativa,Q7K4Y6,2,0.0,5411.5,0.5059841047218326,186171.0,5411.5,indirecta,10695.0
379769,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
382863,dmel,informativa,Q10714,10,0.02564102564102564,5.5,0.0005142589995324918,182.0,5.5,indirecta,10695.0
431047,dmel,no informativa,Q7K4Y6,7,0.0,5393.5,0.5043010752688172,185164.0,5393.5,indirecta,10695.0
445273,dmel,nula,Q9XZT6,0,,,,,,sin semilla,
482428,dmel,nula,Q9VWX8,0,,,,,,sin semilla,
484678,dmel,no informativa,P54623,5,0.0,5445.0,0.5091164095371669,187167.0,5445.0,indirecta,10695.0
599438,dmel,nula,Q24451,0,,,,,,sin semilla,
614859,dmel,nula,Q8I0P1,0,,,,,,sin semilla,
630824,dmel,nula,Q9VWX8,0,,,,,,sin semilla,
634325,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
689746,dmel,nula,Q24451,0,,,,,,sin semilla,
689759,dmel,nula,Q24451,0,,,,,,sin semilla,
733208,dmel,nula,Q24324,0,,,,,,sin semilla,
733689,dmel,nula,Q03720,0,,,,,,sin semilla,
735704,dmel,nula,Q7K4Y6,0,,,,,,sin semilla,
736192,dmel,no informativa,Q24451,2,0.0,5365.5,0.5016830294530155,184371.5,5365.5,indirecta,10695.0
757284,dmel,nula,Q9VCU9,0,,,,,,sin semilla,
