drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
263,ecol,no informativa,P0A927,5,0.0,2281.5,0.5033090668431502,186172.0,2281.5,indirecta,4533.0
6529,ecol,nula,P0A988,0,,,,,,sin semilla,
8893,ecol,nula,P0A988,0,,,,,,sin semilla,
10479,ecol,nula,P45578,0,,,,,,sin semilla,
10480,ecol,nula,P45578,0,,,,,,sin semilla,
14280,ecol,nula,P00811,0,,,,,,sin semilla,
18238,ecol,nula,P00811,0,,,,,,sin semilla,
21615,ecol,nula,P0AES6,0,,,,,,sin semilla,
25988,ecol,nula,P0AE18,0,,,,,,sin semilla,
26117,ecol,nula,P0AAI5,0,,,,,,sin semilla,
27480,ecol,no informativa,P0AEK4,5,0.0,2277.5,0.5024266490183101,184743.5,2277.5,indirecta,4533.0
27937,ecol,nula,P00954,0,,,,,,sin semilla,
29085,ecol,nula,P18956,0,,,,,,sin semilla,
33561,ecol,no informativa,P00722,33,0.0,2280.0,0.5029781601588352,187018.0,2280.0,indirecta,4533.0
36305,ecol,nula,P30750,0,,,,,,sin semilla,
36514,ecol,no informativa,P00811,10,0.0,2271.0,0.500992720052945,186968.0,2271.0,indirecta,4533.0
39159,ecol,informativa,P0AEX9,57,0.007462686567164179,10.0,0.0022060445621001545,583.5,10.0,indirecta,4533.0
39285,ecol,informativa,P02925,156,0.04830917874396135,15.0,0.0033090668431502318,554.0,15.0,indirecta,4533.0
39592,ecol,nula,P0A6D3,0,,,,,,sin semilla,
40142,ecol,nula,P04391,0,,,,,,sin semilla,
40147,ecol,nula,P0AFC0,0,,,,,,sin semilla,
40392,ecol,nula,P0A884,0,,,,,,sin semilla,
41353,ecol,nula,P08200,0,,,,,,sin semilla,
42047,ecol,nula,P09546,0,,,,,,sin semilla,
42060,ecol,nula,P09147,0,,,,,,sin semilla,
42271,ecol,no informativa,P21889,2,0.0,2269.0,0.500551511140525,184269.5,2269.0,indirecta,4533.0
42280,ecol,nula,P00957,0,,,,,,sin semilla,
42283,ecol,nula,P0A8M3,0,,,,,,sin semilla,
42284,ecol,no informativa,P0AGJ9,7,0.0,2268.5,0.50044120891242,185035.5,2268.5,indirecta,4533.0
42287,ecol,nula,P00962,0,,,,,,sin semilla,
42288,ecol,nula,P00962,0,,,,,,sin semilla,
42734,ecol,nula,P0AG20,0,,,,,,sin semilla,
42736,ecol,nula,P0AG20,0,,,,,,sin semilla,
42786,ecol,nula,P0AG20,0,,,,,,sin semilla,
42846,ecol,nula,P0AG20,0,,,,,,sin semilla,
43692,ecol,nula,P0AG20,0,,,,,,sin semilla,
46295,ecol,nula,P08191,0,,,,,,sin semilla,
46703,ecol,nula,P08191,0,,,,,,sin semilla,
51826,ecol,nula,P23895,0,,,,,,sin semilla,
54850,ecol,nula,P23895,0,,,,,,sin semilla,
72912,ecol,no informativa,P00811,359,0.0,2416.5,0.5330906684315023,196092.5,2416.5,indirecta,4533.0
73050,ecol,nula,P00811,0,,,,,,sin semilla,
73126,ecol,no informativa,P00811,4,0.0,2327.0,0.5133465696007059,186194.0,2327.0,indirecta,4533.0
73411,ecol,no informativa,P0CE47,4,0.0,2268.5,0.50044120891242,184876.0,2268.5,indirecta,4533.0
73416,ecol,informativa,P0ABQ4,2,0.02986906710310966,1.0,0.00022060445621001543,13.5,1.0,indirecta,4533.0
73574,ecol,nula,P0A7E5,0,,,,,,sin semilla,
76412,ecol,no informativa,P37001,13,0.0,2285.5,0.5041914846679902,187223.5,2285.5,indirecta,4533.0
77304,ecol,nula,P00811,0,,,,,,sin semilla,
79946,ecol,nula,P0A921,0,,,,,,sin semilla,
80314,ecol,no informativa,P0A6C1,4,0.0,2267.0,0.500110302228105,184969.0,2267.0,indirecta,4533.0
80360,ecol,nula,P38489,0,,,,,,sin semilla,
83253,ecol,nula,P00811,0,,,,,,sin semilla,
83506,ecol,no informativa,P28307,2,0.0,2268.0,0.500330906684315,184585.0,2268.0,indirecta,4533.0
83507,ecol,nula,P28307,0,,,,,,sin semilla,
87550,ecol,no informativa,P00811,4,0.0,2278.0,0.5025369512464152,185561.0,2278.0,indirecta,4533.0
90888,ecol,nula,P31553,0,,,,,,sin semilla,
90971,ecol,nula,P0AC13,0,,,,,,sin semilla,
90975,ecol,nula,P0A6C1,0,,,,,,sin semilla,
91009,ecol,nula,P13482,0,,,,,,sin semilla,
91065,ecol,nula,P0AF12,0,,,,,,sin semilla,
91080,ecol,nula,P0AB80,0,,,,,,sin semilla,
91168,ecol,nula,Q47155,0,,,,,,sin semilla,
91188,ecol,nula,P0AC13,0,,,,,,sin semilla,
91224,ecol,nula,P0A817,0,,,,,,sin semilla,
91258,ecol,nula,P0AG18,0,,,,,,sin semilla,
91294,ecol,nula,P18956,0,,,,,,sin semilla,
91323,ecol,nula,P0AG30,0,,,,,,sin semilla,
91362,ecol,nula,P08244,0,,,,,,sin semilla,
91379,ecol,nula,P00811,0,,,,,,sin semilla,
91380,ecol,nula,P00811,0,,,,,,sin semilla,
91385,ecol,nula,P77674,0,,,,,,sin semilla,
91501,ecol,nula,P0ABF6,0,,,,,,sin semilla,
91581,ecol,nula,P0A6I0,0,,,,,,sin semilla,
91603,ecol,no informativa,P0ACU2,2,0.0,2267.0,0.500110302228105,187109.5,2267.0,indirecta,4533.0
91648,ecol,nula,P31992,0,,,,,,sin semilla,
91667,ecol,no informativa,P05804,13,0.0,2288.0,0.5047429958085153,186048.0,2288.0,indirecta,4533.0
91712,ecol,nula,P0ABP8,0,,,,,,sin semilla,
91725,ecol,nula,P05020,0,,,,,,sin semilla,
91867,ecol,nula,P46883,0,,,,,,sin semilla,
91918,ecol,nula,P52061,0,,,,,,sin semilla,
92177,ecol,nula,P0A884,0,,,,,,sin semilla,
92178,ecol,nula,P0AFX9,0,,,,,,sin semilla,
92198,ecol,nula,P0A6C8,0,,,,,,sin semilla,
92240,ecol,nula,P24182,0,,,,,,sin semilla,
92274,ecol,nula,P60472,0,,,,,,sin semilla,
92286,ecol,nula,P0A953,0,,,,,,sin semilla,
92303,ecol,no informativa,P0ACB2,6,0.0,2287.0,0.5045223913523054,184604.0,2287.0,indirecta,4533.0
92346,ecol,nula,P05042,0,,,,,,sin semilla,
92378,ecol,nula,P06612,0,,,,,,sin semilla,
92399,ecol,nula,P0AE18,0,,,,,,sin semilla,
92457,ecol,no informativa,P04825,839,0.0,2649.5,0.5844915067284359,215064.5,2649.5,indirecta,4533.0
92468,ecol,nula,P0AEE8,0,,,,,,sin semilla,
92512,ecol,nula,P0ACJ8,0,,,,,,sin semilla,
92543,ecol,nula,P0A720,0,,,,,,sin semilla,
92551,ecol,nula,P0ABP8,0,,,,,,sin semilla,
92552,ecol,no informativa,P08200,4,0.0,2268.5,0.50044120891242,185263.0,2268.5,indirecta,4533.0
92593,ecol,nula,P31550,0,,,,,,sin semilla,
92652,ecol,no informativa,P13482,3,0.0,2267.0,0.500110302228105,184744.0,2267.0,indirecta,4533.0
92665,ecol,nula,P14900,0,,,,,,sin semilla,
92705,ecol,no informativa,P0A8P1,152,0.0,2426.0,0.5351864107654974,196575.0,2426.0,indirecta,4533.0
92722,ecol,nula,P05804,0,,,,,,sin semilla,
92723,ecol,nula,P05804,0,,,,,,sin semilla,
97507,ecol,nula,P0A6C1,0,,,,,,sin semilla,
100210,ecol,nula,P31133,0,,,,,,sin semilla,
100479,ecol,nula,P0A6C1,0,,,,,,sin semilla,
103370,ecol,no informativa,P05042,42,0.0,2356.5,0.5198544010589013,186224.0,2356.5,indirecta,4533.0
115832,ecol,nula,P00811,0,,,,,,sin semilla,
116593,ecol,no informativa,P0AEY8,10,0.0,2285.5,0.5041914846679902,187441.5,2285.5,indirecta,4533.0
118418,ecol,nula,P00811,0,,,,,,sin semilla,
121688,ecol,nula,P00811,0,,,,,,sin semilla,
129371,ecol,nula,P00811,0,,,,,,sin semilla,
135581,ecol,no informativa,P10903,62,0.0,2287.5,0.5046326935804103,185396.0,2287.5,indirecta,4533.0
139179,ecol,nula,P00811,0,,,,,,sin semilla,
140447,ecol,nula,P00811,0,,,,,,sin semilla,
144673,ecol,no informativa,P00811,2,0.0,2267.5,0.50022060445621,184454.0,2267.5,indirecta,4533.0
146465,ecol,nula,P00811,0,,,,,,sin semilla,
150080,ecol,nula,P00811,0,,,,,,sin semilla,
150931,ecol,nula,P00811,0,,,,,,sin semilla,
153547,ecol,nula,P00811,0,,,,,,sin semilla,
155338,ecol,nula,P00811,0,,,,,,sin semilla,
156649,ecol,nula,P00811,0,,,,,,sin semilla,
165252,ecol,nula,P00811,0,,,,,,sin semilla,
174809,ecol,nula,P0AE22,0,,,,,,sin semilla,
183788,ecol,nula,P00811,0,,,,,,sin semilla,
188455,ecol,nula,P00811,0,,,,,,sin semilla,
