drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
3338,hsap,nula,P15428,0,,,,,,sin semilla,
14539,hsap,no informativa,O14965,2,0.0,8151.5,0.5000613459296975,184285.0,8151.5,indirecta,16301.0
29415,hsap,no informativa,O75604,20,0.0,8530.5,0.5233114532850746,187241.5,8530.5,indirecta,16301.0
30852,hsap,no informativa,P56817,2,0.0,8194.5,0.5026992209066928,185036.5,8194.5,indirecta,16301.0
36926,hsap,nula,Q9UHC9,0,,,,,,sin semilla,
46735,hsap,nula,Q96QE3,0,,,,,,sin semilla,
67649,hsap,nula,Q96QE3,0,,,,,,sin semilla,
70712,hsap,no informativa,P0DMS8,11,0.0,8331.5,0.5111036132752592,188363.0,8331.5,indirecta,16301.0
71846,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
73305,hsap,nula,P05164,0,,,,,,sin semilla,
87985,hsap,nula,P08069,0,,,,,,sin semilla,
91110,hsap,nula,P15428,0,,,,,,sin semilla,
91196,hsap,nula,Q9NWT6,0,,,,,,sin semilla,
91223,hsap,nula,P48736,0,,,,,,sin semilla,
91470,hsap,nula,P35790,0,,,,,,sin semilla,
92000,hsap,nula,P49137,0,,,,,,sin semilla,
99883,hsap,nula,P16473,0,,,,,,sin semilla,
101003,hsap,nula,P16473,0,,,,,,sin semilla,
106280,hsap,nula,P16050,0,,,,,,sin semilla,
111540,hsap,no informativa,Q7L0J3,2,0.0,8221.5,0.5043555610085271,185577.0,8221.5,indirecta,16301.0
111772,hsap,nula,P15559,0,,,,,,sin semilla,
116099,hsap,nula,P06746,0,,,,,,sin semilla,
116653,hsap,nula,Q96QE3,0,,,,,,sin semilla,
117092,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
117289,hsap,nula,P00748,0,,,,,,sin semilla,
117711,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
117982,hsap,nula,P51151,0,,,,,,sin semilla,
118121,hsap,nula,P15428,0,,,,,,sin semilla,
118558,hsap,nula,P06746,0,,,,,,sin semilla,
118765,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
119945,hsap,informativa,Q96QE3,3,0.03988604850600132,5.5,0.00033740261333660513,120.5,5.5,directa,16301.0
119996,hsap,nula,P15428,0,,,,,,sin semilla,
120161,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
120267,hsap,no informativa,Q9UIF8,2,0.0,8276.5,0.5077295871418931,187358.5,8276.5,indirecta,16301.0
120334,hsap,nula,P06746,0,,,,,,sin semilla,
120514,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
120720,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
121257,hsap,nula,O75030,0,,,,,,sin semilla,
121323,hsap,nula,Q9HC16,0,,,,,,sin semilla,
121382,hsap,nula,Q96QE3,0,,,,,,sin semilla,
121538,hsap,nula,Q96QE3,0,,,,,,sin semilla,
121546,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
121580,hsap,nula,Q9UIF8,0,,,,,,sin semilla,
121669,hsap,nula,Q96QE3,0,,,,,,sin semilla,
121762,hsap,informativa,Q96QE3,27,0.03835258502728526,93.0,0.005705171461873505,1820.0,93.0,directa,16301.0
121999,hsap,nula,Q96QE3,0,,,,,,sin semilla,
