drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
73416,lmaj,no informativa,Q01782,2,0.0,3283.0,0.5001523461304083,184318.5,3283.0,indirecta,6564.0
73656,lmaj,no informativa,Q01782,2,0.0,3290.0,0.5012187690432663,184555.0,3290.0,indirecta,6564.0
73665,lmaj,nula,Q4QEW7,0,,,,,,sin semilla,
91124,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
91271,lmaj,nula,Q4Q4I6,0,,,,,,sin semilla,
91604,lmaj,nula,O15826,0,,,,,,sin semilla,
91606,lmaj,nula,Q01782,0,,,,,,sin semilla,
91692,lmaj,nula,Q01782,0,,,,,,sin semilla,
91805,lmaj,nula,Q4Q9G4,0,,,,,,sin semilla,
92543,lmaj,nula,Q4QC75,0,,,,,,sin semilla,
96879,lmaj,nula,Q4Q4I6,0,,,,,,sin semilla,
104548,lmaj,nula,Q95Z89,0,,,,,,sin semilla,
195427,lmaj,no informativa,Q01782,12,0.0,3356.0,0.5112736136502133,190852.5,3356.0,indirecta,6564.0
225301,lmaj,nula,Q4QEW7,0,,,,,,sin semilla,
244355,lmaj,no informativa,Q4QHU1,2,0.0,3286.5,0.5006855575868373,184680.0,3286.5,indirecta,6564.0
438052,lmaj,nula,Q4QEW7,0,,,,,,sin semilla,
438065,lmaj,no informativa,Q4QEW7,2,0.0,3287.5,0.5008379037172456,186791.5,3287.5,indirecta,6564.0
439361,lmaj,no informativa,Q01782,2,0.0,3366.0,0.5127970749542962,189059.0,3366.0,indirecta,6564.0
450804,lmaj,no informativa,Q4QDU3,6,0.0,3312.5,0.5046465569774528,186405.0,3312.5,indirecta,6564.0
495490,lmaj,nula,Q4Q090,0,,,,,,sin semilla,
509337,lmaj,nula,Q4QAU9,0,,,,,,sin semilla,
638758,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
638912,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
638925,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
638943,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
638946,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
647119,lmaj,nula,Q4QBL1,0,,,,,,sin semilla,
739217,lmaj,nula,O15826,0,,,,,,sin semilla,
775730,lmaj,nula,Q01782,0,,,,,,sin semilla,
852138,lmaj,nula,P84155,0,,,,,,sin semilla,
958276,lmaj,nula,Q01782,0,,,,,,sin semilla,
964137,lmaj,no informativa,Q4QDU3,5,0.0,3284.5,0.5003808653260208,184852.5,3284.5,indirecta,6564.0
971573,lmaj,nula,Q4QH17,0,,,,,,sin semilla,
1106675,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
1106676,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
1106677,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
1115804,lmaj,nula,Q4Q5S8,0,,,,,,sin semilla,
1224865,lmaj,nula,O15826,0,,,,,,sin semilla,
1227390,lmaj,nula,Q4Q090,0,,,,,,sin semilla,
