drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
945,mmus,no informativa,Q923J1,4,0.0,9166.5,0.5040692878746219,185420.0,9166.5,indirecta,18185.0
2909,mmus,no informativa,Q8VCH6,2,0.0,9094.5,0.5001099807533682,184348.5,9094.5,indirecta,18185.0
3007,mmus,no informativa,P26262,14,0.0,10027.0,0.5513885070112731,189458.5,10027.0,indirecta,18185.0
3578,mmus,nula,P45377,0,,,,,,sin semilla,
3840,mmus,nula,Q8K0C4,0,,,,,,sin semilla,
4181,mmus,no informativa,P15209,12,0.0,10015.5,0.5507561176794061,189297.0,10015.5,indirecta,18185.0
6214,mmus,nula,Q01237,0,,,,,,sin semilla,
7088,mmus,nula,P29477,0,,,,,,sin semilla,
8513,mmus,nula,Q05769,0,,,,,,sin semilla,
11225,mmus,no informativa,P31750,3,0.0,9207.5,0.5063238933186692,187481.0,9207.5,indirecta,18185.0
12114,mmus,nula,Q61091,0,,,,,,sin semilla,
33561,mmus,no informativa,P54818,33,0.0,9919.5,0.5454770415177344,187018.0,9919.5,indirecta,18185.0
34179,mmus,nula,P05132,0,,,,,,sin semilla,
36926,mmus,nula,Q8CI52,0,,,,,,sin semilla,
37532,mmus,informativa,Q01237,7,0.007208683700235152,11.5,0.0006323893318669233,122.5,11.5,indirecta,18185.0
37635,mmus,nula,P29477,0,,,,,,sin semilla,
41977,mmus,nula,Q7TNG8,0,,,,,,sin semilla,
41992,mmus,nula,Q8CHT0,0,,,,,,sin semilla,
46024,mmus,no informativa,P29477,3,0.0,9939.0,0.546549353863074,188047.5,9939.0,indirecta,18185.0
49941,mmus,nula,Q80V72,0,,,,,,sin semilla,
52488,mmus,no informativa,P35639,2,0.0,9093.0,0.500027495188342,184254.5,9093.0,indirecta,18185.0
52700,mmus,nula,Q05769,0,,,,,,sin semilla,
59271,mmus,nula,Q07440,0,,,,,,sin semilla,
62795,mmus,informativa,P23979,8,0.0009365162868028766,59.5,0.003271927412702777,1129.0,59.5,indirecta,18185.0
72864,mmus,nula,Q923J1,0,,,,,,sin semilla,
72980,mmus,no informativa,Q8K424,10,0.0,9939.5,0.546576849051416,187184.5,9939.5,indirecta,18185.0
