drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
1903,mtub,no informativa,P9WID5,9,0.0,2074.5,0.5093297323839922,188830.5,2074.5,indirecta,4073.0
5805,mtub,nula,P9WPP7,0,,,,,,sin semilla,
8512,mtub,informativa,O53512,61,0.15384615384615385,2.0,0.0004910385465259023,75.0,2.0,directa,4073.0
20015,mtub,no informativa,P9WFX5,170,0.0,2174.0,0.5337589000736558,194137.0,2174.0,indirecta,4073.0
28577,mtub,nula,P9WHE9,0,,,,,,sin semilla,
29265,mtub,no informativa,P9WHE9,2,0.0,2037.0,0.5001227596366314,186564.0,2037.0,indirecta,4073.0
29394,mtub,nula,P9WHE9,0,,,,,,sin semilla,
29773,mtub,nula,P9WHE9,0,,,,,,sin semilla,
30992,mtub,nula,P9WHE9,0,,,,,,sin semilla,
30993,mtub,nula,P9WHE9,0,,,,,,sin semilla,
30994,mtub,nula,P9WHE9,0,,,,,,sin semilla,
33901,mtub,nula,P9WFK7,0,,,,,,sin semilla,
36102,mtub,no informativa,P9WNY5,15,0.0,2044.5,0.5019641541861036,184822.5,2044.5,indirecta,4073.0
37733,mtub,no informativa,P9WKD3,10,0.0,2042.0,0.5013503560029462,186456.0,2042.0,indirecta,4073.0
40392,mtub,nula,P9WKE1,0,,,,,,sin semilla,
41528,mtub,no informativa,P9WFU3,2,0.0,2047.5,0.5027007120058925,184503.5,2047.5,indirecta,4073.0
41994,mtub,no informativa,I6Y9J2,2,0.0,2037.0,0.5001227596366314,186148.0,2037.0,indirecta,4073.0
42289,mtub,nula,P9WFV7,0,,,,,,sin semilla,
47131,mtub,nula,P9WKI7,0,,,,,,sin semilla,
48592,mtub,nula,P9WJY9,0,,,,,,sin semilla,
51817,mtub,nula,P9WFK7,0,,,,,,sin semilla,
56291,mtub,no informativa,Q79FX6,8,0.0,2077.5,0.510066290203781,187130.0,2077.5,indirecta,4073.0
67465,mtub,nula,I6Y9J2,0,,,,,,sin semilla,
73147,mtub,nula,P9WG45,0,,,,,,sin semilla,
73184,mtub,no informativa,P9WFK7,5,0.0,2073.0,0.5089614534740977,188692.0,2073.0,indirecta,4073.0
73220,mtub,nula,P9WI81,0,,,,,,sin semilla,
73401,mtub,nula,P9WFK7,0,,,,,,sin semilla,
74897,mtub,nula,P9WNX1,0,,,,,,sin semilla,
77304,mtub,nula,P9WMN3,0,,,,,,sin semilla,
79033,mtub,nula,P9WKI7,0,,,,,,sin semilla,
83368,mtub,nula,P9WFQ9,0,,,,,,sin semilla,
87573,mtub,no informativa,P9WP31,8,0.0,2039.5,0.5007365578197889,185182.0,2039.5,indirecta,4073.0
90008,mtub,nula,I6Y9J2,0,,,,,,sin semilla,
90084,mtub,nula,O53872,0,,,,,,sin semilla,
90211,mtub,nula,P9WGR1,0,,,,,,sin semilla,
90493,mtub,nula,P9WIT9,0,,,,,,sin semilla,
90907,mtub,nula,P9WK17,0,,,,,,sin semilla,
91215,mtub,nula,P9WPE1,0,,,,,,sin semilla,
91576,mtub,nula,P9WK11,0,,,,,,sin semilla,
91597,mtub,nula,P9WPQ5,0,,,,,,sin semilla,
91604,mtub,nula,P9WNS5,0,,,,,,sin semilla,
91610,mtub,no informativa,P9WG73,3,0.0,2037.5,0.500245519273263,186316.0,2037.5,indirecta,4073.0
91725,mtub,nula,P9WFQ9,0,,,,,,sin semilla,
91750,mtub,nula,P9WGY9,0,,,,,,sin semilla,
91756,mtub,no informativa,P9WMW9,22,0.0,2058.5,0.5054014240117849,185743.0,2058.5,indirecta,4073.0
91812,mtub,nula,P9WQH5,0,,,,,,sin semilla,
91918,mtub,nula,P9WPQ5,0,,,,,,sin semilla,
92198,mtub,nula,P9WQ01,0,,,,,,sin semilla,
92199,mtub,nula,O33289,0,,,,,,sin semilla,
92238,mtub,nula,P9WMC1,0,,,,,,sin semilla,
92239,mtub,nula,P9WMC1,0,,,,,,sin semilla,
92422,mtub,nula,P9WMC1,0,,,,,,sin semilla,
92543,mtub,nula,P9WKE1,0,,,,,,sin semilla,
92560,mtub,nula,P9WGR1,0,,,,,,sin semilla,
92578,mtub,nula,P9WMN1,0,,,,,,sin semilla,
92669,mtub,nula,P9WFQ9,0,,,,,,sin semilla,
92679,mtub,nula,P9WNX1,0,,,,,,sin semilla,
103274,mtub,nula,P9WMC1,0,,,,,,sin semilla,
103370,mtub,no informativa,P9WLL7,42,0.0,2084.5,0.5117849251166217,186224.0,2084.5,indirecta,4073.0
120043,mtub,no informativa,P9WMN3,3,0.0,2037.0,0.5001227596366314,185664.5,2037.0,indirecta,4073.0
120978,mtub,nula,P9WMN3,0,,,,,,sin semilla,
122664,mtub,nula,P9WMN3,0,,,,,,sin semilla,
129586,mtub,nula,P9WQ01,0,,,,,,sin semilla,
137196,mtub,no informativa,P9WMN3,3,0.0,2049.0,0.5030689909157869,186550.5,2049.0,indirecta,4073.0
137313,mtub,nula,P9WMN3,0,,,,,,sin semilla,
138621,mtub,nula,P9WFK7,0,,,,,,sin semilla,
138683,mtub,nula,P9WMN3,0,,,,,,sin semilla,
142657,mtub,nula,P9WMN3,0,,,,,,sin semilla,
145045,mtub,no informativa,P9WMN3,3,0.0,2040.0,0.5008593174564203,184423.0,2040.0,indirecta,4073.0
145062,mtub,nula,I6X8D2,0,,,,,,sin semilla,
147477,mtub,nula,P9WFK7,0,,,,,,sin semilla,
152713,mtub,nula,P9WQ01,0,,,,,,sin semilla,
154551,mtub,nula,P9WMN3,0,,,,,,sin semilla,
163748,mtub,nula,P9WMN3,0,,,,,,sin semilla,
167660,mtub,nula,P9WNX1,0,,,,,,sin semilla,
170900,mtub,nula,P9WMN3,0,,,,,,sin semilla,
171243,mtub,nula,P9WMN3,0,,,,,,sin semilla,
174809,mtub,nula,P9WPQ5,0,,,,,,sin semilla,
179926,mtub,nula,P9WMN3,0,,,,,,sin semilla,
182284,mtub,nula,P9WMN3,0,,,,,,sin semilla,
189400,mtub,nula,P9WMN3,0,,,,,,sin semilla,
193280,mtub,nula,P9WMN3,0,,,,,,sin semilla,
195427,mtub,informativa,P9WNX1,12,0.005319148936170213,1.0,0.00024551927326295114,322.5,1.0,indirecta,4073.0
195447,mtub,nula,P9WQ81,0,,,,,,sin semilla,
195549,mtub,nula,I6X8D2,0,,,,,,sin semilla,
195899,mtub,nula,P9WMN3,0,,,,,,sin semilla,
199627,mtub,nula,P9WMN3,0,,,,,,sin semilla,
199737,mtub,nula,P9WMN3,0,,,,,,sin semilla,
199902,mtub,nula,P9WMN3,0,,,,,,sin semilla,
204183,mtub,nula,P9WMN3,0,,,,,,sin semilla,
207191,mtub,no informativa,P9WMN3,3,0.0,2038.0,0.5003682789098944,184943.5,2038.0,indirecta,4073.0
209340,mtub,informativa,P9WMN3,7,0.08488392698919016,1.0,0.00024551927326295114,1.0,1.0,directa,4073.0
209571,mtub,no informativa,P9WMN3,16,0.0,2055.5,0.504664866191996,186960.0,2055.5,indirecta,4073.0
211621,mtub,no informativa,P9WMN3,6,0.0,2047.0,0.502577952369261,186538.0,2047.0,indirecta,4073.0
211749,mtub,nula,P9WMN3,0,,,,,,sin semilla,
217746,mtub,nula,P9WMN3,0,,,,,,sin semilla,
217765,mtub,nula,P9WMN3,0,,,,,,sin semilla,
219470,mtub,nula,P9WMN3,0,,,,,,sin semilla,
224805,mtub,nula,P9WMN3,0,,,,,,sin semilla,
229020,mtub,nula,P9WMN3,0,,,,,,sin semilla,
