drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
35691,osat,no informativa,Q0D9S3,7,0.0,11184.5,0.5081092131564601,188370.5,11184.5,indirecta,22012.0
73222,osat,nula,Q7XSK0,0,,,,,,sin semilla,
86764,osat,no informativa,Q0JF02,12,0.0,11047.5,0.50188533527167,184658.5,11047.5,indirecta,22012.0
91135,osat,nula,P0C512,0,,,,,,sin semilla,
91228,osat,nula,Q5KQI6,0,,,,,,sin semilla,
91738,osat,no informativa,A0A0P0XII1,84,0.0,11390.0,0.5174450299836453,193614.0,11390.0,indirecta,22012.0
91763,osat,nula,Q6L545,0,,,,,,sin semilla,
91787,osat,informativa,Q9FXT4,1517,0.0691660822523893,240.5,0.010925858622569508,3449.5,240.5,indirecta,22012.0
92393,osat,nula,Q6EN42,0,,,,,,sin semilla,
99665,osat,nula,Q6ZJK7,0,,,,,,sin semilla,
100003,osat,nula,Q5KQI6,0,,,,,,sin semilla,
244355,osat,no informativa,Q0JA29,2,0.0,11016.5,0.5004770125386153,184680.0,11016.5,indirecta,22012.0
353607,osat,no informativa,Q653V4,9,0.0,11025.5,0.500885880428857,187143.0,11025.5,indirecta,22012.0
365428,osat,informativa,Q65XA0,10,0.0009005477301587112,119.0,0.005406142104306742,1330.0,119.0,indirecta,22012.0
531040,osat,informativa,Q653V4,40,0.04044187243731008,12.5,0.0005678720697801199,178.5,12.5,indirecta,22012.0
810538,osat,nula,Q10QA5,0,,,,,,sin semilla,
963187,osat,informativa,Q306J3,1366,0.13679673263405634,81.5,0.003702525894966382,1728.0,81.5,indirecta,22012.0
1009758,osat,nula,Q6ZJK7,0,,,,,,sin semilla,
1076666,osat,nula,Q0DPB7,0,,,,,,sin semilla,
1282450,osat,informativa,Q0JMY8,1262,0.06477973103051421,220.5,0.010017263310921315,3225.0,220.5,indirecta,22012.0
1908147,osat,informativa,Q652L6,27,0.008007389919160227,24.0,0.0010903143739778303,444.0,24.0,directa,22012.0
2320360,osat,nula,Q7XT97,0,,,,,,sin semilla,
2365514,osat,nula,Q53WJ1,0,,,,,,sin semilla,
2376177,osat,nula,Q0DPB7,0,,,,,,sin semilla,
2376608,osat,no informativa,Q5ICN3,8,0.0,11142.5,0.5062011630019989,186731.0,11142.5,indirecta,22012.0
2378572,osat,nula,Q7XT97,0,,,,,,sin semilla,
2379771,osat,nula,Q10QA5,0,,,,,,sin semilla,
2379964,osat,nula,Q10QA5,0,,,,,,sin semilla,
2381600,osat,nula,Q7XT97,0,,,,,,sin semilla,
2381994,osat,nula,Q10QA5,0,,,,,,sin semilla,
2382398,osat,nula,P0C512,0,,,,,,sin semilla,
2385163,osat,no informativa,Q75I93,7,0.0,11009.0,0.5001362892967472,184387.0,11009.0,indirecta,22012.0
2385213,osat,nula,Q75I93,0,,,,,,sin semilla,
2385583,osat,nula,Q10QA5,0,,,,,,sin semilla,
2387014,osat,nula,Q9FU53,0,,,,,,sin semilla,
2387139,osat,nula,Q0DPB7,0,,,,,,sin semilla,
2387156,osat,nula,Q0DPB7,0,,,,,,sin semilla,
2387831,osat,nula,Q10QA5,0,,,,,,sin semilla,
2388094,osat,nula,Q10QA5,0,,,,,,sin semilla,
2390859,osat,nula,Q10QA5,0,,,,,,sin semilla,
2391518,osat,no informativa,Q942P9,3,0.0,11020.0,0.5006360167181537,184961.5,11020.0,indirecta,22012.0
2394137,osat,nula,Q0D9S3,0,,,,,,sin semilla,
2397653,osat,nula,Q0D9S3,0,,,,,,sin semilla,
