drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
2883,pfal,nula,C6KT01,0,,,,,,sin semilla,
24607,pfal,nula,O96935,0,,,,,,sin semilla,
41353,pfal,nula,C6KT68,0,,,,,,sin semilla,
44602,pfal,no informativa,Q8I5R7,3,0.0,2749.5,0.5003639672429482,184439.0,2749.5,indirecta,5495.0
45813,pfal,nula,O96935,0,,,,,,sin semilla,
49350,pfal,nula,Q8IL11,0,,,,,,sin semilla,
49941,pfal,nula,Q8I2J3,0,,,,,,sin semilla,
65151,pfal,nula,Q76NL8,0,,,,,,sin semilla,
66298,pfal,nula,Q8I719,0,,,,,,sin semilla,
73214,pfal,no informativa,Q8I2J3,5,0.0,2755.5,0.5014558689717925,184881.5,2755.5,indirecta,5495.0
74751,pfal,nula,Q8IEE9,0,,,,,,sin semilla,
91040,pfal,nula,Q8IHM0,0,,,,,,sin semilla,
91135,pfal,nula,Q8IKT2,0,,,,,,sin semilla,
91452,pfal,nula,Q8IEE9,0,,,,,,sin semilla,
91611,pfal,no informativa,Q8IBS5,3,0.0,2750.0,0.5004549590536852,186316.0,2750.0,indirecta,5495.0
91648,pfal,nula,Q8IIS0,0,,,,,,sin semilla,
91754,pfal,nula,Q8IJ74,0,,,,,,sin semilla,
92306,pfal,no informativa,Q8IEE9,377,0.0,2875.5,0.5232939035486807,197332.5,2875.5,indirecta,5495.0
92470,pfal,no informativa,Q8IEL9,357,0.0,2860.0,0.5204731574158326,196085.5,2860.0,indirecta,5495.0
92592,pfal,no informativa,C6KSV3,9,0.0,2798.5,0.5092811646951775,188930.0,2798.5,indirecta,5495.0
93931,pfal,nula,Q8I1Y2,0,,,,,,sin semilla,
95084,pfal,nula,Q8IL11,0,,,,,,sin semilla,
95681,pfal,nula,Q8I1Y2,0,,,,,,sin semilla,
100210,pfal,nula,Q8II73,0,,,,,,sin semilla,
100336,pfal,nula,Q8IEE9,0,,,,,,sin semilla,
114033,pfal,nula,Q7K6A1,0,,,,,,sin semilla,
114379,pfal,nula,Q7K6A1,0,,,,,,sin semilla,
115813,pfal,nula,Q8IL11,0,,,,,,sin semilla,
115904,pfal,no informativa,Q8I2J3,12,0.0,2754.0,0.5011828935395815,184662.5,2754.0,indirecta,5495.0
