drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
39285,sao,no informativa,Q2G1A5,156,0.0,1121.5,0.5128029263831733,188311.5,1121.5,indirecta,2187.0
83211,sao,no informativa,O52582,4,0.0,1097.5,0.5018289894833105,184441.0,1097.5,indirecta,2187.0
91805,sao,nula,P69848,0,,,,,,sin semilla,
92135,sao,informativa,Q2FZK7,17,0.23536635129696096,5.0,0.002286236854138089,45.5,5.0,indirecta,2187.0
151084,sao,nula,Q2G036,0,,,,,,sin semilla,
244355,sao,no informativa,Q2FWH3,2,0.0,1097.0,0.5016003657978967,184680.0,1097.0,indirecta,2187.0
398886,sao,no informativa,Q2G1L5,21,0.0,1143.0,0.522633744855967,190596.0,1143.0,indirecta,2187.0
463263,sao,nula,Q2G1L5,0,,,,,,sin semilla,
523102,sao,nula,Q2FZP6,0,,,,,,sin semilla,
543680,sao,nula,Q2G036,0,,,,,,sin semilla,
795139,sao,no informativa,Q2G1C0,3,0.0,1098.0,0.5020576131687243,184741.0,1098.0,indirecta,2187.0
828178,sao,nula,Q2G036,0,,,,,,sin semilla,
857690,sao,informativa,O06446,9,0.0006693694871521648,33.5,0.015317786922725195,5066.5,33.5,indirecta,2187.0
1350729,sao,nula,O06446,0,,,,,,sin semilla,
1357778,sao,no informativa,Q2G0N1,15,0.0,1102.0,0.5038866026520348,188505.0,1102.0,indirecta,2187.0
1399132,sao,nula,Q2G0N1,0,,,,,,sin semilla,
1594529,sao,no informativa,Q2FXG9,4,0.0,1101.0,0.5034293552812071,186862.5,1101.0,indirecta,2187.0
1620550,sao,no informativa,P69848,6,0.0,1103.5,0.5045724737082762,184620.5,1103.5,indirecta,2187.0
1769803,sao,nula,Q2G036,0,,,,,,sin semilla,
2375232,sao,nula,Q2FZ94,0,,,,,,sin semilla,
2375244,sao,nula,Q2FZ94,0,,,,,,sin semilla,
2375785,sao,nula,Q2G029,0,,,,,,sin semilla,
2377021,sao,nula,O33599,0,,,,,,sin semilla,
2377331,sao,nula,Q2G036,0,,,,,,sin semilla,
2377812,sao,nula,Q2FZ94,0,,,,,,sin semilla,
2379857,sao,nula,Q2G036,0,,,,,,sin semilla,
2379915,sao,nula,Q2G036,0,,,,,,sin semilla,
2382938,sao,nula,Q2G036,0,,,,,,sin semilla,
2386245,sao,nula,Q2FXC2,0,,,,,,sin semilla,
2387404,sao,nula,Q2FV99,0,,,,,,sin semilla,
2390268,sao,nula,Q2G036,0,,,,,,sin semilla,
2391256,sao,nula,Q2FV22,0,,,,,,sin semilla,
2391524,sao,no informativa,P69848,24,0.0,1122.5,0.5132601737540009,187241.0,1122.5,indirecta,2187.0
2393550,sao,nula,P69848,0,,,,,,sin semilla,
2395350,sao,nula,Q2G036,0,,,,,,sin semilla,
2396033,sao,nula,Q2FXC2,0,,,,,,sin semilla,
2396111,sao,nula,Q2G036,0,,,,,,sin semilla,
2396887,sao,nula,Q2G0N1,0,,,,,,sin semilla,
