drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
1668,scer,nula,P32357,0,,,,,,sin semilla,
1806,scer,no informativa,P87108,9,0.0,3078.5,0.505251928442475,185862.0,3078.5,indirecta,6093.0
8512,scer,informativa,P32449,61,3.5,4.0,0.0006564910553093714,60.5,4.0,indirecta,6093.0
24641,scer,nula,Q00955,0,,,,,,sin semilla,
25865,scer,nula,P00044,0,,,,,,sin semilla,
25867,scer,no informativa,P00044,3,0.0,3047.0,0.5000820613819137,186145.5,3047.0,indirecta,6093.0
29451,scer,nula,P30822,0,,,,,,sin semilla,
32843,scer,no informativa,P53051,11,0.0,3103.5,0.5093549975381585,187567.0,3103.5,indirecta,6093.0
37327,scer,nula,P00044,0,,,,,,sin semilla,
39954,scer,nula,P07170,0,,,,,,sin semilla,
41774,scer,nula,P00431,0,,,,,,sin semilla,
41984,scer,nula,P00175,0,,,,,,sin semilla,
42177,scer,nula,P03069,0,,,,,,sin semilla,
42283,scer,nula,P07236,0,,,,,,sin semilla,
42286,scer,nula,P07236,0,,,,,,sin semilla,
49941,scer,nula,P32361,0,,,,,,sin semilla,
72864,scer,nula,P05453,0,,,,,,sin semilla,
72997,scer,nula,P32897,0,,,,,,sin semilla,
73082,scer,no informativa,P43616,3,0.0,3049.5,0.500492368291482,184397.5,3049.5,indirecta,6093.0
73132,scer,nula,P87108,0,,,,,,sin semilla,
73306,scer,nula,P35202,0,,,,,,sin semilla,
73413,scer,nula,P87108,0,,,,,,sin semilla,
77622,scer,nula,P05373,0,,,,,,sin semilla,
79033,scer,nula,Q99312,0,,,,,,sin semilla,
82850,scer,nula,P05453,0,,,,,,sin semilla,
90911,scer,nula,P07342,0,,,,,,sin semilla,
90917,scer,nula,P07342,0,,,,,,sin semilla,
90937,scer,nula,P00431,0,,,,,,sin semilla,
90940,scer,no informativa,P00431,6,0.0,3049.5,0.500492368291482,184841.5,3049.5,indirecta,6093.0
91020,scer,nula,P14743,0,,,,,,sin semilla,
91040,scer,nula,P47075,0,,,,,,sin semilla,
91194,scer,nula,P53686,0,,,,,,sin semilla,
91220,scer,no informativa,P30656,2,0.0,3047.0,0.5000820613819137,184343.0,3047.0,indirecta,6093.0
91279,scer,nula,P32361,0,,,,,,sin semilla,
91306,scer,nula,P22515,0,,,,,,sin semilla,
91340,scer,nula,P00950,0,,,,,,sin semilla,
91411,scer,nula,P07834,0,,,,,,sin semilla,
91455,scer,nula,P06786,0,,,,,,sin semilla,
91469,scer,nula,P07342,0,,,,,,sin semilla,
91600,scer,nula,P00431,0,,,,,,sin semilla,
91603,scer,no informativa,Q12178,2,0.0,3047.0,0.5000820613819137,187109.5,3047.0,indirecta,6093.0
91604,scer,nula,P33317,0,,,,,,sin semilla,
91621,scer,no informativa,P23254,21,0.0,3099.0,0.5086164451009355,190148.0,3099.0,indirecta,6093.0
91812,scer,nula,Q00955,0,,,,,,sin semilla,
92120,scer,nula,P32324,0,,,,,,sin semilla,
92327,scer,nula,P50264,0,,,,,,sin semilla,
92386,scer,nula,P00431,0,,,,,,sin semilla,
92389,scer,nula,P07342,0,,,,,,sin semilla,
92455,scer,nula,Q00955,0,,,,,,sin semilla,
92543,scer,nula,P00572,0,,,,,,sin semilla,
94736,scer,informativa,Q99321,3,1.3340743729122284,1.0,0.00016412276382734285,19.5,1.0,directa,6093.0
100211,scer,nula,P50264,0,,,,,,sin semilla,
115959,scer,no informativa,P87108,7,0.0,3116.5,0.511488593467914,188163.0,3116.5,indirecta,6093.0
116379,scer,nula,Q03530,0,,,,,,sin semilla,
117321,scer,nula,P87108,0,,,,,,sin semilla,
118121,scer,nula,P25376,0,,,,,,sin semilla,
118632,scer,no informativa,P87108,18,0.0,3053.0,0.5010667979648777,184556.5,3053.0,indirecta,6093.0
118905,scer,nula,P87108,0,,,,,,sin semilla,
119090,scer,nula,P87108,0,,,,,,sin semilla,
119813,scer,nula,Q03530,0,,,,,,sin semilla,
120033,scer,nula,P87108,0,,,,,,sin semilla,
120070,scer,nula,P87108,0,,,,,,sin semilla,
120630,scer,nula,P32897,0,,,,,,sin semilla,
121635,scer,nula,P32897,0,,,,,,sin semilla,
121757,scer,nula,Q03530,0,,,,,,sin semilla,
121791,scer,nula,P87108,0,,,,,,sin semilla,
121796,scer,nula,Q03530,0,,,,,,sin semilla,
121896,scer,nula,P87108,0,,,,,,sin semilla,
121901,scer,nula,P32897,0,,,,,,sin semilla,
123052,scer,nula,Q03530,0,,,,,,sin semilla,
124441,scer,nula,P87108,0,,,,,,sin semilla,
124681,scer,nula,P87108,0,,,,,,sin semilla,
124824,scer,nula,P87108,0,,,,,,sin semilla,
126024,scer,nula,P32897,0,,,,,,sin semilla,
126471,scer,nula,P32897,0,,,,,,sin semilla,
126730,scer,nula,P50264,0,,,,,,sin semilla,
128544,scer,nula,P87108,0,,,,,,sin semilla,
129680,scer,nula,P87108,0,,,,,,sin semilla,
129913,scer,nula,P87108,0,,,,,,sin semilla,
130127,scer,nula,P87108,0,,,,,,sin semilla,
132667,scer,nula,P32897,0,,,,,,sin semilla,
133118,scer,nula,P32897,0,,,,,,sin semilla,
135390,scer,nula,P41948,0,,,,,,sin semilla,
135578,scer,nula,P08679,0,,,,,,sin semilla,
136252,scer,nula,P87108,0,,,,,,sin semilla,
139073,scer,nula,P87108,0,,,,,,sin semilla,
139794,scer,nula,P47154,0,,,,,,sin semilla,
140181,scer,nula,P87108,0,,,,,,sin semilla,
140466,scer,nula,P32897,0,,,,,,sin semilla,
140715,scer,nula,P87108,0,,,,,,sin semilla,
141256,scer,nula,P87108,0,,,,,,sin semilla,
