drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
5805,tbrt,nula,Q385E8,0,,,,,,sin semilla,
49941,tbrt,nula,Q38C41,0,,,,,,sin semilla,
70051,tbrt,nula,Q38C91,0,,,,,,sin semilla,
73665,tbrt,nula,Q57U83,0,,,,,,sin semilla,
79033,tbrt,nula,Q38CA1,0,,,,,,sin semilla,
83211,tbrt,no informativa,Q386P1,4,0.0,4318.0,0.5001737518823121,184441.0,4318.0,indirecta,8633.0
91271,tbrt,nula,Q57ZF2,0,,,,,,sin semilla,
91295,tbrt,nula,Q581W1,0,,,,,,sin semilla,
91648,tbrt,nula,Q389T8,0,,,,,,sin semilla,
92317,tbrt,nula,Q38BV6,0,,,,,,sin semilla,
92625,tbrt,no informativa,Q57ZL6,2,0.0,4320.0,0.5004054210587281,184454.0,4320.0,indirecta,8633.0
92660,tbrt,nula,Q385E8,0,,,,,,sin semilla,
99894,tbrt,nula,Q57ZL6,0,,,,,,sin semilla,
119275,tbrt,nula,Q381H3,0,,,,,,sin semilla,
127013,tbrt,nula,Q38C41,0,,,,,,sin semilla,
147928,tbrt,nula,Q389T8,0,,,,,,sin semilla,
152179,tbrt,nula,Q38C91,0,,,,,,sin semilla,
154589,tbrt,nula,Q38C41,0,,,,,,sin semilla,
156848,tbrt,nula,Q38C41,0,,,,,,sin semilla,
203227,tbrt,nula,Q389T8,0,,,,,,sin semilla,
203712,tbrt,nula,Q38C41,0,,,,,,sin semilla,
215696,tbrt,nula,Q385E8,0,,,,,,sin semilla,
225101,tbrt,nula,Q38C41,0,,,,,,sin semilla,
365428,tbrt,no informativa,Q57UN0,10,0.0,4332.5,0.5018533534113286,188028.0,4332.5,indirecta,8633.0
378750,tbrt,no informativa,Q385V6,2,0.0,4330.5,0.5016216842349125,185264.5,4330.5,indirecta,8633.0
420978,tbrt,nula,Q57V32,0,,,,,,sin semilla,
428938,tbrt,nula,Q38C91,0,,,,,,sin semilla,
438567,tbrt,nula,Q38C91,0,,,,,,sin semilla,
451076,tbrt,nula,Q581W1,0,,,,,,sin semilla,
463263,tbrt,nula,Q387G0,0,,,,,,sin semilla,
466511,tbrt,nula,Q38C41,0,,,,,,sin semilla,
466613,tbrt,no informativa,Q38C41,2,0.0,4320.0,0.5004054210587281,186430.5,4320.0,indirecta,8633.0
467575,tbrt,nula,Q38C41,0,,,,,,sin semilla,
467910,tbrt,no informativa,Q38C41,3,0.0,4324.0,0.5008687594115603,185041.5,4324.0,indirecta,8633.0
468985,tbrt,nula,Q38C41,0,,,,,,sin semilla,
469675,tbrt,nula,Q38C41,0,,,,,,sin semilla,
469681,tbrt,nula,Q38C41,0,,,,,,sin semilla,
469914,tbrt,nula,Q38C41,0,,,,,,sin semilla,
