drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
5805,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
39778,tcr,nula,Q4CQE2,0,,,,,,sin semilla,
70051,tcr,nula,Q4DA54,0,,,,,,sin semilla,
73665,tcr,nula,Q4D3W2,0,,,,,,sin semilla,
90005,tcr,nula,Q4DA54,0,,,,,,sin semilla,
91040,tcr,nula,Q4E2I1,0,,,,,,sin semilla,
91680,tcr,informativa,Q4E1W2,358,0.002745098039215686,103.5,0.005379138298425238,5510.0,103.5,indirecta,19241.0
91725,tcr,nula,Q4D3W2,0,,,,,,sin semilla,
91794,tcr,nula,Q4CPV7,0,,,,,,sin semilla,
91805,tcr,nula,Q4DW24,0,,,,,,sin semilla,
92244,tcr,nula,Q4CST7,0,,,,,,sin semilla,
92470,tcr,no informativa,Q4DA73,357,0.0,10177.5,0.5289485993451484,203388.5,10177.5,indirecta,19241.0
92490,tcr,nula,Q4DA80,0,,,,,,sin semilla,
92659,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
99805,tcr,no informativa,Q4DJ07,26,0.0,9631.5,0.5005716958578037,185328.5,9631.5,indirecta,19241.0
119275,tcr,nula,Q4E1W2,0,,,,,,sin semilla,
180268,tcr,nula,Q4DA54,0,,,,,,sin semilla,
183894,tcr,nula,Q4DA54,0,,,,,,sin semilla,
204704,tcr,nula,Q4DA54,0,,,,,,sin semilla,
302299,tcr,nula,Q4DA73,0,,,,,,sin semilla,
553477,tcr,nula,Q4DA54,0,,,,,,sin semilla,
739217,tcr,nula,Q4DLS1,0,,,,,,sin semilla,
770531,tcr,nula,Q4DA54,0,,,,,,sin semilla,
838492,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
847427,tcr,nula,Q4CWB4,0,,,,,,sin semilla,
847449,tcr,nula,Q4CWB4,0,,,,,,sin semilla,
875821,tcr,no informativa,Q7Z1V1,9,0.0,9800.5,0.5093550231276961,190896.0,9800.5,indirecta,19241.0
917274,tcr,nula,Q4DA73,0,,,,,,sin semilla,
924218,tcr,no informativa,Q4E0B2,42,0.0,9648.5,0.5014552258198638,186370.0,9648.5,indirecta,19241.0
924754,tcr,nula,Q4CWB4,0,,,,,,sin semilla,
924970,tcr,nula,Q4CWB4,0,,,,,,sin semilla,
930483,tcr,nula,Q4E2I1,0,,,,,,sin semilla,
939471,tcr,no informativa,Q4D3W3,6,0.0,9625.5,0.5002598617535471,186286.0,9625.5,indirecta,19241.0
983826,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
983992,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1062068,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1062069,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1087694,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1090972,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1090987,tcr,no informativa,Q7Z1V1,2,0.0,9707.5,0.5045215945117197,186161.0,9707.5,indirecta,19241.0
1101694,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1101695,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1112816,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1112817,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1112824,tcr,nula,Q7Z1V1,0,,,,,,sin semilla,
1119681,tcr,nula,Q4DA51,0,,,,,,sin semilla,
1145161,tcr,nula,Q4DJ68,0,,,,,,sin semilla,
1320389,tcr,nula,Q4D3W3,0,,,,,,sin semilla,
1371781,tcr,nula,Q4DA73,0,,,,,,sin semilla,
1372737,tcr,nula,Q4DA73,0,,,,,,sin semilla,
1382499,tcr,nula,Q4DA73,0,,,,,,sin semilla,
1383150,tcr,nula,Q4DSV5,0,,,,,,sin semilla,
