clase,especie,n,rG_mediana,rSS_mediana
directa,atha,22,9.5,2.0
directa,cele,4,264.25,25.75
directa,ddis,2,170.0,15.0
directa,dmel,7,20.0,3.5
directa,ecol,16,20.5,1.5
directa,hsap,26,41.0,3.5
directa,mmus,15,19.5,3.0
directa,mtub,13,16.0,1.0
directa,osat,1,444.0,24.0
directa,pfal,6,39.0,1.0
directa,scer,12,298.5,4.0
indirecta,atha,46,185364.5,10881.25
indirecta,calb,32,185153.25,3033.5
indirecta,cele,111,186013.5,13841.0
indirecta,ddis,13,185568.0,6567.5
indirecta,dmel,31,184983.5,5380.5
indirecta,ecol,130,185185.5,2273.75
indirecta,hsap,133,185682.5,8218.0
indirecta,lmaj,17,184899.5,3288.5
indirecta,mmus,167,185481.5,9161.0
indirecta,mtub,89,185679.0,2046.5
indirecta,osat,13,184658.5,11016.5
indirecta,pfal,176,186127.0,2761.5
indirecta,sao,11,184741.0,1101.0
indirecta,scer,172,185543.75,3062.0
indirecta,tbrt,31,184899.5,4322.5
indirecta,tcr,16,186785.5,9680.0
