ann,db,grado,tramo
IP14879,ip,9576,>1000
IP15396,ip,3772,>1000
IP13370,ip,3696,>1000
IP395,ip,3605,>1000
IP21642,ip,3231,>1000
IP23052,ip,2884,>1000
IP24970,ip,2373,>1000
IP28419,ip,2344,>1000
IP13191,ip,2317,>1000
IP30364,ip,2281,>1000
IP14109,ip,2223,>1000
IP12262,ip,1936,>1000
IP28599,ip,1908,>1000
IP35461,ip,1703,>1000
IP12559,ip,1579,>1000
IP9835,ip,1555,>1000
IP28755,ip,1535,>1000
IP24517,ip,1495,>1000
IP36821,ip,1480,>1000
IP14996,ip,1417,>1000
IP25283,ip,1371,>1000
IP19580,ip,1312,>1000
IP561,ip,1291,>1000
IP12073,ip,1255,>1000
IP10632,ip,1239,>1000
IP15052,ip,1230,>1000
IP33389,ip,1220,>1000
IP22695,ip,1171,>1000
IP15224,ip,1128,>1000
IP4882,ip,1124,>1000
OG40926,omcl,1121,>1000
IP758,ip,1120,>1000
OG52697,omcl,1116,>1000
IP19890,ip,1106,>1000
IP127,ip,1094,>1000
OG25590,omcl,1038,>1000
IP29893,ip,995,101-1000
IP19058,ip,982,101-1000
IP27689,ip,979,101-1000
IP1489,ip,976,101-1000
IP35108,ip,933,101-1000
IP28994,ip,928,101-1000
IP12445,ip,918,101-1000
IP16640,ip,856,101-1000
IP23217,ip,850,101-1000
IP10225,ip,840,101-1000
IP11262,ip,800,101-1000
OG38745,omcl,777,101-1000
OG67297,omcl,777,101-1000
IP22498,ip,772,101-1000
IP29179,ip,758,101-1000
IP4446,ip,752,101-1000
IP23401,ip,750,101-1000
IP14455,ip,748,101-1000
IP27107,ip,744,101-1000
OG71876,omcl,739,101-1000
OG20247,omcl,734,101-1000
IP25186,ip,732,101-1000
OG26690,omcl,726,101-1000
IP25434,ip,719,101-1000
IP1411,ip,710,101-1000
IP588,ip,709,101-1000
IP24546,ip,706,101-1000
OG38402,omcl,696,101-1000
IP31659,ip,676,101-1000
IP14909,ip,666,101-1000
IP12656,ip,658,101-1000
IP13288,ip,650,101-1000
IP24369,ip,645,101-1000
OG51585,omcl,640,101-1000
IP5258,ip,631,101-1000
IP129,ip,631,101-1000
IP27785,ip,629,101-1000
OG31534,omcl,629,101-1000
IP31173,ip,623,101-1000
IP5302,ip,622,101-1000
IP23691,ip,617,101-1000
OG6425,omcl,617,101-1000
OG51035,omcl,614,101-1000
IP6726,ip,607,101-1000
IP21292,ip,607,101-1000
IP5614,ip,606,101-1000
IP26535,ip,604,101-1000
IP3598,ip,601,101-1000
IP18910,ip,592,101-1000
IP24487,ip,583,101-1000
IP9044,ip,580,101-1000
IP128,ip,575,101-1000
OG65111,omcl,570,101-1000
IP6436,ip,569,101-1000
IP6488,ip,567,101-1000
IP15235,ip,567,101-1000
IP36344,ip,567,101-1000
IP2825,ip,553,101-1000
IP21098,ip,548,101-1000
IP21515,ip,547,101-1000
OG61036,omcl,540,101-1000
IP2378,ip,538,101-1000
IP14439,ip,533,101-1000
IP11847,ip,533,101-1000
IP5417,ip,525,101-1000
IP7023,ip,523,101-1000
OG68659,omcl,519,101-1000
IP19907,ip,515,101-1000
IP6447,ip,513,101-1000
IP28014,ip,513,101-1000
IP14930,ip,512,101-1000
IP32183,ip,510,101-1000
OG17763,omcl,508,101-1000
IP21202,ip,508,101-1000
IP15735,ip,507,101-1000
IP16919,ip,507,101-1000
IP9446,ip,506,101-1000
IP19676,ip,505,101-1000
IP19258,ip,502,101-1000
IP28486,ip,499,101-1000
IP34962,ip,495,101-1000
IP22229,ip,487,101-1000
OG18940,omcl,483,101-1000
IP28062,ip,474,101-1000
IP35967,ip,471,101-1000
IP6349,ip,464,101-1000
OG5756,omcl,464,101-1000
IP26051,ip,457,101-1000
IP16982,ip,456,101-1000
OG55737,omcl,454,101-1000
IP28647,ip,453,101-1000
IP34443,ip,452,101-1000
IP17564,ip,451,101-1000
IP13880,ip,448,101-1000
IP21631,ip,448,101-1000
IP26191,ip,445,101-1000
OG67186,omcl,445,101-1000
IP26556,ip,444,101-1000
IP13784,ip,442,101-1000
IP43,ip,442,101-1000
IP35055,ip,436,101-1000
IP23320,ip,434,101-1000
IP16803,ip,434,101-1000
IP18239,ip,431,101-1000
IP11422,ip,431,101-1000
IP30095,ip,426,101-1000
IP29139,ip,425,101-1000
IP31741,ip,424,101-1000
IP23918,ip,423,101-1000
IP14271,ip,420,101-1000
IP29416,ip,417,101-1000
IP30618,ip,416,101-1000
IP12569,ip,416,101-1000
