componente,total_clusters,clusters_con_bioact
0,137050,2818
1,42,4
2,29,2
3,21,1
4,56,1
5,19,4
6,32,2
7,18,1
8,2485,27
9,384,2
10,156,1
11,478,1
12,43,1
13,17,1
14,58,4
15,26,1
16,10,1
17,6,1
18,187,28
19,168,1
20,265,5
21,181,15
22,879,64
23,100,6
24,54,2
25,71,1
26,504,4
27,2,1
28,33,1
29,111,5
30,10,2
31,608,1
32,191,1
33,352,1
34,2271,114
35,56,5
36,1205,7
37,3,1
38,165,4
39,5,1
40,1105,70
41,133,14
42,241,6
43,367,7
44,2740,332
45,3327,297
46,28,1
47,23,1
48,9,1
49,338,9
50,463,8
51,287,5
52,374,1
53,1128,147
54,118,3
55,192,7
56,68,1
57,81,23
58,1720,10
59,6,1
60,155,2
61,49,1
62,137,13
63,73,1
64,1432,145
65,2,1
66,34,4
67,239,1
68,262,6
69,78,1
70,2607,244
71,113,1
72,136,1
73,890,68
74,72,2
75,20213,1970
76,214,1
77,6666,300
78,120,9
79,14,1
80,64,4
81,50,1
82,50,1
83,20,1
84,1079,88
85,660,50
86,336,14
87,22,1
88,69,1
89,146,2
90,7,1
91,10,3
92,54,3
93,437,2
94,3567,196
95,63,12
96,921,93
97,107,3
98,2054,179
99,250,10
100,381,61
101,123,17
102,179,2
103,123,1
104,6,1
105,786,66
106,536,4
107,6,2
108,656,142
109,5,3
110,121,15
111,1645,353
112,1644,264
113,711,1
114,10,1
115,18,4
116,1355,33
117,72,3
118,15,1
119,64,3
120,322,11
121,2,1
122,19,1
123,124,7
124,483,21
125,151,7
126,457,38
127,8,2
128,454,24
129,116,1
130,107,4
131,2,1
132,20,2
133,2,1
134,90,16
135,77,1
136,265,6
137,591,30
138,508,20
139,90,1
140,688,20
141,172,14
142,423,3
143,10,1
144,2,1
145,157,10
146,167,9
147,121,12
148,740,76
149,18,1
150,117,24
151,46,4
152,57,1
153,354,9
154,463,26
155,322,16
156,167,1
157,847,11
158,351,12
159,84,2
160,32,2
161,3,1
162,190,1
163,183,2
164,4,1
165,53,1
166,165,4
167,171,3
168,38,1
169,20,2
170,70,1
171,3377,360
172,14,1
173,146,2
174,52,2
175,387,46
176,36,6
177,238,4
178,62,3
179,337,14
180,2,1
181,6,1
182,48,1
183,562,16
184,41,1
185,7,2
186,349,2
187,179,1
188,680,2
189,62,9
190,53,5
191,273,1
192,14,1
193,5,1
194,37,2
195,27,1
196,13,1
197,6,1
198,32,1
199,182,4
200,297,3
201,111,1
202,102,2
203,10,6
204,83,1
205,64,3
206,211,2
207,9,1
208,25,1
209,59,1
210,53,1
211,563,31
212,9,2
213,39,1
214,76,1
215,120,9
216,709,63
217,29,3
218,120,1
219,984,2
220,12,2
221,68,4
222,12,6
223,58,3
224,47,2
225,155,19
226,33,12
227,3,1
228,103,1
229,11,3
230,2,1
231,281,43
232,369,19
233,167,2
234,13,1
235,19,3
236,6,1
237,8,1
238,244,2
239,10,2
240,81,1
241,390,6
242,20,1
243,87,1
244,433,16
245,48,9
246,103,1
247,129,13
248,210,4
249,156,2
250,26,1
251,2,1
252,3,1
253,405,7
254,1051,72
255,52,1
256,17,4
