params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
1 3 2 1,0.6833606229907947,0.8282367585788163,0.5670592405193076,21714,0.0,1.0,0.5,0.8
1 3 4 1,0.682530371160768,0.8254176527310373,0.5617400380998254,21714,0.0,1.0,,0.8
1 3 3 1,0.6824233297536653,0.8309178764442271,0.5767125389509622,21714,0.0,1.0,1.0,0.8
1 3 4 2,0.6819875377654614,0.8247766965081984,0.5628644718872495,21714,0.0,1.0,,1.0
1 3 4 3,0.6819163811048874,0.8243746970972631,0.5620740846480765,21714,0.0,1.0,,1.2
1 3 1 1,0.6814331186107841,0.8232058005572075,0.5623322545015994,21714,0.0,1.0,0.0,0.8
2 3 2 1,0.6812149233168745,0.8246108700628713,0.5700738684235083,21714,0.3,1.0,0.5,0.8
2 3 3 1,0.6803573352670876,0.8264361953084132,0.5740290011652536,21714,0.3,1.0,1.0,0.8
2 3 4 1,0.6798060584020096,0.8228299663000024,0.5668766472153597,21714,0.3,1.0,,0.8
2 3 4 3,0.6797880138899981,0.8221910585678339,0.5650729549317346,21714,0.3,1.0,,1.2
2 3 4 2,0.6796991531799034,0.8224476676665603,0.5641277378152849,21714,0.3,1.0,,1.0
4 4 3 1,0.6794269874647703,0.8223163166438919,0.5639972947317053,21714,0.9,1.5,1.0,0.8
2 3 1 1,0.6793718446465963,0.8214775272469519,0.5603113171560898,21714,0.3,1.0,0.0,0.8
3 4 3 1,0.6788701270148434,0.8218476324835454,0.5664426973528669,21714,0.6,1.5,1.0,0.8
5 4 3 1,0.678843911403053,0.8224387608591391,0.5617185477068565,21714,1.2,1.5,1.0,0.8
3 3 2 1,0.6783820399880549,0.8241461178040311,0.5663089376653443,21714,0.6,1.0,0.5,0.8
4 4 2 1,0.6783025079502077,0.8207549728124017,0.5563645134423458,21714,0.9,1.5,0.5,0.8
5 4 2 1,0.6781878401833116,0.8210475505559243,0.5595536457386157,21714,1.2,1.5,0.5,0.8
3 3 3 1,0.6779435242999248,0.8257872139545407,0.5678110591062944,21714,0.6,1.0,1.0,0.8
