especie,auc01_v4,auc01_v5,delta,params_v4,params_v5,coincide_params
0,0.5808250385896628,0.5808250385896628,0.0,"(1.2, 1.0, None, 0.8)","(1.2, 1.0, None, 0.8)",True
1,0.5879583109601169,0.5879583109601169,0.0,"(1.2, 1.0, 1.0, 0.8)","(1.2, 1.0, 1.0, 0.8)",True
3,0.5942165658871689,0.5942165658871689,0.0,"(0.0, 0.5, 1.0, 0.8)","(0.0, 0.5, 1.0, 0.8)",True
4,0.8493870852798066,0.8493870852798066,0.0,"(0.0, 1.0, 1.0, 0.8)","(0.0, 1.0, 1.0, 0.8)",True
5,0.5911847520034654,0.5911847520034654,0.0,"(0.3, 0.5, 0.5, 0.8)","(0.3, 0.5, 0.5, 0.8)",True
9,0.6636854421950156,0.6636854421950156,0.0,"(0.3, 1.5, 1.0, 0.8)","(0.3, 1.5, 1.0, 0.8)",True
10,0.5812737585186122,0.5812737585186122,0.0,"(0.9, 0.0, 0.0, 0.8)","(0.9, 0.0, 0.0, 0.8)",True
15,0.788785087267463,0.788785087267463,0.0,"(0.3, 1.5, None, 0.8)","(0.3, 1.5, None, 0.8)",True
17,0.6140486062844976,0.6140486062844976,0.0,"(0.0, 1.0, 1.0, 0.8)","(0.0, 1.0, 1.0, 0.8)",True
18,0.610903770701567,0.610903770701567,0.0,"(0.3, 1.0, None, 0.8)","(0.3, 1.0, None, 0.8)",True
21,0.6833606229907947,0.6833606229907947,0.0,"(0.0, 1.0, 0.5, 0.8)","(0.0, 1.0, 0.5, 0.8)",True
22,0.6520767992769678,0.6520767992769678,0.0,"(0.0, 1.0, 1.0, 0.8)","(0.0, 1.0, 1.0, 0.8)",True
23,0.742939764470865,0.742939764470865,0.0,"(0.0, 1.5, 0.5, 0.8)","(0.0, 1.5, 0.5, 0.8)",True
25,0.645299134918323,0.645299134918323,0.0,"(1.2, 1.0, 0.5, 0.8)","(1.2, 1.0, 0.5, 0.8)",True
26,0.736462501282446,0.736462501282446,0.0,"(1.2, 1.0, 1.0, 0.8)","(1.2, 1.0, 1.0, 0.8)",True
28,0.6443366587609078,0.6443366587609078,0.0,"(1.2, 1.0, 0.5, 0.8)","(1.2, 1.0, 0.5, 0.8)",True
