params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma,especie
5 3 4 1,0.5808250385896628,0.865911759595015,0.6564811868967579,4073,1.2,1.0,,0.8,0
5 3 3 1,0.5879583109601169,0.8204879856596636,0.5650286481577864,4533,1.2,1.0,1.0,0.8,1
1 2 3 1,0.5942165658871689,0.7693646443237836,0.4808745188832208,16301,0.0,0.5,1.0,0.8,3
1 3 3 1,0.8493870852798066,0.8827843649163181,0.7208917815089073,19241,0.0,1.0,1.0,0.8,4
2 2 2 1,0.5911847520034654,0.878259012701494,0.7147939785226376,2187,0.3,0.5,0.5,0.8,5
2 4 3 1,0.6636854421950156,0.78079924918259,0.5528776343823365,27425,0.3,1.5,1.0,0.8,9
4 1 1 1,0.5812737585186122,0.7434337362067406,0.4447940129711989,6093,0.9,0.0,0.0,0.8,10
2 4 4 1,0.788785087267463,0.8443647341414038,0.641619674685638,8633,0.3,1.5,,0.8,15
1 3 3 1,0.6140486062844976,0.8119963527905976,0.5704711103872309,10695,0.0,1.0,1.0,0.8,17
2 3 4 1,0.610903770701567,0.8175682206020424,0.5376328573753617,18185,0.3,1.0,,0.8,18
1 3 2 1,0.6833606229907947,0.8282367585788163,0.5670592405193076,21714,0.0,1.0,0.5,0.8,21
1 3 3 1,0.6520767992769678,0.8707082022444145,0.7586820773483063,13088,0.0,1.0,1.0,0.8,22
1 4 2 1,0.742939764470865,0.8587693611739823,0.6786532710229647,6564,0.0,1.5,0.5,0.8,23
5 3 2 1,0.645299134918323,0.8679286880848325,0.660908539239148,6040,1.2,1.0,0.5,0.8,25
5 3 3 1,0.736462501282446,0.8406624459077462,0.6236521455397526,5495,1.2,1.0,1.0,0.8,26
5 3 2 1,0.6443366587609078,0.8432903200003428,0.5803258995590586,22012,1.2,1.0,0.5,0.8,28
