especie,n_combos,auc01_max,auc01_min,caida_top5,caida_top10,caida_top20,n_dentro_0.001,n_dentro_0.005,n_dentro_0.01
4,120,0.8493870852798066,0.5504530025660762,0.0042818445786064335,0.008241160604538611,0.010854754048622975,2,5,16
15,120,0.788785087267463,0.5296078612106655,0.002434503269681072,0.004771626408574913,0.01144502948899489,3,10,13
23,120,0.742939764470865,0.5412739838577159,0.0022551581321218913,0.0030213336513685903,0.0155186683002106,2,12,17
26,120,0.736462501282446,0.5718528778085565,0.006498753186687789,0.013979633060752516,0.01900867893512397,2,4,8
21,120,0.6833606229907947,0.5163954342727084,0.0021134403085539795,0.005227999654356325,0.008285064655131097,1,8,35
9,120,0.6636854421950156,0.5518878452374388,0.008012518980105791,0.01116425392485528,0.015372241012816892,1,3,7
22,120,0.6520767992769678,0.5237678386759897,0.011165506613327852,0.01594375835178253,0.02140461748144526,2,2,4
25,120,0.645299134918323,0.5801036259361192,0.0014275459616231016,0.0028666744462614545,0.013551551927780733,2,13,18
28,120,0.6443366587609078,0.5083808439437492,0.0017911385693664336,0.002446552464219282,0.004579093196725494,1,21,29
17,120,0.6140486062844976,0.5561211496576404,0.008228115013531679,0.01075330195712207,0.015638889434515038,1,3,7
18,120,0.610903770701567,0.5260994408182889,0.0010457120419244499,0.0016374426084622361,0.0033907005070348707,4,24,44
3,120,0.5942165658871689,0.5721451458874308,0.010483231209072678,0.018193869835619474,0.021379897379878682,1,2,4
5,120,0.5911847520034654,0.514159627463721,0.0016791842217745154,0.007937961775660935,0.01602857666239223,3,8,11
1,120,0.5879583109601169,0.5261439781642343,0.003102691431298044,0.004656642360626605,0.007825762805384984,2,10,20
10,120,0.5812737585186122,0.5529411367716334,0.0006462105632051997,0.0010036887471062332,0.0015047692783859026,9,27,48
0,120,0.5808250385896628,0.5388612058459439,0.0014741347896498563,0.002578587801833158,0.009530212530283516,3,14,20
