especie,grupo,n,delta_q1,delta_mediana,delta_q3,delta_media
0,resto,4007,-0.4911591355599185,0.0,0.650785854616899,-0.02650077492090197
0,quinasa,66,-0.9823182711198406,1.7313359528487249,8.091846758349703,1.6089182592129543
1,resto,4427,-0.7171226831421009,0.0,0.022065313327445324,-0.06376860598856689
1,quinasa,106,-2.865732568402472,3.8614298323036174,9.333627537511033,2.6632416859564687
3,resto,15719,-5.79447852760736,0.0,6.095092024539878,-0.45928669809542344
3,quinasa,582,0.4340490797546003,13.674846625766872,26.558282208588956,12.404686610587566
4,resto,18717,0.0,0.0,0.0,-0.22656951772194622
4,quinasa,524,0.7341476091476085,10.76923076923077,15.493762993762994,8.092942105346687
5,resto,2127,-4.117108874656907,0.0,1.7840805123513284,-0.05680031624076079
5,quinasa,60,-5.0091491308325695,3.671088746569075,12.076852698993594,2.0135712107349804
9,resto,26534,0.0,0.0,0.0,-0.28908929585862353
9,quinasa,891,0.2260793465577572,9.721411901983664,17.360705950991832,8.609085719767362
10,resto,5885,-0.24622455679579858,0.0,0.0,-0.12740917932957752
10,quinasa,208,-2.142153644123441,2.396585686145766,11.884438608010505,3.6048222132430934
15,resto,8384,0.0,0.0,0.0,-0.25712274560661913
15,quinasa,249,0.0,13.102409638554217,17.122335495829475,8.657498390224474
17,resto,10297,-6.26987095567608,0.0,5.489059285580701,-0.42097924302053535
17,quinasa,398,0.0,10.431082850196372,26.285767720216946,10.89151574216698
18,resto,17561,-0.4729432468103827,0.0,1.42432908051034,-0.08330430790762822
18,quinasa,624,-3.7986691597008377,1.391333040035196,10.784205895292565,2.344402165329904
21,resto,20378,-6.659604845023718,0.0,2.6527886519596535,-1.2903843376849577
21,quinasa,1336,12.407313590936305,25.567632294017407,30.097176806521443,19.68222457585635
22,resto,12722,0.0,0.0,0.0,-0.2944934908722246
22,quinasa,366,-0.9799801329563693,16.15343470619699,19.905249484220985,10.23646500239465
23,resto,6317,0.0,0.0,0.0,-0.41009713069254305
23,quinasa,247,-0.1752247447813513,16.349230534816396,20.64604601554167,10.488192609655032
25,resto,5865,-0.13247226361981035,0.0,0.0,-0.07231624731939185
25,quinasa,175,-0.19870839542970753,1.639344262295083,7.666832256996191,2.4236273744470465
26,resto,5353,0.0,0.0,0.0,-0.03784506590447905
26,quinasa,142,0.0,0.3003276301419735,4.058973425555151,1.426652378779411
28,resto,20463,-0.36799781927218334,0.0,0.0,-0.11448552400551104
28,quinasa,1549,0.0,1.8990504747626176,2.185271000863203,1.5124062477241922
