params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma,especie
5 3 4 1,0.5808250385896628,0.865911759595015,0.6564811868967579,4073,1.2,1.0,,0.8,0
5 3 3 1,0.5879583109601169,0.8204879856596636,0.5650286481577864,4533,1.2,1.0,1.0,0.8,1
1 3 3 1,0.5860404208754227,0.7633821791493649,0.4787303735242103,16301,0.0,1.0,1.0,0.8,3
1 3 3 1,0.8493870852798066,0.8827843649163181,0.7208917815089073,19241,0.0,1.0,1.0,0.8,4
5 3 1 1,0.5667393148509133,0.90183779514437,0.761876460387374,2187,1.2,1.0,0.0,0.8,5
1 3 2 1,0.6577756307539064,0.794233013176139,0.5835524976590807,27425,0.0,1.0,0.5,0.8,9
2 3 2 1,0.570765131747668,0.7386090829494162,0.4487100398752006,6093,0.3,1.0,0.5,0.8,10
1 3 4 2,0.7712482310649396,0.8403110970259344,0.6426286984232408,8633,0.0,1.0,,1.0,15
1 3 3 1,0.6140486062844976,0.8119963527905976,0.5704711103872309,10695,0.0,1.0,1.0,0.8,17
2 3 4 1,0.610903770701567,0.8175682206020424,0.5376328573753617,18185,0.3,1.0,,0.8,18
1 3 2 1,0.6833606229907947,0.8282367585788163,0.5670592405193076,21714,0.0,1.0,0.5,0.8,21
1 3 3 1,0.6520767992769678,0.8707082022444145,0.7586820773483063,13088,0.0,1.0,1.0,0.8,22
1 3 4 1,0.7226867290663145,0.8580350342037608,0.6960562095973164,6564,0.0,1.0,,0.8,23
5 3 2 1,0.645299134918323,0.8679286880848325,0.660908539239148,6040,1.2,1.0,0.5,0.8,25
5 3 3 1,0.736462501282446,0.8406624459077462,0.6236521455397526,5495,1.2,1.0,1.0,0.8,26
5 3 2 1,0.6443366587609078,0.8432903200003428,0.5803258995590586,22012,1.2,1.0,0.5,0.8,28
