especie,n_targets,n_quinasas,n_druggable,pct_quinasas,auc01_b1,pct_quinasa_mediana_b1,quinasas_top100_b1,enriq_top100_b1,auc01_b0,pct_quinasa_mediana_b0,quinasas_top100_b0,enriq_top100_b0,delta_auc01,delta_pct_quinasa,delta_enriq_top
0,4073,66,204,1.6204272035354776,0.5808250385896628,23.170432220039295,2.0,1.2342424242424241,0.5452607999709794,21.316306483300586,0.0,0.0,0.03556423861868341,1.854125736738709,1.2342424242424241
1,4533,106,752,2.3384072358261636,0.5879583109601169,16.52691968225949,1.0,0.4276415094339623,0.5307658999897229,14.044571932921446,0.0,0.0,0.05719241097039396,2.482347749338043,0.4276415094339623
3,16301,582,1985,3.5703331083982577,0.5860404208754227,23.253067484662576,3.0,0.8402577319587629,0.5818376664609478,2.1134969325153374,97.0,27.168333333333333,0.00420275441447493,21.13957055214724,-26.32807560137457
4,19241,524,29,2.7233511771737438,0.8493870852798066,13.661642411642411,0.0,0.0,0.5739476574872102,1.3539501039501038,100.0,36.71946564885496,0.27543942779259634,12.307692307692307,-36.71946564885496
5,2187,60,27,2.7434842249657065,0.5667393148509133,21.797804208600184,2.0,0.729,0.5314417731571728,19.819304666056723,0.0,0.0,0.03529754169374055,1.9784995425434602,0.729
9,27425,891,63,3.2488605287146766,0.6577756307539064,16.593130105017504,0.0,0.0,0.5532831664962665,1.620843057176196,100.0,30.780022446689113,0.10449246425763992,14.97228704784131,-30.780022446689113
10,6093,208,533,3.4137534876087314,0.570765131747668,22.316152330925803,2.0,0.5858653846153846,0.5808981332757435,14.038903479973737,0.0,0.0,-0.010133001528075503,8.277248850952066,0.5858653846153846
15,8633,249,68,2.8842812463801693,0.7712482310649396,14.822752548656164,7.0,2.4269477911646584,0.530154581880683,1.355421686746988,100.0,34.670682730923694,0.24109364918425658,13.467330861909176,-32.24373493975904
17,10695,398,123,3.721365123889668,0.6140486062844976,26.884234149990647,1.0,0.26871859296482414,0.5597590198376444,1.8748831120254348,100.0,26.871859296482413,0.05428958644685322,25.00935103796521,-26.60314070351759
18,18185,624,402,3.4313995050866097,0.610903770701567,22.368565772107345,0.0,0.0,0.5676946203023011,18.895732512098547,0.0,0.0,0.04320915039926587,3.472833260008798,0.0
21,21714,1336,362,6.1527125356912595,0.6833606229907947,29.281996960346333,0.0,0.0,0.5173266318694028,3.0834062543176897,100.0,16.252994011976046,0.16603399112139194,26.198590706028643,-16.252994011976046
22,13088,366,19,2.7964547677261615,0.6520767992769678,19.14686329945748,3.0,1.0727868852459015,0.5521575341957634,1.40215481011691,100.0,35.759562841530055,0.09991926508120441,17.744708489340567,-34.68677595628415
23,6564,247,30,3.7629494210847043,0.7226867290663145,18.41383513637056,4.0,1.062995951417004,0.5426164891874621,1.6608258418406217,100.0,26.574898785425102,0.1800702398788524,16.75300929452994,-25.511902834008097
25,6040,175,47,2.8973509933774833,0.645299134918323,22.735552243748966,1.0,0.34514285714285714,0.6018385765102212,19.109124027156813,0.0,0.0,0.04346055840810181,3.626428216592153,0.34514285714285714
26,5495,142,95,2.5841674249317563,0.736462501282446,15.407717510010922,9.0,3.4827464788732394,0.6789012003693444,13.865125591554424,0.0,0.0,0.05756130091310152,1.5425919184564982,3.4827464788732394
28,22012,1549,38,7.0370706887152465,0.6443366587609078,38.90327563490982,0.0,0.0,0.585667473546551,39.17813820362546,0.0,0.0,0.05866918521435682,-0.2748625687156405,0.0
