drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
3990,25,nula,299120,0,,,,,,sin semilla,
35663,25,nula,299120,0,,,,,,sin semilla,
41901,25,nula,184809,0,,,,,,sin semilla,
51445,25,no informativa,38190,4,0.0,3025.0,0.5008278145695364,184441.0,3025.0,indirecta,6040.0
68740,25,nula,184809,0,,,,,,sin semilla,
71685,25,nula,331805,0,,,,,,sin semilla,
72799,25,no informativa,116122,513,0.0,3396.0,0.562251655629139,208660.5,3396.0,indirecta,6040.0
75801,25,nula,142989,0,,,,,,sin semilla,
80777,25,nula,299120,0,,,,,,sin semilla,
87563,25,no informativa,317030,49,0.0,3097.5,0.5128311258278145,190437.0,3097.5,indirecta,6040.0
95951,25,nula,324181,0,,,,,,sin semilla,
108295,25,nula,6043,0,,,,,,sin semilla,
113187,25,no informativa,324181,6,0.0,3023.5,0.5005794701986755,184787.0,3023.5,indirecta,6040.0
118107,25,nula,182546,0,,,,,,sin semilla,
136775,25,nula,331805,0,,,,,,sin semilla,
146370,25,no informativa,376557,6,0.0,3030.0,0.5016556291390728,186205.5,3030.0,indirecta,6040.0
146568,25,no informativa,31760,4,0.0,3033.0,0.5021523178807947,185649.0,3033.0,indirecta,6040.0
146677,25,no informativa,57231,5,0.0,3101.0,0.5134105960264901,190302.5,3101.0,indirecta,6040.0
153563,25,nula,113545,0,,,,,,sin semilla,
153824,25,nula,322054,0,,,,,,sin semilla,
158137,25,no informativa,322054,7,0.0,3058.5,0.5063741721854305,186724.5,3058.5,indirecta,6040.0
183334,25,nula,299120,0,,,,,,sin semilla,
186533,25,no informativa,169615,3,0.0,3022.0,0.5003311258278146,184762.5,3022.0,indirecta,6040.0
194746,25,nula,299120,0,,,,,,sin semilla,
210396,25,no informativa,363906,6,0.0,3033.5,0.5022350993377483,186318.0,3033.5,indirecta,6040.0
217198,25,nula,299120,0,,,,,,sin semilla,
219307,25,nula,229560,0,,,,,,sin semilla,
219944,25,no informativa,317030,2,0.0,3034.0,0.502317880794702,185007.0,3034.0,indirecta,6040.0
228511,25,nula,299120,0,,,,,,sin semilla,
249527,25,nula,64896,0,,,,,,sin semilla,
254476,25,no informativa,57398,2,0.0,3020.5,0.5000827814569536,186813.0,3020.5,indirecta,6040.0
273882,25,nula,38190,0,,,,,,sin semilla,
276542,25,nula,190225,0,,,,,,sin semilla,
308608,25,nula,55047,0,,,,,,sin semilla,
313215,25,nula,324181,0,,,,,,sin semilla,
329786,25,informativa,229560,5,0.011298367083373888,2.0,0.00033112582781456954,55.0,2.0,indirecta,6040.0
347198,25,no informativa,331805,12,0.0,3072.5,0.5086920529801324,186678.0,3072.5,indirecta,6040.0
347452,25,no informativa,142989,13,0.0,3037.5,0.5028973509933775,187051.0,3037.5,indirecta,6040.0
350885,25,nula,38190,0,,,,,,sin semilla,
362100,25,no informativa,60949,18,0.0,3039.5,0.5032284768211921,185414.5,3039.5,indirecta,6040.0
364783,25,no informativa,317030,23,0.0,3091.0,0.5117549668874172,189789.0,3091.0,indirecta,6040.0
368357,25,no informativa,42448,4,0.0,3020.5,0.5000827814569536,184679.0,3020.5,indirecta,6040.0
378303,25,no informativa,299120,6,0.0,3044.0,0.5039735099337749,185399.0,3044.0,indirecta,6040.0
390326,25,informativa,55047,81,0.06610656001774427,4.0,0.0006622516556291391,259.0,4.0,indirecta,6040.0
391470,25,no informativa,324181,355,0.0,3173.5,0.5254139072847682,196078.0,3173.5,indirecta,6040.0
402519,25,nula,299120,0,,,,,,sin semilla,
403988,25,nula,389522,0,,,,,,sin semilla,
410272,25,informativa,229560,60,0.007716020197393851,15.0,0.0024834437086092716,1191.0,15.0,indirecta,6040.0
410274,25,nula,184809,0,,,,,,sin semilla,
421276,25,nula,40572,0,,,,,,sin semilla,
430381,25,no informativa,376557,20,0.0,3090.0,0.5115894039735099,190336.0,3090.0,indirecta,6040.0
439679,25,no informativa,373143,7,0.0,3065.5,0.5075331125827814,189235.5,3065.5,indirecta,6040.0
448635,25,no informativa,116122,12,0.0,3082.5,0.5103476821192053,188433.5,3082.5,indirecta,6040.0
453218,25,no informativa,222298,11,0.0,3076.0,0.509271523178808,189131.0,3076.0,indirecta,6040.0
453648,25,no informativa,87449,1318,0.0,3424.0,0.5668874172185431,215260.0,3424.0,indirecta,6040.0
481080,25,nula,40572,0,,,,,,sin semilla,
494312,25,nula,299120,0,,,,,,sin semilla,
496697,25,nula,155297,0,,,,,,sin semilla,
503918,25,no informativa,64896,2,0.0,3024.5,0.5007450331125828,184680.0,3024.5,indirecta,6040.0
505460,25,nula,299120,0,,,,,,sin semilla,
510737,25,no informativa,324181,17,0.0,3083.0,0.510430463576159,191294.0,3083.0,indirecta,6040.0
514874,25,informativa,113545,1458,0.07488075399317269,28.0,0.004635761589403974,2894.5,28.0,indirecta,6040.0
517185,25,no informativa,228160,2,0.0,3059.5,0.5065397350993377,186447.5,3059.5,indirecta,6040.0
