drug_id,sp_id,N,drug,cluster_id,enlace_a_bioact,multiespecie,grupo
17,3,1,17,578137,True,True,3
109,3,1,109,615876,False,True,2
110,3,1,110,530711,True,False,1
115,3,1,115,430248,True,False,1
120,3,1,120,393988,False,True,2
127,3,1,127,495097,True,False,1
151,3,1,151,252389,False,False,0
156,3,1,156,725012,True,False,1
160,3,1,160,212890,False,False,0
203,3,1,203,494784,True,True,3
216,27,1,216,85420,False,False,0
220,3,1,220,438555,False,False,0
228,3,1,228,455231,False,True,2
318,3,1,318,455503,True,False,1
349,3,1,349,118982,False,False,0
351,3,1,351,663831,True,False,1
383,3,1,383,219729,True,False,1
420,3,1,420,593432,False,True,2
423,10,1,423,119374,False,False,0
427,1,1,427,9131,False,False,0
433,3,1,433,233823,False,False,0
435,3,1,435,611611,True,True,3
438,3,1,438,499918,True,False,1
439,3,1,439,545820,False,True,2
444,3,1,444,106533,True,False,1
465,3,1,465,323265,False,True,2
475,3,1,475,262175,False,False,0
480,3,1,480,87126,True,True,3
494,3,1,494,705266,False,False,0
532,3,1,532,21364,False,False,0
542,1,1,542,454655,True,False,1
546,3,1,546,559529,False,False,0
553,3,1,553,40389,True,False,1
572,3,1,572,693155,False,False,0
580,3,1,580,540029,True,False,1
582,3,1,582,195384,True,True,3
621,3,1,621,171096,False,True,2
641,0,1,641,59056,True,True,3
641,3,1,641,59056,True,True,3
671,27,1,671,289331,False,True,2
675,3,1,675,533005,False,False,0
712,3,1,712,674821,True,True,3
712,27,1,712,674821,True,True,3
723,3,1,723,674170,False,True,2
725,3,1,725,71833,True,False,1
751,3,1,751,475247,False,True,2
772,3,1,772,626989,True,False,1
793,26,1,793,228978,True,False,1
804,3,1,804,659048,False,False,0
826,3,1,826,95385,False,False,0
844,3,1,844,285584,False,False,0
862,3,1,862,48758,False,False,0
868,3,1,868,304707,True,False,1
873,0,1,873,752442,False,True,2
873,1,1,873,752442,False,True,2
873,3,1,873,752442,False,True,2
873,9,1,873,752442,False,True,2
875,3,1,875,371924,True,True,3
899,3,1,899,616444,True,False,1
902,3,1,902,701367,False,False,0
904,3,1,904,274192,False,False,0
910,10,1,910,739545,True,False,1
929,3,1,929,759656,False,False,0
935,3,1,935,315157,False,True,2
955,26,1,955,409797,True,False,1
961,3,1,961,98856,True,False,1
970,3,1,970,129319,False,False,0
983,3,1,983,64241,True,True,3
1008,3,1,1008,665965,False,False,0
1027,3,1,1027,146036,False,True,2
1037,3,1,1037,535590,True,True,3
1038,3,1,1038,612844,False,False,0
1041,3,1,1041,473064,True,True,3
1085,3,1,1085,303272,True,False,1
1113,3,1,1113,720135,False,False,0
1147,3,1,1147,61915,False,False,0
1163,3,1,1163,431515,False,True,2
1166,3,1,1166,259897,False,True,2
1177,3,1,1177,254955,False,False,0
1180,3,1,1180,159992,False,False,0
1189,3,1,1189,239998,False,False,0
1210,3,1,1210,85491,True,True,3
1217,0,1,1217,300369,True,False,1
1227,3,1,1227,668369,False,True,2
1244,3,1,1244,731808,True,True,3
1248,3,1,1248,723643,True,False,1
1257,3,1,1257,632413,True,True,3
1269,3,1,1269,552177,False,True,2
1270,3,1,1270,570310,False,False,0
1288,3,1,1288,389349,False,False,0
1310,3,1,1310,632803,False,True,2
1319,3,1,1319,722864,True,False,1
1329,3,1,1329,295990,True,False,1
1344,3,1,1344,289206,True,False,1
1362,3,1,1362,505347,True,False,1
1372,3,1,1372,714874,True,True,3
1393,3,1,1393,703642,False,False,0
1397,3,1,1397,441563,True,False,1
1416,26,1,1416,700257,True,False,1
1446,3,1,1446,735451,False,False,0
1490,3,1,1490,522906,False,False,0
1502,3,1,1502,366523,True,False,1
1508,3,1,1508,656669,True,False,1
1515,3,1,1515,12384,False,False,0
1545,18,1,1545,317812,False,True,2
1553,18,1,1553,313564,False,True,2
1572,3,1,1572,635801,True,False,1
1584,3,1,1584,375294,True,True,3
1598,3,1,1598,441325,False,False,0
1604,3,1,1604,137853,False,False,0
1609,3,1,1609,77752,False,False,0
1629,15,1,1629,298745,False,False,0
1638,3,1,1638,254157,True,False,1
1650,26,1,1650,688944,True,True,3
1657,3,1,1657,700433,True,True,3
1679,3,1,1679,239552,True,False,1
1702,3,1,1702,359580,False,True,2
1785,3,1,1785,382994,False,True,2
1799,3,1,1799,605181,True,True,3
1804,3,1,1804,484020,False,True,2
