corte,particion,valor,n,pct_recuperadas,pct_sin_semilla
0.1,total,todas,7782,17.463377023901312,67.75893086610127
0.1,grupo,0,2614,0.8033664881407804,98.73756694720734
0.1,grupo,1,1450,34.55172413793103,46.96551724137931
0.1,grupo,2,2098,6.1010486177311725,84.12774070543375
0.1,grupo,3,1620,43.76543209876543,15.185185185185185
0.1,semilla,informativa,1365,99.56043956043956,0.0
0.1,semilla,no informativa,1144,0.0,0.0
0.1,semilla,nula,5273,0.0,100.0
0.1,clase,directa,1113,100.0,0.0
0.1,clase,indirecta,1396,17.621776504297994,0.0
0.1,clase,sin semilla,5273,0.0,100.0
0.1,especie,0,1000,13.700000000000001,76.0
0.1,especie,1,1000,16.8,71.3
0.1,especie,3,1000,21.5,69.89999999999999
0.1,especie,4,153,3.9215686274509802,89.54248366013073
0.1,especie,5,38,26.31578947368421,52.63157894736842
0.1,especie,9,501,16.56686626746507,53.093812375249506
0.1,especie,10,1000,14.099999999999998,64.4
0.1,especie,15,236,26.69491525423729,66.10169491525424
0.1,especie,17,170,17.058823529411764,68.23529411764706
0.1,especie,18,1000,18.0,67.0
0.1,especie,21,364,22.252747252747252,66.20879120879121
0.1,especie,22,49,18.367346938775512,55.10204081632652
0.1,especie,23,123,8.94308943089431,73.98373983739837
0.1,especie,25,105,21.904761904761905,54.285714285714285
0.1,especie,26,1000,18.9,65.5
0.1,especie,28,43,32.55813953488372,48.837209302325576
