drug_id,especie,semilla,n_semilla
641,0,nula,0
873,0,nula,0
1217,0,no informativa,2
1997,0,no informativa,31
2096,0,nula,0
4016,0,no informativa,2
5734,0,nula,0
5783,0,nula,0
6381,0,nula,0
6678,0,nula,0
7693,0,nula,0
8102,0,nula,0
8348,0,nula,0
8641,0,nula,0
9857,0,nula,0
10626,0,nula,0
10667,0,no informativa,5
13721,0,nula,0
14691,0,nula,0
15011,0,no informativa,4
15059,0,nula,0
15063,0,nula,0
15846,0,nula,0
18092,0,nula,0
20489,0,nula,0
20799,0,nula,0
21625,0,nula,0
22688,0,no informativa,2
25946,0,nula,0
26806,0,nula,0
28499,0,nula,0
29742,0,no informativa,2
29857,0,nula,0
30021,0,no informativa,2
32983,0,nula,0
34327,0,nula,0
36533,0,nula,0
36548,0,nula,0
37347,0,nula,0
37516,0,nula,0
40677,0,nula,0
40853,0,nula,0
41001,0,nula,0
41005,0,nula,0
42245,0,no informativa,2
42406,0,no informativa,5
43113,0,no informativa,6
43333,0,no informativa,2
45213,0,nula,0
45255,0,nula,0
45689,0,nula,0
46070,0,nula,0
47057,0,nula,0
47117,0,nula,0
47230,0,nula,0
48315,0,nula,0
49263,0,no informativa,5
49658,0,nula,0
49895,0,no informativa,8
50232,0,nula,0
51333,0,nula,0
51948,0,no informativa,10
52797,0,no informativa,2
53479,0,no informativa,2
53731,0,no informativa,3
54511,0,nula,0
54609,0,nula,0
56732,0,nula,0
57618,0,nula,0
57702,0,no informativa,7
59571,0,nula,0
60774,0,nula,0
62377,0,nula,0
62515,0,nula,0
64003,0,nula,0
64120,0,no informativa,358
64567,0,nula,0
64781,0,no informativa,7
65203,0,nula,0
65357,0,nula,0
65749,0,nula,0
65812,0,nula,0
67029,0,nula,0
68371,0,no informativa,8
68375,0,nula,0
69516,0,nula,0
69588,0,nula,0
70540,0,nula,0
70742,0,informativa,6
71001,0,nula,0
71685,0,nula,0
72004,0,no informativa,4
73585,0,no informativa,16
74307,0,nula,0
74541,0,nula,0
75648,0,nula,0
76861,0,no informativa,2
76864,0,nula,0
76994,0,nula,0
77175,0,no informativa,5
77348,0,nula,0
78558,0,nula,0
79140,0,no informativa,2
82326,0,no informativa,4
82756,0,no informativa,2
83739,0,no informativa,11
85953,0,nula,0
86016,0,nula,0
87563,0,no informativa,49
87787,0,nula,0
88175,0,nula,0
88796,0,nula,0
89036,0,no informativa,2
90574,0,nula,0
91151,0,nula,0
