drug_id,especie,grupo,palanca,parametro,semilla_antes,semilla_despues,rescatada
427,1,0,umbral,0.9,nula,nula,False
955,26,1,umbral,0.9,nula,nula,False
2675,18,0,umbral,0.9,nula,nula,False
3775,3,3,umbral,0.9,nula,nula,False
5442,3,0,umbral,0.9,nula,nula,False
5534,26,2,umbral,0.9,nula,nula,False
6000,26,3,umbral,0.9,nula,nula,False
7845,15,1,umbral,0.9,nula,nula,False
8348,0,0,umbral,0.9,nula,nula,False
8922,18,2,umbral,0.9,nula,nula,False
9857,0,0,umbral,0.9,nula,nula,False
13037,18,3,umbral,0.9,no informativa,no informativa,False
14487,3,2,umbral,0.9,nula,nula,False
14691,0,0,umbral,0.9,nula,nula,False
15846,0,2,umbral,0.9,nula,nula,False
17835,1,0,umbral,0.9,nula,nula,False
18017,26,1,umbral,0.9,nula,nula,False
19424,3,0,umbral,0.9,nula,nula,False
19660,3,0,umbral,0.9,nula,nula,False
22688,0,2,umbral,0.9,nula,nula,False
23037,3,3,umbral,0.9,nula,nula,False
23211,3,0,umbral,0.9,nula,nula,False
23331,18,2,umbral,0.9,no informativa,no informativa,False
24814,18,0,umbral,0.9,no informativa,no informativa,False
24916,10,3,umbral,0.9,nula,nula,False
25537,26,3,umbral,0.9,nula,nula,False
25861,17,2,umbral,0.9,no informativa,no informativa,False
26818,26,2,umbral,0.9,nula,nula,False
27980,26,2,umbral,0.9,nula,nula,False
28557,10,0,umbral,0.9,nula,nula,False
33600,26,2,umbral,0.9,nula,nula,False
34327,0,0,umbral,0.9,nula,nula,False
34914,1,3,umbral,0.9,nula,nula,False
35398,18,2,umbral,0.9,nula,nula,False
35659,9,2,umbral,0.9,nula,nula,False
35979,3,1,umbral,0.9,nula,nula,False
36035,9,2,umbral,0.9,nula,nula,False
39070,10,3,umbral,0.9,nula,nula,False
39644,9,2,umbral,0.9,nula,nula,False
40219,10,3,umbral,0.9,nula,nula,False
41005,0,3,umbral,0.9,nula,nula,False
42256,26,1,umbral,0.9,nula,nula,False
42845,4,0,umbral,0.9,nula,nula,False
43857,3,0,umbral,0.9,nula,nula,False
44551,26,1,umbral,0.9,nula,nula,False
45255,0,2,umbral,0.9,nula,nula,False
49939,3,1,umbral,0.9,nula,nula,False
50232,0,1,umbral,0.9,nula,nula,False
53628,18,2,umbral,0.9,nula,nula,False
60607,26,3,umbral,0.9,nula,nula,False
61920,26,3,umbral,0.9,nula,nula,False
63196,3,1,umbral,0.9,nula,nula,False
63713,1,0,umbral,0.9,nula,nula,False
64120,10,2,umbral,0.9,informativa,informativa,False
65195,10,0,umbral,0.9,nula,nula,False
65357,0,1,umbral,0.9,nula,nula,False
65470,26,0,umbral,0.9,nula,nula,False
65537,3,1,umbral,0.9,nula,nula,False
67564,26,2,umbral,0.9,nula,nula,False
68007,21,0,umbral,0.9,nula,nula,False
71001,0,0,umbral,0.9,nula,nula,False
72799,25,2,umbral,0.9,no informativa,no informativa,False
80744,4,0,umbral,0.9,nula,nula,False
84504,26,3,umbral,0.9,nula,nula,False
85765,26,0,umbral,0.9,nula,nula,False
86267,21,3,umbral,0.9,no informativa,no informativa,False
88601,1,0,umbral,0.9,nula,nula,False
92491,10,3,umbral,0.9,nula,nula,False
92919,3,1,umbral,0.9,nula,nula,False
95533,3,2,umbral,0.9,nula,nula,False
96189,0,0,umbral,0.9,nula,nula,False
97547,10,0,umbral,0.9,nula,nula,False
103517,10,2,umbral,0.9,no informativa,no informativa,False
109391,15,2,umbral,0.9,nula,nula,False
110285,1,1,umbral,0.9,nula,nula,False
113828,0,3,umbral,0.9,nula,nula,False
114251,10,3,umbral,0.9,nula,nula,False
115693,0,3,umbral,0.9,nula,nula,False
121574,0,2,umbral,0.9,informativa,informativa,False
125602,10,1,umbral,0.9,no informativa,no informativa,False
126490,18,1,umbral,0.9,nula,nula,False
127753,18,2,umbral,0.9,nula,nula,False
127980,18,2,umbral,0.9,nula,nula,False
131580,3,0,umbral,0.9,nula,nula,False
138384,1,2,umbral,0.9,nula,nula,False
140961,18,2,umbral,0.9,nula,nula,False
143030,1,0,umbral,0.9,nula,nula,False
152435,1,0,umbral,0.9,nula,nula,False
153520,26,0,umbral,0.9,nula,nula,False
153789,15,0,umbral,0.9,nula,nula,False
154120,18,3,umbral,0.9,no informativa,no informativa,False
154230,3,0,umbral,0.9,nula,nula,False
154431,3,0,umbral,0.9,nula,nula,False
155613,3,1,umbral,0.9,nula,nula,False
156577,15,2,umbral,0.9,nula,nula,False
