clase,especie,n,rG_mediana,rSS_mediana
directa,0,107,9.0,1.0
directa,1,126,35.0,2.0
directa,3,208,24.0,2.0
directa,4,2,74.5,1.75
directa,5,4,33.0,1.5
directa,9,75,459.5,25.5
directa,10,125,918.5,15.5
directa,15,58,42.5,1.5
directa,17,15,20.0,2.0
directa,18,146,5.0,1.5
directa,21,45,15.0,4.5
directa,22,3,305.5,11.0
directa,23,5,16.0,1.0
directa,25,8,247.5,3.5
directa,26,181,29.0,1.0
directa,28,5,65.0,24.0
indirecta,0,133,184955.5,2042.5
indirecta,1,161,184670.0,2271.0
indirecta,3,93,184966.0,8204.0
indirecta,4,14,185750.75,9631.0
indirecta,5,14,184479.75,1095.5
indirecta,9,160,185606.25,13834.25
indirecta,10,231,185682.5,3066.5
indirecta,15,22,184848.25,4328.0
indirecta,17,39,184471.5,5357.0
indirecta,18,184,185090.75,9146.25
indirecta,21,78,184349.0,10859.0
indirecta,22,19,185340.5,6563.5
indirecta,23,27,184620.5,3286.5
indirecta,25,40,184710.25,3023.75
indirecta,26,164,185427.0,2758.5
indirecta,28,17,4872.5,244.5
