l,rho,lambda,lambda_suave
1,14.0,14.0,36.54322045618384
2,41.0,27.0,40.96281720508764
3,108.0,67.0,42.818868852026725
4,127.0,19.0,42.5890240712526
5,217.0,90.0,40.75093153701676
6,237.0,20.0,37.77176902936135
7,313.0,76.0,34.07683075149095
8,316.0,3.0,30.080940012400806
9,331.0,15.0,26.19892012108611
10,348.0,17.0,22.76865001098665
11,365.0,17.0,19.820231113320364
12,380.0,15.0,17.306820483749775
13,392.0,12.0,15.181575177937374
14,398.0,6.0,13.39765225154567
15,416.0,18.0,11.908208760237162
16,431.0,15.0,10.666401759674361
17,441.0,10.0,9.62538830551976
18,444.0,3.0,8.744319085361635
19,452.0,8.0,8.006319314491288
20,464.0,12.0,7.400507840125783
21,471.0,7.0,6.916003509482187
22,475.0,4.0,6.541925169777571
23,479.0,4.0,6.267391668228998
24,493.0,14.0,6.081521852053537
25,514.0,21.0,5.97343456846825
26,515.0,1.0,5.932248664690208
27,519.0,4.0,5.947082987936477
28,523.0,4.0,6.0070563854241215
29,526.0,3.0,6.101287704370211
30,529.0,3.0,6.2188957919918115
31,532.0,3.0,6.3489994955059865
32,533.0,1.0,6.480717662129807
33,540.0,7.0,6.603169139080336
34,542.0,2.0,6.707416801207856
35,557.0,15.0,6.792299633895489
36,563.0,6.0,6.858600650159578
37,571.0,8.0,6.9071028630164575
38,578.0,7.0,6.9385892854824665
39,582.0,4.0,6.953842930573943
40,602.0,20.0,6.953646811307228
41,604.0,2.0,6.938783940698656
42,607.0,3.0,6.910037331764568
43,642.0,35.0,6.868189997521301
44,644.0,2.0,6.814024950985194
45,648.0,4.0,6.748325205172582
46,650.0,2.0,6.671873773099809
47,655.0,5.0,6.58545366778321
48,659.0,4.0,6.4898479022391244
49,667.0,8.0,6.385839489483889
50,672.0,5.0,6.274211442533843
51,677.0,5.0,6.155746774405322
52,688.0,11.0,6.03122849811467
53,695.0,7.0,5.90143962667822
54,699.0,4.0,5.767163173112312
55,704.0,5.0,5.6291821504332855
56,708.0,4.0,5.488279571657478
57,708.0,0.0,5.3452384498012275
58,710.0,2.0,5.200841797880873
59,716.0,6.0,5.05587262891275
60,719.0,3.0,4.9111139559131995
61,722.0,3.0,4.767348791898561
62,724.0,2.0,4.625360149885169
63,727.0,3.0,4.485931042889364
64,732.0,5.0,4.349844483927484
65,738.0,6.0,4.217741882418696
66,741.0,3.0,4.089698233393487
67,747.0,6.0,3.965646928285173
68,750.0,3.0,3.845521358527069
69,752.0,2.0,3.72925491555249
70,752.0,0.0,3.616780990794752
71,756.0,4.0,3.5080329756871693
72,757.0,1.0,3.4029442616630585
73,761.0,4.0,3.3014482401557355
74,762.0,1.0,3.2034783025985147
75,765.0,3.0,3.1089678404247127
76,768.0,3.0,3.017850245067645
77,771.0,3.0,2.930058907960626
78,771.0,0.0,2.845527220536972
79,774.0,3.0,2.764188574229998
80,780.0,6.0,2.6859763604730205
81,783.0,3.0,2.610823970699355
82,784.0,1.0,2.5386647963423146
83,785.0,1.0,2.4694322288352186
84,789.0,4.0,2.40305965961138
85,790.0,1.0,2.3394804801041147
86,790.0,0.0,2.2786280817467386
87,792.0,2.0,2.2204358559725663
88,795.0,3.0,2.164837194214915
89,801.0,6.0,2.1117654879070984
90,804.0,3.0,2.061154128482433
91,808.0,4.0,2.0129365073742345
92,811.0,3.0,1.9670460160158176
93,813.0,2.0,1.9234160458404983
94,817.0,4.0,1.8819799882815926
95,819.0,2.0,1.8426712347724155
96,819.0,0.0,1.8054231767462823
97,820.0,1.0,1.7701692056365088
98,824.0,4.0,1.7368427128764103
99,825.0,1.0,1.7053770898993028
100,829.0,4.0,1.6757057281385006
101,835.0,6.0,1.6477620190273212
102,835.0,0.0,1.6214793539990786
103,836.0,1.0,1.5967911244870887
104,836.0,0.0,1.573630721924667
105,839.0,3.0,1.5519315377451293
106,844.0,5.0,1.5316269633817905
107,847.0,3.0,1.5126503902679667
108,848.0,1.0,1.4949352098369735
109,850.0,2.0,1.4784148135221258
110,851.0,1.0,1.463022592756739
111,853.0,2.0,1.4486919389741297
112,857.0,4.0,1.4353562436076122
113,862.0,5.0,1.4229488980905032
114,864.0,2.0,1.4114032938561174
115,864.0,0.0,1.40065282233777
116,864.0,0.0,1.3906308749687772
117,866.0,2.0,1.381270843182455
118,866.0,0.0,1.372506118412118
119,867.0,1.0,1.3642700920910813
120,867.0,0.0,1.3564961556526616
121,870.0,3.0,1.349117700530174
122,870.0,0.0,1.3420681181569334
123,870.0,0.0,1.335280799966256
124,872.0,2.0,1.3286891373914573
125,874.0,2.0,1.3222265218658524
126,875.0,1.0,1.3158263448227572
127,875.0,0.0,1.3094331536819608
128,876.0,1.0,1.303036119809148
129,876.0,0.0,1.2966355705564774
130,880.0,4.0,1.2902318332761071
131,883.0,3.0,1.2838252353201964
132,884.0,1.0,1.2774161040409024
133,885.0,1.0,1.2710047667903852
134,890.0,5.0,1.2645915509208026
135,892.0,2.0,1.2581767837843127
136,894.0,2.0,1.251760792733074
137,895.0,1.0,1.2453439051192459
138,896.0,1.0,1.238926448294986
139,898.0,2.0,1.2325087496124536
140,899.0,1.0,1.2260911364238063
141,902.0,3.0,1.219673936081203
142,902.0,0.0,1.2132574759368022
143,902.0,0.0,1.2068420833427629
144,904.0,2.0,1.2004280856512426
145,905.0,1.0,1.1940158102144005
146,906.0,1.0,1.187605584384395
147,906.0,0.0,1.181197735513385
148,906.0,0.0,1.1747925909535275
149,906.0,0.0,1.1683904780569827
150,906.0,0.0,1.1619917241759083
151,907.0,1.0,1.1555966566624625
152,909.0,2.0,1.149205602868805
153,910.0,1.0,1.1428188901470928
154,911.0,1.0,1.1364368458494853
155,912.0,1.0,1.1300597973281408
156,912.0,0.0,1.1236880719352178
157,913.0,1.0,1.1173219970228747
158,914.0,1.0,1.1109618999432704
159,914.0,0.0,1.1046081080485628
160,914.0,0.0,1.0982609486909107
161,916.0,2.0,1.091920749222473
162,916.0,0.0,1.0855878369954073
163,918.0,2.0,1.0792625393618727
164,918.0,0.0,1.0729451836740276
165,918.0,0.0,1.0666360972840303
166,918.0,0.0,1.0603356075440398
167,919.0,1.0,1.0540440418062142
168,919.0,0.0,1.0477617274227118
169,919.0,0.0,1.0414889917456918
170,919.0,0.0,1.0352261621273118
171,919.0,0.0,1.0289735659197308
172,919.0,0.0,1.0227315304751072
173,919.0,0.0,1.0165003831456
174,919.0,0.0,1.0102804512833672
175,920.0,1.0,1.0040720622405672
176,921.0,1.0,0.9978755433693584
177,923.0,2.0,0.9916912220218997
178,925.0,2.0,0.9855194255503497
179,926.0,1.0,0.9793604813068661
180,928.0,2.0,0.9732147166436085
181,928.0,0.0,0.9670824589127345
182,929.0,1.0,0.9609640354664033
183,930.0,1.0,0.9548597736567725
184,932.0,2.0,0.9487700008360015
185,932.0,0.0,0.942695044356248
186,932.0,0.0,0.9366352315696713
187,932.0,0.0,0.9305908898284294
188,933.0,1.0,0.9245623464846808
189,936.0,3.0,0.9185499288905842
190,939.0,3.0,0.9125539643982984
191,940.0,1.0,0.9065747803599813
192,942.0,2.0,0.9006127041277915
193,943.0,1.0,0.8946680630538874
194,945.0,2.0,0.8887411844904278
195,946.0,1.0,0.8828323957895714
196,947.0,1.0,0.8769420243034761
197,947.0,0.0,0.8710703973843007
198,947.0,0.0,0.8652178423842039
199,949.0,2.0,0.8593846866553436
200,951.0,2.0,0.853571257549879
201,953.0,2.0,0.8477778824199681
202,953.0,0.0,0.8420048886177699
203,953.0,0.0,0.8362526034954423
204,954.0,1.0,0.8305213544051443
205,956.0,2.0,0.824811468699034
206,957.0,1.0,0.8191232737292701
207,958.0,1.0,0.813457096848011
208,959.0,1.0,0.8078132654074155
209,959.0,0.0,0.8021921067596417
210,959.0,0.0,0.7965939482568482
211,960.0,1.0,0.7910191172511937
212,960.0,0.0,0.7854679410948362
213,961.0,1.0,0.7799407471399352
214,962.0,1.0,0.7744378627386478
215,962.0,0.0,0.7689596152431339
216,962.0,0.0,0.763506332005551
217,962.0,0.0,0.758078340378058
218,962.0,0.0,0.7526759677128135
219,962.0,0.0,0.7472995413619756
220,962.0,0.0,0.7419493886777032
221,962.0,0.0,0.7366258370121544
222,963.0,1.0,0.7313292137174884
223,963.0,0.0,0.7260598461458627
224,964.0,1.0,0.7208180616494367
225,965.0,1.0,0.7156041875803683
226,966.0,1.0,0.7104185512908163
227,966.0,0.0,0.7052614801329391
228,968.0,2.0,0.7001333014588952
229,968.0,0.0,0.6950343426208433
230,968.0,0.0,0.6899649309709416
231,969.0,1.0,0.6849253938613484
232,969.0,0.0,0.6799160586442228
233,969.0,0.0,0.6749372526717231
234,969.0,0.0,0.6699893032960076
235,971.0,2.0,0.6650725378692349
236,972.0,1.0,0.6601872837435635
237,972.0,0.0,0.6553338682711518
238,972.0,0.0,0.6505126188041587
239,972.0,0.0,0.645723862694742
240,972.0,0.0,0.6409679272950607
241,973.0,1.0,0.6362451399572732
242,974.0,1.0,0.631555828033538
243,975.0,1.0,0.6269003188760136
244,976.0,1.0,0.6222789398368587
245,977.0,1.0,0.6176920182682313
