drug_id,especie,grupo,clase,rSS,frank,rG,n_semilla,n_targets,score,empate
37347,0,1,directa,1.0,0.0002455192732629,2.5,3,4073.0,0.8750940860215054,False
37516,0,1,directa,1.0,0.0002455192732629,52.0,3,4073.0,0.0231743702616776,False
49895,0,1,directa,1.0,0.0002455192732629,9.0,8,4073.0,0.2699999999999999,False
53479,0,1,directa,1.0,0.0002455192732629,2.5,3,4073.0,0.1369422043010752,False
53731,0,1,directa,1.0,0.0002455192732629,3.0,11,4073.0,0.2891522381819844,False
57702,0,2,directa,1.0,0.0002455192732629,15.0,19,4073.0,0.0600113981762917,False
65357,0,1,directa,6.5,0.0015958752762091,11.0,2,4073.0,0.0337015386519605,True
65812,0,3,directa,4.0,0.0009820770930518,255.0,19,4073.0,0.0730001772107035,False
68371,0,2,indirecta,224.0,0.054996317210901,7506.5,861,4073.0,0.0138678714910407,False
70742,0,1,directa,9.5,0.002332433095998,113.0,238,4073.0,0.2973684210526315,True
78558,0,3,directa,1.0,0.0002455192732629,24.5,5,4073.0,0.04725,False
91151,0,3,directa,1.0,0.0002455192732629,1.0,8,4073.0,0.1468491936912989,False
93011,0,1,indirecta,6.5,0.0015958752762091,62.5,8,4073.0,0.0223224376765302,True
105122,0,3,indirecta,4.0,0.0009820770930518,66.0,6,4073.0,0.0225244601889338,False
109049,0,1,directa,1.0,0.0002455192732629,7.5,5,4073.0,0.0224207025793014,False
109617,0,3,directa,1.0,0.0002455192732629,4.5,2,4073.0,0.4325,False
113828,0,3,indirecta,113.0,0.0277436778787134,1844.5,577,4073.0,0.0435970744680851,False
114940,0,3,directa,1.0,0.0002455192732629,16.0,2,4073.0,0.0410558816336512,False
119845,0,1,directa,1.0,0.0002455192732629,9.0,8,4073.0,0.2711764705882353,False
130182,0,2,indirecta,1.0,0.0002455192732629,6.0,2,4073.0,0.0714285714285714,False
134107,0,3,indirecta,2.0,0.0004910385465259,80.0,3,4073.0,0.0288914895311688,False
138804,0,3,indirecta,32.5,0.0079793763810459,1267.0,22,4073.0,0.0015910237455169,True
144216,0,3,directa,3.0,0.0007365578197888,4.0,19,4073.0,0.2396751231394228,False
144385,0,3,indirecta,19.0,0.004664866191996,596.0,139,4073.0,0.0225412054390253,False
146370,0,3,indirecta,1.0,0.0002455192732629,105.0,5,4073.0,0.0155001222792858,False
147642,0,1,directa,1.0,0.0002455192732629,1.0,1,4073.0,0.4742468156225301,False
161253,0,1,indirecta,1.0,0.0002455192732629,90.0,4,4073.0,0.015996963562753,False
163585,0,1,indirecta,2085.0,0.5119076847532531,196492.5,60,4073.0,0.0,False
164628,0,3,indirecta,7.0,0.0017186349128406,235.5,62,4073.0,0.0727381147374044,False
166897,0,3,directa,1.5,0.0003682789098944,14.0,225,4073.0,0.8413333333333334,True
180032,0,3,directa,2.0,0.0004910385465259,9.5,2,4073.0,0.0828773946722665,False
184182,0,3,directa,1.0,0.0002455192732629,1.0,11,4073.0,0.0780932128300549,False
189157,0,3,directa,1.0,0.0002455192732629,17.5,3,4073.0,0.0544910179640718,False
199416,0,1,directa,2.0,0.0004910385465259,95.0,19,4073.0,0.0676653171390013,False
205191,0,3,indirecta,6.0,0.0014731156395777,134.0,42,4073.0,0.067678731218429,False
213076,0,1,directa,1.0,0.0002455192732629,9.0,8,4073.0,0.2799999999999999,False
217125,0,1,indirecta,2.0,0.0004910385465259,38.0,3,4073.0,0.00918500855955,False
218242,0,1,directa,1.0,0.0002455192732629,58.5,26,4073.0,0.08975,False
222449,0,0,directa,1.0,0.0002455192732629,7.5,6,4073.0,0.0209259890740147,False
223319,0,3,directa,1.0,0.0002455192732629,4.5,2,4073.0,0.4425,False
224943,0,3,directa,1.0,0.0002455192732629,16.0,2,4073.0,0.0410558816336512,False
225880,0,1,directa,1.0,0.0002455192732629,2.5,3,4073.0,0.7448319892473118,False
227810,0,3,indirecta,37.5,0.0092069727473606,957.5,843,4073.0,0.1064316760869792,True
229323,0,3,directa,118.0,0.0289712742450282,1501.0,246,4073.0,0.031048516614912,False
