k,todas,azar,directa,indirecta
1,0.2967032967032967,0.00013250844770291905,0.3414195867026056,0.0992063492063492
2,0.484981684981685,0.0002650168954058381,0.5561545372866128,0.17063492063492064
3,0.5545787545787546,0.0003975253431087572,0.628032345013477,0.23015873015873015
4,0.6117216117216118,0.0005300337908116762,0.6900269541778976,0.26587301587301587
5,0.6432234432234433,0.0006625422385145953,0.7196765498652291,0.3055555555555556
6,0.6608058608058608,0.0007950506862175144,0.7367475292003594,0.3253968253968254
7,0.6754578754578755,0.0009275591339204333,0.7484276729559748,0.3531746031746032
8,0.6989010989010989,0.0010600675816233524,0.7726864330637916,0.373015873015873
9,0.7120879120879121,0.0011925760293262713,0.7852650494159928,0.3888888888888889
10,0.7208791208791209,0.0013250844770291907,0.793351302785265,0.4007936507936508
11,0.7318681318681318,0.0014575929247321094,0.8050314465408805,0.4087301587301587
13,0.7501831501831502,0.001722609820137948,0.8185085354896675,0.44841269841269843
14,0.7582417582417582,0.0018551182678408667,0.8274932614555256,0.4523809523809524
16,0.7758241758241758,0.0021201351632467048,0.8445642407906558,0.4722222222222222
18,0.7868131868131868,0.0023851520586525427,0.8544474393530997,0.4880952380952381
20,0.7926739926739926,0.0026501689540583814,0.8589398023360287,0.5
22,0.802930402930403,0.002915185849464219,0.8652291105121294,0.5277777777777778
25,0.8168498168498168,0.0033127111925729765,0.8769092542677448,0.5515873015873016
28,0.8300366300366301,0.0037102365356817333,0.8903863432165319,0.5634920634920635
32,0.8388278388278388,0.0042402703264934095,0.8957771787960467,0.5873015873015873
35,0.8490842490842491,0.004637795669602166,0.9029649595687331,0.6111111111111112
40,0.8608058608058609,0.005300337908116763,0.912848158131177,0.6309523809523809
45,0.8688644688644689,0.0059628801466313575,0.9155435759209344,0.6626984126984127
50,0.8732600732600733,0.006625422385145953,0.9191374663072777,0.6706349206349206
56,0.8791208791208791,0.007420473071363467,0.9236298292902066,0.6825396825396826
63,0.8886446886446886,0.0083480322052839,0.9335130278526504,0.6904761904761905
71,0.8945054945054945,0.009408099786907253,0.9371069182389937,0.7063492063492064
79,0.9010989010989011,0.010468167368530604,0.9415992812219227,0.7222222222222222
89,0.9216117216117216,0.011793251845559797,0.9577717879604672,0.7619047619047619
100,0.928937728937729,0.013250844770291906,0.9658580413297394,0.7658730158730159
112,0.9333333333333333,0.014840946142726933,0.9694519317160827,0.7738095238095238
126,0.9406593406593406,0.0166960644105678,0.9739442946990117,0.7936507936507936
141,0.9523809523809523,0.018683691126111582,0.9838274932614556,0.8134920634920635
158,0.9604395604395605,0.020936334737061208,0.9892183288409704,0.8333333333333334
178,0.9641025641025641,0.023586503691119594,0.9892183288409704,0.8531746031746031
200,0.9663003663003663,0.026501689540583812,0.9901168014375562,0.8611111111111112
224,0.9706959706959707,0.029681892285453867,0.9919137466307277,0.876984126984127
251,0.9750915750915751,0.033259620373432684,0.9928122192273136,0.8968253968253969
282,0.9787545787545787,0.037367382252223164,0.9928122192273136,0.9166666666666666
316,0.9802197802197802,0.041872669474122416,0.9937106918238994,0.9206349206349206
355,0.9838827838827838,0.04704049893453626,0.9964061096136568,0.9285714285714286
398,0.9838827838827838,0.05273836218576178,0.9964061096136568,0.9285714285714286
447,0.9882783882783883,0.05923127612320482,0.9973045822102425,0.9484126984126984
501,0.9912087912087912,0.06638673229916243,0.9982030548068284,0.9603174603174603
562,0.991941391941392,0.0744697476090405,0.9982030548068284,0.9642857142857143
631,0.9934065934065934,0.08361283050054191,0.9991015274034142,0.9682539682539683
708,0.9934065934065934,0.0938159809736667,0.9991015274034142,0.9682539682539683
794,0.9941391941391942,0.10521170747611774,0.9991015274034142,0.9722222222222222
891,0.9956043956043956,0.11806502690330087,1.0,0.9761904761904762
1000,0.9978021978021978,0.13250844770291906,1.0,0.9880952380952381
1122,0.9978021978021978,0.14867447832267514,1.0,0.9880952380952381
1259,0.9978021978021978,0.16682813565797508,1.0,0.9880952380952381
1413,0.9978021978021978,0.18723443660422462,1.0,0.9880952380952381
1585,0.9978021978021978,0.2100258896091267,1.0,0.9880952380952381
1778,0.9978021978021978,0.23560002001579006,1.0,0.9880952380952381
1995,0.9978021978021978,0.26435435316732353,1.0,0.9880952380952381
2239,0.9985347985347985,0.2965122249322347,1.0,0.9920634920634921
2512,0.9985347985347985,0.33177253641347637,1.0,0.9920634920634921
2818,0.9985347985347985,0.37129508334849454,1.0,0.9920634920634921
3162,0.9992673992673993,0.41572565898786124,1.0,0.996031746031746
3548,0.9992673992673993,0.46558089793203455,1.0,0.996031746031746
3981,0.9992673992673993,0.5215065934315865,1.0,0.996031746031746
4467,0.9992673992673993,0.574427068435175,1.0,0.996031746031746
5012,0.9992673992673993,0.6181097679997842,1.0,0.996031746031746
5623,0.9992673992673993,0.6618362162794571,1.0,0.996031746031746
6310,0.9992673992673993,0.6928330076745244,1.0,0.996031746031746
7079,0.9992673992673993,0.7165494909624434,1.0,0.996031746031746
7943,0.9992673992673993,0.7428454804584316,1.0,0.996031746031746
8913,0.9992673992673993,0.7708706590015972,1.0,0.996031746031746
10000,0.9992673992673993,0.798142359895909,1.0,0.996031746031746
