drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
641,0,no informativa,213150,2,0.0,2037.0,0.5001227596366314,184687.5,2037.0,indirecta,4073.0,0_pseudohuerfanas,3
1997,0,no informativa,213150,10,0.0,2051.0,0.5035600294623128,187696.5,2051.0,indirecta,4073.0,0_pseudohuerfanas,3
37347,0,informativa,181145,3,0.8750940860215054,1.0,0.0002455192732629,2.5,1.0,directa,4073.0,0_pseudohuerfanas,1
37516,0,informativa,216924,3,0.0231743702616776,1.0,0.0002455192732629,52.0,1.0,directa,4073.0,0_pseudohuerfanas,1
41005,0,no informativa,213150,13,0.0,2058.0,0.5052786643751535,187991.0,2058.0,indirecta,4073.0,0_pseudohuerfanas,3
47057,0,no informativa,213150,5,0.0,2040.5,0.5009820770930518,185164.5,2040.5,indirecta,4073.0,0_pseudohuerfanas,3
49263,0,no informativa,172391,11,0.0,2058.5,0.5054014240117849,185344.0,2058.5,indirecta,4073.0,0_pseudohuerfanas,3
49895,0,informativa,362105,8,0.2699999999999999,1.0,0.0002455192732629,9.0,1.0,directa,4073.0,0_pseudohuerfanas,1
51333,0,no informativa,213150,8,0.0,2043.0,0.5015958752762092,185320.0,2043.0,indirecta,4073.0,0_pseudohuerfanas,3
53479,0,informativa,181145,3,0.1369422043010752,1.0,0.0002455192732629,2.5,1.0,directa,4073.0,0_pseudohuerfanas,1
53731,0,informativa,304767,11,0.2891522381819844,1.0,0.0002455192732629,3.0,1.0,directa,4073.0,0_pseudohuerfanas,1
57702,0,informativa,366197,19,0.0600113981762917,1.0,0.0002455192732629,15.0,1.0,directa,4073.0,0_pseudohuerfanas,2
65357,0,informativa,38942,2,0.0337015386519605,6.5,0.0015958752762091,11.0,6.5,directa,4073.0,0_pseudohuerfanas,1
65812,0,informativa,213150,19,0.0730001772107035,4.0,0.0009820770930518,255.0,4.0,directa,4073.0,0_pseudohuerfanas,3
68371,0,informativa,362881,861,0.0138678714910407,224.0,0.054996317210901,7506.5,224.0,indirecta,4073.0,0_pseudohuerfanas,2
70742,0,informativa,311820,238,0.2973684210526315,9.5,0.002332433095998,113.0,9.5,directa,4073.0,0_pseudohuerfanas,1
73585,0,no informativa,336627,14,0.0,2042.5,0.5014731156395777,184683.5,2042.5,indirecta,4073.0,0_pseudohuerfanas,2
76864,0,no informativa,244397,5,0.0,2040.0,0.5008593174564203,184506.0,2040.0,indirecta,4073.0,0_pseudohuerfanas,3
77175,0,no informativa,321318,2,0.0,2037.5,0.500245519273263,185081.0,2037.5,indirecta,4073.0,0_pseudohuerfanas,2
78558,0,informativa,127567,5,0.04725,1.0,0.0002455192732629,24.5,1.0,directa,4073.0,0_pseudohuerfanas,3
79140,0,no informativa,213150,9,0.0,2059.0,0.5055241836484164,186691.5,2059.0,indirecta,4073.0,0_pseudohuerfanas,3
86016,0,no informativa,213150,8,0.0,2058.5,0.5054014240117849,186662.5,2058.5,indirecta,4073.0,0_pseudohuerfanas,3
87563,0,no informativa,229366,39,0.0,2061.5,0.5061379818315738,185584.5,2061.5,indirecta,4073.0,0_pseudohuerfanas,3
91151,0,informativa,213150,8,0.1468491936912989,1.0,0.0002455192732629,1.0,1.0,directa,4073.0,0_pseudohuerfanas,3
93011,0,informativa,105384,8,0.0223224376765302,6.5,0.0015958752762091,62.5,6.5,indirecta,4073.0,0_pseudohuerfanas,1
93932,0,no informativa,213150,4,0.0,2040.5,0.5009820770930518,184461.5,2040.5,indirecta,4073.0,0_pseudohuerfanas,3
103195,0,no informativa,178031,7,0.0,2037.5,0.500245519273263,187280.0,2037.5,indirecta,4073.0,0_pseudohuerfanas,1
105122,0,informativa,134979,6,0.0225244601889338,4.0,0.0009820770930518,66.0,4.0,indirecta,4073.0,0_pseudohuerfanas,3
109049,0,informativa,399696,5,0.0224207025793014,1.0,0.0002455192732629,7.5,1.0,directa,4073.0,0_pseudohuerfanas,1
109617,0,informativa,99767,2,0.4325,1.0,0.0002455192732629,4.5,1.0,directa,4073.0,0_pseudohuerfanas,3
113828,0,informativa,7960,577,0.0435970744680851,113.0,0.0277436778787134,1844.5,113.0,indirecta,4073.0,0_pseudohuerfanas,3
114940,0,informativa,216924,2,0.0410558816336512,1.0,0.0002455192732629,16.0,1.0,directa,4073.0,0_pseudohuerfanas,3
115693,0,no informativa,213150,6,0.0,2048.5,0.5029462312791554,185514.0,2048.5,indirecta,4073.0,0_pseudohuerfanas,3
119845,0,informativa,362105,8,0.2711764705882353,1.0,0.0002455192732629,9.0,1.0,directa,4073.0,0_pseudohuerfanas,1
121574,0,no informativa,185890,15,0.0,2044.5,0.5019641541861036,184822.5,2044.5,indirecta,4073.0,0_pseudohuerfanas,2
127834,0,no informativa,213150,6,0.0,2050.0,0.5033145101890498,185361.0,2050.0,indirecta,4073.0,0_pseudohuerfanas,3
130182,0,informativa,173526,2,0.0714285714285714,1.0,0.0002455192732629,6.0,1.0,indirecta,4073.0,0_pseudohuerfanas,2
134107,0,informativa,216924,3,0.0288914895311688,2.0,0.0004910385465259,80.0,2.0,indirecta,4073.0,0_pseudohuerfanas,3
138804,0,informativa,181145,22,0.0015910237455169,32.5,0.0079793763810459,1267.0,32.5,indirecta,4073.0,0_pseudohuerfanas,3
140312,0,no informativa,213150,6,0.0,2070.0,0.5082248956543088,186214.0,2070.0,indirecta,4073.0,0_pseudohuerfanas,1
144216,0,informativa,278885,19,0.2396751231394228,3.0,0.0007365578197888,4.0,3.0,directa,4073.0,0_pseudohuerfanas,3
144385,0,informativa,97099,139,0.0225412054390253,19.0,0.004664866191996,596.0,19.0,indirecta,4073.0,0_pseudohuerfanas,3
146370,0,informativa,216924,5,0.0155001222792858,1.0,0.0002455192732629,105.0,1.0,indirecta,4073.0,0_pseudohuerfanas,3
147642,0,informativa,383881,1,0.4742468156225301,1.0,0.0002455192732629,1.0,1.0,directa,4073.0,0_pseudohuerfanas,1
159200,0,no informativa,125067,206,0.0,2165.5,0.5316719862509207,196490.0,2165.5,indirecta,4073.0,0_pseudohuerfanas,3
160279,0,no informativa,366197,12,0.0,2078.5,0.5103118094770439,189297.0,2078.5,indirecta,4073.0,0_pseudohuerfanas,2
161253,0,informativa,134979,4,0.015996963562753,1.0,0.0002455192732629,90.0,1.0,indirecta,4073.0,0_pseudohuerfanas,1
163585,0,informativa,286575,60,0.0,2085.0,0.5119076847532531,196492.5,2085.0,indirecta,4073.0,0_pseudohuerfanas,1
164628,0,informativa,241301,62,0.0727381147374044,7.0,0.0017186349128406,235.5,7.0,indirecta,4073.0,0_pseudohuerfanas,3
166897,0,informativa,183050,225,0.8413333333333334,1.5,0.0003682789098944,14.0,1.5,directa,4073.0,0_pseudohuerfanas,3
169587,0,no informativa,213150,11,0.0,2059.0,0.5055241836484164,186798.5,2059.0,indirecta,4073.0,0_pseudohuerfanas,2
176477,0,no informativa,213150,5,0.0,2048.5,0.5029462312791554,185154.0,2048.5,indirecta,4073.0,0_pseudohuerfanas,3
180032,0,informativa,270393,2,0.0828773946722665,2.0,0.0004910385465259,9.5,2.0,directa,4073.0,0_pseudohuerfanas,3
181650,0,no informativa,213150,4,0.0,2040.0,0.5008593174564203,184813.0,2040.0,indirecta,4073.0,0_pseudohuerfanas,3
