posicion,n,frac_acumulada
1,90,0.03712871287128713
2,20,0.04537953795379538
3,12,0.05033003300330033
4,12,0.05528052805280528
5,6,0.057755775577557754
6,11,0.06229372937293729
7,6,0.06476897689768978
8,5,0.06683168316831684
9,4,0.06848184818481848
10,2,0.06930693069306931
11,5,0.07136963696369637
12,2,0.0721947194719472
13,2,0.07301980198019802
14,2,0.07384488448844885
15,3,0.07508250825082509
17,1,0.07549504950495049
18,1,0.07590759075907591
20,5,0.07797029702970297
21,3,0.07920792079207921
22,1,0.07962046204620463
23,2,0.08044554455445545
24,2,0.08127062706270627
25,1,0.08168316831683169
26,1,0.08209570957095709
27,1,0.08250825082508251
28,1,0.08292079207920793
31,2,0.08374587458745875
32,2,0.08457095709570957
33,1,0.08498349834983498
35,1,0.0853960396039604
37,1,0.0858085808580858
39,1,0.08622112211221122
40,1,0.08663366336633663
42,1,0.08704620462046204
45,2,0.08787128712871287
49,1,0.08828382838283828
53,1,0.0886963696369637
57,1,0.0891089108910891
58,1,0.08952145214521452
60,1,0.08993399339933994
63,1,0.09034653465346534
68,2,0.09117161716171616
69,1,0.09158415841584158
73,2,0.0924092409240924
75,1,0.09282178217821782
77,1,0.09323432343234324
82,2,0.09405940594059406
83,1,0.09447194719471948
86,1,0.09488448844884488
87,2,0.09570957095709572
93,2,0.09653465346534654
104,1,0.09694719471947194
113,1,0.09735973597359736
126,1,0.09777227722772278
128,1,0.09818481848184818
142,1,0.0985973597359736
161,1,0.09900990099009901
165,1,0.09942244224422442
176,1,0.09983498349834984
184,1,0.10024752475247525
191,2,0.10107260726072607
193,1,0.10148514851485149
223,1,0.1018976897689769
225,1,0.10231023102310231
243,1,0.10272277227722772
264,1,0.10313531353135313
276,1,0.10354785478547855
333,1,0.10396039603960396
334,1,0.10437293729372937
345,1,0.10478547854785479
380,1,0.1051980198019802
387,1,0.10561056105610561
388,2,0.10643564356435643
450,1,0.10684818481848185
679,1,0.10726072607260725
688,1,0.10767326732673267
746,1,0.10808580858085809
910,1,0.10849834983498349
1008,1,0.10891089108910891
1078,1,0.10932343234323433
1095,1,0.10973597359735973
1096,3,0.11097359735973597
